Parameter,Value,FullRMSE_m,DegradedRMSE_m,OutageRMSE_m,RecoveryRMSE_m
residual_bad_threshold,3,1.54901436746197,2.34614775517542,2.42356530834617,0.343426500134163
residual_bad_threshold,4.5,1.54240662898712,2.3830273708022,2.34914613393658,0.332374861906857
residual_bad_threshold,6,1.3325404229655,2.29602083465212,1.59570445998381,0.265463290414636
residual_bad_threshold,8,1.47758036890458,2.44157067364076,1.98655618720532,0.284576908589129
residual_ema_decay,0.8,1.51012370132064,2.346086036585,2.28152931062368,0.294841185448454
residual_ema_decay,0.88,1.57561655802232,2.37934001984217,2.48333711634168,0.333144702559514
residual_ema_decay,0.92,1.50933586224225,2.49882679334896,2.02300997478215,0.29167557076858
residual_ema_decay,0.96,1.59554617132515,2.43022401793017,2.47811618366681,0.356710139088347
zupt_velocity_gain,0.05,1.58055137443645,2.61801680783405,2.11671035990376,0.30505883112155
zupt_velocity_gain,0.15,1.35412009265672,2.22999447088549,1.8252370840169,0.276234969362548
zupt_velocity_gain,0.3,1.61129877325282,2.16848863609456,2.86760418837834,0.38082197589419
zupt_velocity_gain,0.5,1.5333790328338,2.38952151867463,2.30539704187897,0.317676544243362
nhc_velocity_gain,0.5,1.47698932188476,2.33981901186502,2.15671408601164,0.302215431226068
nhc_velocity_gain,0.7,1.55345867802985,2.14634357362677,2.70286720861603,0.364077359221294
nhc_velocity_gain,0.9,1.50554966853136,2.31312325487911,2.30948865044671,0.329467218603736
nhc_velocity_gain,0.98,1.73045496564764,2.65801214837285,2.65931283205502,0.370995533651452
