Method,Stage,BaselineRMSE_m,MethodRMSE_m,ImprovementPct
GNSS only,Normal_1,0.23058515961424,0.709180327014045,-207.556795155628
GNSS only,Degraded,2.34446166421521,4.76421531249414,-103.211482841154
GNSS only,Outage,4.8254351875403,NaN,NaN
GNSS only,Recovery,0.423309465443678,0.715406396732991,-69.0031655642668
GNSS only,Full,2.30558842035546,2.67607567559158,-16.0690976743804
IMU DR,Normal_1,0.23058515961424,1.2889310185795,-458.982642567211
IMU DR,Degraded,2.34446166421521,5.66569295750723,-141.662853523509
IMU DR,Outage,4.8254351875403,11.0861313478442,-129.743658695688
IMU DR,Recovery,0.423309465443678,19.7953734468282,-4576.33612352143
IMU DR,Full,2.30558842035546,11.2745273971086,-389.008675510712
Label-adaptive + ZUPT,Normal_1,0.23058515961424,0.253581701529146,-9.97312314174026
Label-adaptive + ZUPT,Degraded,2.34446166421521,2.35724751491101,-0.545364033498544
Label-adaptive + ZUPT,Outage,4.8254351875403,3.005259487414,37.720446537675
Label-adaptive + ZUPT,Recovery,0.423309465443678,0.285378239247733,32.5840165306431
Label-adaptive + ZUPT,Full,2.30558842035546,1.71326049696653,25.6909654021254
Residual-adaptive,Normal_1,0.23058515961424,0.209949708759113,8.94916693235976
Residual-adaptive,Degraded,2.34446166421521,2.32736703496718,0.729149446500053
Residual-adaptive,Outage,4.8254351875403,3.00334515380814,37.7601182674042
Residual-adaptive,Recovery,0.423309465443678,0.435547143236977,-2.89095302427805
Residual-adaptive,Full,2.30558842035546,1.708424702768,25.9007077028689
Residual-adaptive + NHC,Normal_1,0.23058515961424,0.210123111493002,8.87396576408891
Residual-adaptive + NHC,Degraded,2.34446166421521,2.24418883473034,4.27700870589592
Residual-adaptive + NHC,Outage,4.8254351875403,2.85466621694062,40.8412691085019
Residual-adaptive + NHC,Recovery,0.423309465443678,0.397608730020473,6.07138217338638
Residual-adaptive + NHC,Full,2.30558842035546,1.63422314934268,29.1190424572517
