Method,Stage,MeanError_m,RMSE_m,MaxError_m,Availability
GNSS only,Normal_1,0.629502780465712,0.709180327014045,2.05237351869478,1
GNSS only,Degraded,4.24243097195039,4.76421531249414,11.7454733819164,1
GNSS only,Outage,NaN,NaN,NaN,0
GNSS only,Recovery,0.637697385581715,0.715406396732991,1.75618402112268,1
GNSS only,Full,1.71540853498616,2.67607567559158,11.7454733819164,0.833388870376541
IMU DR,Normal_1,0.943171347388765,1.2889310185795,2.93167223333411,1
IMU DR,Degraded,5.45931111089842,5.66569295750723,8.25619116447928,1
IMU DR,Outage,10.9643173945917,11.0861313478442,13.9291758401841,1
IMU DR,Recovery,19.4974677833717,19.7953734468282,25.7266852664766,1
IMU DR,Full,8.38467566916714,11.2745273971086,25.7266852664766,1
Baseline fusion,Normal_1,0.203740798069087,0.23058515961424,0.641142209243754,1
Baseline fusion,Degraded,2.29460365677125,2.34446166421521,3.50590906333725,1
Baseline fusion,Outage,4.65560104584005,4.8254351875403,7.16447419755554,1
Baseline fusion,Recovery,0.253296234399905,0.423309465443678,5.65095878435991,1
Baseline fusion,Full,1.48041304085368,2.30558842035546,7.16447419755554,1
Label-adaptive + ZUPT,Normal_1,0.224290144464877,0.253581701529146,0.691784521056389,1
Label-adaptive + ZUPT,Degraded,2.30431363115953,2.35724751491101,3.61656505070128,1
Label-adaptive + ZUPT,Outage,3.00521115692675,3.005259487414,3.01724359713618,1
Label-adaptive + ZUPT,Recovery,0.242905251455254,0.285378239247733,2.05586637389241,1
Label-adaptive + ZUPT,Full,1.21211355886064,1.71326049696653,3.61656505070128,1
Residual-adaptive,Normal_1,0.185116529864221,0.209949708759113,0.584635479409128,1
Residual-adaptive,Degraded,2.28255428628961,2.32736703496718,3.04756165054714,1
Residual-adaptive,Outage,3.00329500146951,3.00334515380814,3.01611174572261,1
Residual-adaptive,Recovery,0.247203890828279,0.435547143236977,2.89930577215803,1
Residual-adaptive,Full,1.19437849627731,1.708424702768,3.04756165054714,1
Residual-adaptive + NHC,Normal_1,0.185309640278311,0.210123111493002,0.584002940985655,1
Residual-adaptive + NHC,Degraded,2.20049050704728,2.24418883473034,2.98977638491036,1
Residual-adaptive + NHC,Outage,2.85423209703714,2.85466621694062,2.88221342666762,1
Residual-adaptive + NHC,Recovery,0.239119341368407,0.397608730020473,2.63080151565554,1
Residual-adaptive + NHC,Full,1.14707503980341,1.63422314934268,2.98977638491036,1
