Method,Stage,TimelyRateGain,EmergencyTimelyRateGain,AvgTxCostDelta
Link-aware,Normal,0.128,NaN,1.18144
Link-aware,Coop_1,0,NaN,0
Link-aware,LinkDeg_Emerg,0,NaN,0
Link-aware,PosDeg_Emerg,0,0,-0.105454545454546
Link-aware,Recovery,0.00662251655629142,NaN,0.0490066225165562
Link-aware,Full,0.0282861896838602,0,0.238735440931781
No-Regime-Gate,Normal,0,NaN,0
No-Regime-Gate,Coop_1,0,NaN,0
No-Regime-Gate,LinkDeg_Emerg,0,NaN,0
No-Regime-Gate,PosDeg_Emerg,0,0,0
No-Regime-Gate,Recovery,0.00662251655629142,NaN,0
No-Regime-Gate,Full,0.00166389351081531,0,0
No-GNSS,Normal,0,NaN,0
No-GNSS,Coop_1,-0.02,NaN,0
No-GNSS,LinkDeg_Emerg,0,NaN,0
No-GNSS,PosDeg_Emerg,-0.00909090909090904,0,-0.174545454545455
No-GNSS,Recovery,0,NaN,-0.0158940397350995
No-GNSS,Full,-0.00665557404326123,0,-0.0359400998336104
No-RSU,Normal,-0.00800000000000001,NaN,0
No-RSU,Coop_1,0,NaN,0
No-RSU,LinkDeg_Emerg,0,NaN,0
No-RSU,PosDeg_Emerg,0,0,0
No-RSU,Recovery,0,NaN,0.0238410596026488
No-RSU,Full,-0.00166389351081531,0,0.00599001663893484
No-Env,Normal,0.048,NaN,0
No-Env,Coop_1,0,NaN,0
No-Env,LinkDeg_Emerg,0,NaN,0
No-Env,PosDeg_Emerg,0,0,-0.0327272727272727
No-Env,Recovery,0,NaN,-0.0158940397350995
No-Env,Full,0.00998336106489184,0,-0.00998336106489184
No-Traj,Normal,0.024,NaN,0
No-Traj,Coop_1,0,NaN,0
No-Traj,LinkDeg_Emerg,0,NaN,0
No-Traj,PosDeg_Emerg,0,0,0
No-Traj,Recovery,0,NaN,0.0503311258278145
No-Traj,Full,0.00499168053244592,0,0.0126455906821963
