Method,Stage,AvgDelayMean_s,AvgDelayStd_s,AvgDelayCI95_s,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Link-aware,Normal,0.383330296802785,0.000882421974810152,0.000386738482020961,0.24,1.42383098656489e-16,6.24021443388219e-17,0.2,8.54298591938935e-17,3.74412866032931e-17,5.588,2.73375549420459e-15,1.19812117130538e-15,1,0,0
Link-aware,Coop_1,0.13739172251011,0.000934257795870927,0.000409456532254997,1,0,0,0,0,0,2.11666666666667,0,0,1,0,0
Link-aware,LinkDeg_Emerg,0.107185975656341,0.000726758975825681,0.000318516164748053,1,0,0,0,0,0,3.26923076923077,1.3668777471023e-15,5.9906058565269e-16,1,0,0
Link-aware,PosDeg_Emerg,0.0332397709863181,0.000259038906409981,0.000113528806295785,1,0,0,0,0,0,7.5,0,0,1,0,0
Link-aware,Recovery,0.0331817993090291,0.000205460847121326,9.00471864920834e-05,1,0,0,0,0,0,7.5,0,0,1,0,0
Link-aware,Full,0.128807638234227,0.000286290455816187,0.000125472324420821,0.84297520661157,2.27812957850383e-16,9.9843430942115e-17,0.0413223140495868,0,0,5.31570247933884,9.11251831401531e-16,3.9937372376846e-16,1,0,0
Full,Normal,0.339389981490189,0.000809134618708329,0.000354618882034519,0.628,0.0188064938392651,0.00824230933403344,0.2,8.54298591938935e-17,3.74412866032931e-17,4.436,1.82250366280306e-15,7.9874744753692e-16,1,0,0
Full,Coop_1,0.137249547988847,0.000933619012579085,0.000409176573133761,1,0,0,0,0,0,2.15,4.55625915700765e-16,1.9968686188423e-16,1,0,0
Full,LinkDeg_Emerg,0.106232216390083,0.000721254453107721,0.000316103701299767,1,0,0,0,0,0,3.5,0,0,1,0,0
Full,PosDeg_Emerg,0.0293292096938101,0.000228563740949982,0.000100172476143339,1,0,0,0,0,0,8.5,0,0,1,0,0
Full,Recovery,0.0292780582138492,0.000181288982754112,7.94533998459562e-05,1,0,0,0,0,0,8.5,0,0,1,0,0
Full,Full,0.119303166383047,0.000278873209911004,0.000122221573075056,0.923140495867769,0.00388563922298864,0.00170295647397384,0.0413223140495868,0,0,5.54876033057851,1.82250366280306e-15,7.9874744753692e-16,1,0,0
No-GNSS,Normal,0.346835066451497,0.00246262311434172,0.00107929216657954,0.608,0.0333403501386596,0.0146120527035227,0.18,0.020519567041703,0.008993096767726,4.4072,9.11251831401531e-16,3.9937372376846e-16,1,0,0
No-GNSS,Coop_1,0.137249547988847,0.000933619012579085,0.000409176573133761,1,0,0,0,0,0,2.15,4.55625915700765e-16,1.9968686188423e-16,1,0,0
No-GNSS,LinkDeg_Emerg,0.106232216390083,0.000721254453107721,0.000316103701299767,1,0,0,0,0,0,3.5,0,0,1,0,0
No-GNSS,PosDeg_Emerg,0.0293292096938101,0.000228563740949982,0.000100172476143339,1,0,0,0,0,0,8.5,0,0,1,0,0
No-GNSS,Recovery,0.0292780582138492,0.000181288982754112,7.94533998459562e-05,1,0,0,0,0,0,8.5,0,0,1,0,0
No-GNSS,Full,0.121561628487956,0.00145618748712766,0.000638202305003601,0.91900826446281,0.0068885020947644,0.00301901915362041,0.0371900826446281,0.00423957996729401,0.00185807784457149,5.54280991735537,9.11251831401531e-16,3.9937372376846e-16,1,0,0
No-RSU,Normal,0.269054488544469,0.000811859563027748,0.000355813141538211,0.788,0.0188064938392651,0.00824230933403344,0.2,8.54298591938935e-17,3.74412866032931e-17,4.52628,0.00304105244939978,0.00133280000000003,1,0,0
No-RSU,Coop_1,0.137249547988847,0.000933619012579085,0.000409176573133761,1,0,0,0,0,0,2.15,4.55625915700765e-16,1.9968686188423e-16,1,0,0
No-RSU,LinkDeg_Emerg,0.106232216390083,0.000721254453107721,0.000316103701299767,1,0,0,0,0,0,3.5,0,0,1,0,0
No-RSU,PosDeg_Emerg,0.0293292096938101,0.000228563740949982,0.000100172476143339,1,0,0,0,0,0,8.5,0,0,1,0,0
No-RSU,Recovery,0.0292780582138492,0.000181288982754112,7.94533998459562e-05,1,0,0,0,0,0,8.5,0,0,1,0,0
No-RSU,Full,0.107176357254474,0.000292627333641819,0.000128249583579133,0.956198347107438,0.00388563922298864,0.00170295647397385,0.0413223140495868,0,0,5.56741322314049,0.000628316621776861,0.000275371900826473,1,0,0
No-Env,Normal,0.339389981490189,0.000809134618708329,0.000354618882034519,0.628,0.0188064938392651,0.00824230933403344,0.2,8.54298591938935e-17,3.74412866032931e-17,4.436,1.82250366280306e-15,7.9874744753692e-16,1,0,0
No-Env,Coop_1,0.137249547988847,0.000933619012579085,0.000409176573133761,1,0,0,0,0,0,2.15,4.55625915700765e-16,1.9968686188423e-16,1,0,0
No-Env,LinkDeg_Emerg,0.106232216390083,0.000721254453107721,0.000316103701299767,1,0,0,0,0,0,3.5,0,0,1,0,0
No-Env,PosDeg_Emerg,0.0293292096938101,0.000228563740949982,0.000100172476143339,1,0,0,0,0,0,8.5,0,0,1,0,0
No-Env,Recovery,0.0292780582138492,0.000181288982754112,7.94533998459562e-05,1,0,0,0,0,0,8.5,0,0,1,0,0
No-Env,Full,0.119303166383047,0.000278873209911004,0.000122221573075056,0.923140495867769,0.00388563922298864,0.00170295647397384,0.0413223140495868,0,0,5.54876033057851,1.82250366280306e-15,7.9874744753692e-16,1,0,0
