Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Default,TimelyRate,0.969217970049917,0.00587463217907405,0.973599556295064,0.00614442815762938,0.00438158624514704,0.00389471717985432,0.00486845531043976,0,***
Default,LossRate,0.0307820299500832,0.00587463217907412,0.0264004437049362,0.00614442815762939,-0.00438158624514696,-0.00486845531043969,-0.00389471717985424,0,***
Default,AvgDelay,0.0235586432793333,0.00257193392851204,0.022977432401729,0.00273375919951115,-0.00058121087760431,-0.000679358990741964,-0.000483062764466657,5.47184519916755e-12,***
Default,AvgTxCost,1.62945091514143,9.03362056653392e-16,1.85076594564614,0.0292619232857685,0.221315030504714,0.215095768987294,0.227534292022134,0,***
Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestGeometry,TimelyRate,0.966777592900721,0.00686017676367918,0.974986134220743,0.00614054263955094,0.0082085413200221,0.00729891661726806,0.00911816602277614,0,***
ForestGeometry,LossRate,0.0330560177481974,0.00689141687275281,0.0243483083749307,0.00587029705649934,-0.00870770937326676,-0.00961614807260093,-0.00779927067393258,0,***
ForestGeometry,AvgDelay,0.0320859824176888,0.00198978976419834,0.0313568692841482,0.00193131983726632,-0.000729113133540629,-0.000856438498201524,-0.000601787768879735,2.63984389903271e-11,***
ForestGeometry,AvgTxCost,2.16482529118136,9.03362056653392e-16,2.47006489184692,0.0439517700525532,0.305239600665562,0.295898193081349,0.314581008249775,0,***
ForestGeometry,EmgTimely,0.822222222222222,0.163377505951187,0.916666666666666,0.0953919119120566,0.0944444444444443,0.067032241612352,0.121856647276537,6.05467069703103e-05,***
