Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,BaselineMethod,TimelyRateMean,EmergencyTimelyRateMean,LossRateMean,AvgTxCostMean,TimelyPerCost,EmergencyTimelyPerCost,ReliabilityPerCost,DeltaTimely_pp,DeltaEmergencyTimely_pp,DeltaAvgTxCost,TimelyGainPerCost_pp,EmergencyGainPerCost_pp,CostEfficiencyClass
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Link-delay-aware,0.968485856905158,1,0.0315141430948419,1.62945091514143,0.594363320739304,0.613703665883795,0.594363320739304,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Link-delay-aware,0.971414309484193,1,0.028585690515807,1.91525990016639,0.507197122124157,0.522122350033603,0.507197122124157,0.292845257903507,0,0.28580898502496,1.02461879523463,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Link-delay-aware,0.993677204658902,1,0.00632279534109816,1.89899833610649,0.523263862724722,0.526593405052843,0.523263862724722,2.5191347753744,0,0.26954742096506,9.34579439252339,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Link-delay-aware,0.742229617304492,0.0266666666666667,0.257737104825291,1.69833610648918,0.437033408445186,0.0157016426635316,0.437053002841189,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Link-delay-aware,0.774975041597338,0.02,0.224858569051581,2.18915041597338,0.354007214827563,0.00913596427822765,0.354083221185951,3.2745424292846,-0.66666666666667,0.4908143094842,6.67165232555228,-1.35828694026316,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,Link-delay-aware,0.80063227953411,0.02,0.199234608985025,2.62769284525791,0.304690207981872,0.00761123966071346,0.304740865150995,5.8402662229618,-0.66666666666667,0.92935673876873,6.28420280321994,-0.717342048382747,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Link-delay-aware,0.944492512479201,0.997434210526316,0.0555074875207986,2.14675540765392,0.439962796465662,0.464624058693469,0.439962796465662,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Link-delay-aware,0.980965058236273,0.999407894736842,0.0190349417637271,2.4973703826955,0.392799187911199,0.40018409029827,0.392799187911199,3.6472545757072,0.197368421052602,0.35061497504158,10.4024495111045,0.56292068252132,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,Link-delay-aware,0.98865224625624,0.997434210526316,0.0113477537437604,2.326768718802,0.424903531780879,0.428677849442583,0.424903531780878,4.41597337770391,0,0.18001331114808,24.5313713165984,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Link-delay-aware,0.691580698835275,0.800657894736842,0.307321131447587,2.26455906821964,0.305393093313739,0.353560172473799,0.305878030859661,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Link-delay-aware,0.706921797004992,0.800986842105263,0.291247920133111,2.68555108153078,0.263231558642349,0.298257906026757,0.263913088356858,1.53410981697171,0.032894736842104,0.42099201331114,3.64403544120895,0.0781362491496784,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,Link-delay-aware,0.715108153078203,0.800460526315789,0.283893510815308,2.86119500831947,0.249933384826581,0.279764407524932,0.250282307603108,2.3527454242928,-0.0197368421053001,0.59663594009983,3.94335182674235,-0.033080209854602,CostlyGain
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Link-delay-aware,0.997271214642263,1,0.0027287853577371,1.71880199667221,0.580212971926429,0.581800580832528,0.580212971926429,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Link-delay-aware,0.997371048252912,1,0.00262895174708818,1.95318136439268,0.510639240387711,0.511985224839035,0.510639240387711,0.0099833610649025,0,0.23437936772047,0.0425948800954572,0,CostlyGain
