Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.968485856905158,0.00631054107017387,0.971414309484193,0.0060944670241059,0.00292845257903494,0.292845257903485,0.00257044367781698,0.0032864614802529,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.31993265821489,Below1pp,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.0315141430948419,0.00631054107017387,0.028585690515807,0.0060944670241059,-0.00292845257903494,-0.292845257903494,-0.0032864614802529,-0.00257044367781698,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.31993265821489,Below1pp,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0237058133819145,0.00266393283303453,0.0236011206560585,0.00266048731915028,-0.000104692725855997,-0.441633130951196,-0.00016248117590415,-4.6904275807844e-05,0.0387217402747271,p = 0.03872,0.0774434805494542,p = 0.07744,*,n.s.,-0.245490196078431,-0.292336379832321,Sub-ms,0.503382623571452,p = 0.5034,n.s.
10014,Default,AvgTxCost,1.62945091514143,2.24298922669111e-16,1.91525990016639,0.041592658725601,0.285808985024957,17.5402021852343,0.279097415614607,0.292520554435307,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.87162094903629,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.742229617304492,0.0087131544906175,0.774975041597338,0.00751339660507407,0.0327454242928452,3.27454242928453,0.0316957827584504,0.0337950658272401,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.03404412539092,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.257737104825291,0.00878039912872064,0.224858569051581,0.0075617451359466,-0.0328785357737105,-3.28785357737104,-0.0339505332679007,-0.0318065382795202,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.94909854449409,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.104510220932634,0.0038205294053362,0.0920722165873457,0.00299504284153776,-0.0124380043452887,-11.9012324673067,-0.0129141540366272,-0.0119618546539502,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.21516520305207,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,1.69833610648918,4.48597845338221e-16,2.18915041597338,0.0563275827159725,0.490814309484196,28.8997158812582,0.48172504967973,0.499903569288662,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.71356954831685,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0266666666666667,0.0617213399848368,0.02,0.0547101204432193,-0.00666666666666667,-0.666666666666666,-0.0142734517546665,0.000940118421333185,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,-0.5,-0.14142135623731,Below1pp,1,p = 1,n.s.
