Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.968485856905158,0.00631054107017387,0.00174919274240105,0.0315141430948419,0.00631054107017387,0.00174919274240105,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,0.971414309484193,0.0060944670241059,0.00168930007250153,0.028585690515807,0.0060944670241059,0.00168930007250153,1.91525990016639,0.041592658725601,0.0115288968047205,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,0.993677204658902,0.0030625383234431,0.000848892313530916,0.00632279534109816,0.0030625383234431,0.000848892313530916,1.89899833610649,0.0264313511279929,0.00732639674646239,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.742229617304492,0.0087131544906175,0.00241516320532993,0.257737104825291,0.00878039912872064,0.00243380246805358,1.69833610648918,4.48597845338221e-16,1.24344978758018e-16,0.0266666666666667,0.0617213399848368,0.0171082825945018
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,0.774975041597338,0.00751339660507407,0.00208260728616321,0.224858569051581,0.0075617451359466,0.00209600881518704,2.18915041597338,0.0563275827159725,0.0156132093568736,0.02,0.0547101204432193,0.0151648716886538
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,0.80063227953411,0.00522602913606654,0.00144858137119012,0.199234608985025,0.00529178145111425,0.00146680698306691,2.62769284525791,0.0414780860655471,0.0114971388836143,0.02,0.0547101204432193,0.0151648716886538
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.944492512479201,0.00672952901211799,0.00186533027467481,0.0555074875207986,0.00672952901211799,0.00186533027467481,2.14675540765392,4.48597845338221e-16,1.24344978758018e-16,0.997434210526316,0.00276338165939644,0.000765970316863378
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,0.980965058236273,0.0046355585427141,0.00128491127301503,0.0190349417637271,0.0046355585427141,0.00128491127301503,2.4973703826955,0.025613791443454,0.00709978076365321,0.999407894736842,0.00127660504766974,0.000353856865752866
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,0.98865224625624,0.00416740099528874,0.00115514462144736,0.0113477537437604,0.00416740099528874,0.00115514462144736,2.326768718802,0.00816870701020277,0.00226425006321266,0.997434210526316,0.00276338165939644,0.000765970316863378
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.691580698835275,0.00687899638751675,0.00190676051740138,0.307321131447587,0.00725079583678142,0.00200981806683343,2.26455906821964,4.48597845338221e-16,1.24344978758018e-16,0.800657894736842,0.00483817205873451,0.00134107287434115
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.706921797004992,0.00468224941053785,0.00129785332128403,0.291247920133111,0.00492857435044238,0.00136613111115372,2.68555108153078,0.037909553466644,0.0105079921125831,0.800986842105263,0.00461627883091837,0.00127956720955459
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,0.715108153078203,0.00558759691656964,0.00154880284673543,0.283893510815308,0.00560375249451602,0.00155328094447362,2.86119500831947,0.029676802405725,0.00822598994420839,0.800460526315789,0.00453714778751931,0.00125763320337777
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,0.997271214642263,0.00186438521997885,0.000516781217262079,0.0027287853577371,0.00186438521997885,0.000516781217262079,1.71880199667221,4.48597845338221e-16,1.24344978758018e-16,1,0,0
