Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.968485856905158,0.00631054107017384,0.971414309484193,0.00609446702410589,0.00292845257903497,0.292845257903485,0.00257044367781701,0.00328646148025292,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.31993265821493,Below1pp,6.6752215755216e-307,p < 1e-15,***
10014,Default,LossRate,0.0315141430948419,0.00631054107017387,0.028585690515807,0.00609446702410589,-0.00292845257903493,-0.292845257903493,-0.0032864614802529,-0.00257044367781697,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.31993265821489,Below1pp,6.6752215755216e-307,p < 1e-15,***
10014,Default,AvgDelay,0.0237058133819145,0.00266393283303453,0.0236011206560585,0.00266048731915028,-0.000104692725856,-0.441633130951226,-0.000162481175904152,-4.6904275807848e-05,0.0387217402747182,p = 0.03872,0.0774434805494364,p = 0.07744,*,n.s.,-0.245490196078431,-0.292336379832335,Sub-ms,0.0774434805494364,p = 0.07744,n.s.
10014,Default,AvgTxCost,1.62945091514143,2.24298922669111e-16,1.91525990016639,0.0415926587256005,0.285808985024959,17.5402021852344,0.279097415614609,0.292520554435308,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.87162094903641,SeeDelta,6.6752215755216e-307,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.959467554076539,0.00862136864200168,0.972146422628952,0.00680508825050276,0.0126788685524126,1.26788685524126,0.0113782729946879,0.0139794641101373,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.982857142857143,1.57306126218683,Meaningful,6.6752215755216e-307,p < 1e-15,***
10014,ForestGeometry,LossRate,0.0403993344425956,0.00865590239257697,0.0273211314475873,0.00670707433906284,-0.0130782029950083,-1.30782029950083,-0.0143698541847664,-0.0117865518052502,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.99645390070922,-1.63384265117129,Meaningful,6.6752215755216e-307,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.0365036032277862,0.00253681273904489,0.0348931769240465,0.00205374046211681,-0.0016104263037397,-4.41169134370237,-0.00197886588953127,-0.00124198671794813,6.13192115972439e-07,p = 6.132e-07,1.22638423194488e-06,p = 1.226e-06,***,***,-0.684705882352941,-0.705313137656789,Meaningful,3.06596057986219e-06,p = 3.066e-06,***
10014,ForestGeometry,AvgTxCost,2.2112146422629,4.48597845338221e-16,2.57919234608985,0.0498813562435424,0.367977703826949,16.64142850693,0.359928634713104,0.376026772940793,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.37705891616744,SeeDelta,6.6752215755216e-307,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.833333333333333,0.161484047217268,0.923333333333333,0.0964799980445468,0.0899999999999999,8.99999999999999,0.0681241660489108,0.111875833951089,2.67837139134031e-06,p = 2.678e-06,2.67837139134031e-06,p = 2.678e-06,***,***,0.829059829059829,0.663873441035656,Meaningful,1.07134855653612e-05,p = 1.071e-05,***
