Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10014,Default,PosDeg_Emerg,TimelyRate,0.989090909090909,0.00757735230424083,0.997272727272727,0.0042742031452875,0.00818181818181817,0.00646401837228351,0.00989961799135284,2.09660317995741e-08,***
10014,Default,PosDeg_Emerg,LossRate,0.0109090909090909,0.00757735230424083,0.00272727272727271,0.0042742031452875,-0.00818181818181817,-0.00989961799135284,-0.00646401837228351,2.09660317995741e-08,***
10014,Default,PosDeg_Emerg,AvgDelay,0.0121129265687262,0.000155560970986275,0.0131986447708337,0.000368567603358836,0.00108571820210755,0.00100857692425833,0.00116285947995678,0,***
10014,Default,PosDeg_Emerg,AvgTxCost,2.03,4.55625915700765e-16,2.19736363636364,0.0451163495140667,0.167363636363637,0.155493302050314,0.17923397067696,0,***
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.960909090909091,0.0212894466664811,0.990909090909091,0.00780359159344502,0.03,0.02496481353495,0.03503518646505,2.39008812741304e-12,***
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.0381818181818182,0.0209807384893814,0.00499999999999998,0.00623938855593871,-0.0331818181818182,-0.0379828226474093,-0.028380813716227,4.44089209850063e-16,***
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.017077057087974,0.000823743396688005,0.0196049535740177,0.000566799501922889,0.00252789648604371,0.00236625973902257,0.00268953323306484,0,***
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.22818181818182,9.11251831401531e-16,2.72372727272727,0.0821883439421174,0.495545454545454,0.473921295459908,0.517169613631001,0,***
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0.825,0.157418873564722,0.908333333333333,0.10080088647155,0.0833333333333333,0.04996786003937,0.116698806627297,0.00329532153683765,**
10006,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10006,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10006,Default,PosDeg_Emerg,AvgDelay,0.0120385836886015,0.000172355936747872,0.0120385836886015,0.000172355936747872,0,0,0,1,n.s.
10006,Default,PosDeg_Emerg,AvgTxCost,2.55,9.11251831401531e-16,2.86554545454545,0.0804629384966108,0.315545454545455,0.294375258151589,0.336715650939322,0,***
10006,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10006,ForestGeometry,PosDeg_Emerg,TimelyRate,0.995909090909091,0.00549823017117543,1,0,0.00409090909090907,0.00264429758606865,0.00553752059574949,0.000876551433126815,***
10006,ForestGeometry,PosDeg_Emerg,LossRate,0.00409090909090907,0.00549823017117543,0,0,-0.00409090909090907,-0.00553752059574949,-0.00264429758606865,0.000876551433126815,***
10006,ForestGeometry,PosDeg_Emerg,AvgDelay,0.012459672051709,0.000266692376451087,0.0125442446093649,0.000224015992029785,8.45725576558762e-05,3.57006015902775e-05,0.000133444513721475,0.0417332912341379,*
10006,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.55,9.11251831401531e-16,2.98418181818182,0.123630171530839,0.434181818181819,0.401654109643987,0.46670952671965,0,***
10006,ForestGeometry,PosDeg_Emerg,EmgTimely,0.995909090909091,0.00549823017117543,1,0,0.00409090909090907,0.00264429758606865,0.00553752059574949,0.000876551433126815,***
10011,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10011,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10011,Default,PosDeg_Emerg,AvgDelay,0.0120339362391641,0.000169218348862838,0.0120339362391641,0.000169218348862838,0,0,0,1,n.s.
10011,Default,PosDeg_Emerg,AvgTxCost,2,0,2.00445454545455,0.0199213328904527,0.00445454545454547,-0.000786855587951057,0.00969594649704199,0.317310527664727,n.s.
10011,Default,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,n.s.
10011,ForestGeometry,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10011,ForestGeometry,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10011,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0120339362391641,0.000169218348862838,0.0120339362391641,0.000169218348862838,0,0,0,1,n.s.
10011,ForestGeometry,PosDeg_Emerg,AvgTxCost,2,0,2.03881818181818,0.0562362350854066,0.0388181818181818,0.024022150708035,0.0536142129283286,0.00202214229882847,**
10011,ForestGeometry,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,n.s.
