Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10014,Default,PosDeg_Emerg,TimelyRate,0.986363636363636,0.00642824346533229,1,0,0.0136363636363636,0.00371988955607292,0.0235528377166543,0.00269993456262974,**
10014,Default,PosDeg_Emerg,LossRate,0.0136363636363636,0.00642824346533229,0,0,-0.0136363636363636,-0.0235528377166543,-0.00371988955607292,0.00269993456262974,**
10014,Default,PosDeg_Emerg,AvgDelay,0.0121808476787769,0.000219959910925979,0.0137560575553786,0.000678361483805082,0.00157520987660171,0.000868060662304624,0.0022823590908988,1.17739551153129e-06,***
10014,Default,PosDeg_Emerg,AvgTxCost,2.03,0,3.29477272727273,0.0950737208522652,1.26477272727273,1.11810807562523,1.41143737892023,0,***
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.945454545454546,0.0128564869306645,0.986363636363636,0.00642824346533229,0.0409090909090909,0.0309926168288003,0.0508255649893815,0,***
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.05,0.00642824346533229,0.00454545454545452,0.00642824346533221,-0.0454545454545455,-0.0454545454545456,-0.0454545454545454,0,***
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0166876832622057,0.00128408990205121,0.0199343640699394,0.000657612656547168,0.0032466808077337,0.00228025111345771,0.0042131105020097,2.33590924381133e-13,***
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.22272727272727,0,3.57590909090909,0.175748176342184,1.35318181818182,1.08206541682667,1.62429821953696,0,***
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0.666666666666667,0.235702260395516,0.833333333333333,0,0.166666666666667,-0.19693738294399,0.530270716277323,0.317310527664727,n.s.
10006,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10006,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10006,Default,PosDeg_Emerg,AvgDelay,0.0121392522766047,0.000232267700461814,0.0126886914375493,0.000544756612644905,0.00054943916094458,-0.000649230662660204,0.00174810898454936,0.317310527664727,n.s.
10006,Default,PosDeg_Emerg,AvgTxCost,2.55,0,2.70409090909091,0.0944951789403845,0.154090909090909,0.0083187401106361,0.299863078071182,0.0211037367869651,*
10006,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10006,ForestGeometry,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10006,ForestGeometry,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10006,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0125985537091552,0.000348174614817014,0.0130121495347,0.000434503343548394,0.000413595825544796,-0.000793795544928787,0.00162098719601838,0.454868795224967,n.s.
10006,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.55,0,2.79954545454545,0.190918830920368,0.249545454545455,-0.0449738256391768,0.544064734730086,0.0645321139019406,n.s.
10006,ForestGeometry,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10017,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10017,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10017,Default,PosDeg_Emerg,AvgDelay,0.0121392522766047,0.000232267700461814,0.0121392522766047,0.000232267700461814,0,0,0,1,n.s.
10017,Default,PosDeg_Emerg,AvgTxCost,2,0,2.98090909090909,0.14142135623731,0.980909090909092,0.762746661142697,1.19907152067549,0,***
10017,Default,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,n.s.
10017,ForestGeometry,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10017,ForestGeometry,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,1,n.s.
10017,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0121392522766047,0.000232267700461814,0.0121392522766047,0.000232267700461814,0,0,0,1,n.s.
10017,ForestGeometry,PosDeg_Emerg,AvgTxCost,2,0,3.04727272727273,0.0707106781186551,1.04727272727273,0.93819151238953,1.15635394215593,0,***
10017,ForestGeometry,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,n.s.
