Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.852,0.0395979797464467,0.05488,0.148,0.0395979797464467,0.05488,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.986363636363636,0.00642824346533229,0.00890909090909097,0.0136363636363636,0.00642824346533229,0.00890909090909097,2.03,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.996688741721854,0.00468282636547385,0.00649006622516559,0.00331125827814571,0.00468282636547385,0.00649006622516559,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.965890183028286,0.00823585269268857,0.011414309484193,0.0341098169717138,0.00823585269268857,0.011414309484193,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Normal,0.852,0.0395979797464467,0.05488,0.148,0.0395979797464467,0.05488,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Coop_1,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2.13461538461538,0.0228449883152577,0.0316615384615385,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,3.29477272727273,0.0950737208522652,0.131765454545456,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Recovery,1,0,0,0,0,0,1.16205298013245,0.0175137706068722,0.0242728476821193,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Full,0.969217970049917,0.00823585269268857,0.011414309484193,0.0307820299500832,0.00823585269268857,0.011414309484193,1.89791181364393,0.0154716375584074,0.0214425956738762,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Normal,0.976,0,0,0.024,0,0,1.6484,0.00565685424949239,0.00784000000000001,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Coop_1,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2.15076923076923,0.0304599844203435,0.0422153846153846,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.90818181818182,0.109280138910648,0.151454545454545,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Recovery,1,0,0,0,0,0,1.14122516556291,0.00819494613957912,0.0113576158940396,NaN,NaN,NaN
