Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,1.312,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.990909090909091,0.00857099128710966,0.00531235543745404,0.00909090909090906,0.00857099128710966,0.00531235543745404,2.03,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.996688741721854,0.00468282636547382,0.00290244585158913,0.0033112582781457,0.00468282636547382,0.00290244585158913,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Normal,0.8752,0.0348099602604389,0.0215754368978552,0.1248,0.0348099602604389,0.0215754368978552,1.34924,0.00476822818245952,0.0029553784461555,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,PosDeg_Emerg,0.998181818181818,0.0038330638305071,0.00237575757575756,0.00181818181818181,0.0038330638305071,0.00237575757575756,2.19763636363636,0.0585706702708614,0.0363024775391721,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Recovery,0.998013245033113,0.00319897941416987,0.00198274798280651,0.00198675496688743,0.00319897941416987,0.00198274798280651,1.0958940397351,0.0293669595802184,0.0182018301246081,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Full,0.972712146422629,0.00711140118683288,0.00440769212070083,0.027287853577371,0.00711140118683288,0.00440769212070083,1.67366888519135,0.0126188190257344,0.00782122506254638,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Normal,0.968,0.0135973853695808,0.00842774676622142,0.032,0.0135973853695808,0.00842774676622142,1.6228,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,PosDeg_Emerg,0.990909090909091,0.00857099128710966,0.00531235543745404,0.00909090909090906,0.00857099128710966,0.00531235543745404,2.03,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Recovery,0.996688741721854,0.00468282636547382,0.00290244585158913,0.0033112582781457,0.00468282636547382,0.00290244585158913,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Full,0.990349417637271,0.00382655314712375,0.0023717222123889,0.00965058236272878,0.00382655314712375,0.00237172221238891,1.69409317803661,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Normal,0.8856,0.0399199198395989,0.0247426226580773,0.1144,0.0399199198395989,0.0247426226580773,3.46528,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.960909090909091,0.0135857647099757,0.00842054420677738,0.0372727272727273,0.0124574574491482,0.00772121212121214,2.22818181818182,4.6811112914356e-16,2.90138283768708e-16,0.783333333333333,0.176558317578563,0.109431978985539
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Recovery,0.989403973509934,0.00711899138922608,0.00441239657688381,0.0105960264900662,0.00711899138922608,0.00441239657688381,1.27682119205298,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Full,0.965890183028286,0.00800861291081178,0.00496378970857204,0.0337770382695507,0.00800092710010573,0.00495902599374283,2.16482529118136,4.6811112914356e-16,2.90138283768708e-16,0.783333333333333,0.176558317578563,0.109431978985539
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Normal,0.8936,0.0367671350831449,0.0227885064207571,0.1064,0.0367671350831449,0.0227885064207571,3.536,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
