Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,BaselineMethod,TimelyRateMean,EmergencyTimelyRateMean,LossRateMean,AvgTxCostMean,TimelyPerCost,EmergencyTimelyPerCost,ReliabilityPerCost,DeltaTimely_pp,DeltaEmergencyTimely_pp,DeltaAvgTxCost,TimelyGainPerCost_pp,EmergencyGainPerCost_pp,CostEfficiencyClass
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Link-delay-aware,0.968485856905158,1,0.0315141430948419,1.62945091514143,0.594363320739304,0.613703665883795,0.594363320739304,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Link-delay-aware,0.971247920133111,1,0.0287520798668885,1.86512978369384,0.520740126839634,0.536155718890256,0.520740126839634,0.276206322795336,0,0.235678868552413,1.17196049222338,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Link-delay-aware,0.993677204658902,1,0.00632279534109816,1.89899833610649,0.523263862724723,0.526593405052844,0.523263862724723,2.51913477537437,0,0.269547420965058,9.34579439252334,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Link-delay-aware,0.742229617304492,0.0266666666666667,0.257737104825291,1.69833610648918,0.437033408445186,0.0157016426635316,0.437053002841189,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Link-delay-aware,0.774742096505824,0.02,0.225058236272879,2.19077903494177,0.353637717062788,0.00912917262809741,0.353728856889358,3.25124792013313,-0.666666666666668,0.492442928452586,6.60228370087391,-1.35379478138015,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,Link-delay-aware,0.80063227953411,0.02,0.199234608985025,2.62769284525791,0.304690207981872,0.00761123966071348,0.304740865150995,5.84026622296173,-0.666666666666668,0.929356738768727,6.28420280321989,-0.717342048382747,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Link-delay-aware,0.944492512479201,0.997434210526316,0.0555074875207986,2.14675540765392,0.439962796465662,0.464624058693468,0.439962796465662,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Link-delay-aware,0.980965058236273,0.999407894736842,0.0190349417637271,2.47457237936772,0.396418010002569,0.403870948802962,0.396418010002569,3.64725457570716,0.197368421052646,0.327816971713797,11.1258869747946,0.60206895335779,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,Link-delay-aware,0.988652246256239,0.997434210526316,0.0113477537437604,2.326768718802,0.424903531780878,0.428677849442583,0.424903531780878,4.41597337770381,0,0.180013311148082,24.5313713165976,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Link-delay-aware,0.691580698835275,0.800657894736842,0.307321131447587,2.26455906821964,0.305393093313739,0.353560172473799,0.305878030859661,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Link-delay-aware,0.706955074875208,0.801052631578947,0.290715474209651,2.69581896838602,0.262241301498988,0.297146299871365,0.263105399178564,1.53743760399335,0.0394736842105226,0.431259900166379,3.56499086374646,0.0915310795074934,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,Link-delay-aware,0.715108153078203,0.800460526315789,0.283893510815308,2.86119500831947,0.249933384826581,0.279764407524932,0.250282307603109,2.35274542429283,-0.0197368421052779,0.59663594009983,3.9433518267424,-0.0330802098545648,CostlyGain
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Link-delay-aware,0.997271214642263,1,0.0027287853577371,1.71880199667221,0.580212971926429,0.581800580832528,0.580212971926429,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Link-delay-aware,0.997371048252912,1,0.00262895174708819,1.95315640599002,0.510645765589553,0.511991767240535,0.510645765589553,0.00998336106488029,0,0.234354409317805,0.0425994163879459,0,CostlyGain
10011,Boundary,Open,Low,Sparse,Default,Constrained Oracle,Link-delay-aware,0.997404326123128,1,0.00259567387687188,1.90844093178037,0.522627821230317,0.523987922993828,0.522627821230317,0.0133111480865145,0,0.189638935108155,0.0701920630324297,0,CostlyGain
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Link-delay-aware,0.590316139767055,0.3,0.40522462562396,2.72888519134775,0.216321354096802,0.109935002377962,0.21795544065461,0,0,0,0,0,Baseline
