Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,PosDeg_Emerg,TimelyRate,0.988727272727273,0.00928548723725678,0.998181818181818,0.00410685410411475,0.00945454545454536,0.945454545454538,0.00816406674917589,0.0107450241599148,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.18221704048017,Below1pp,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,LossRate,0.0112727272727273,0.00928548723725687,0.00181818181818181,0.00410685410411476,-0.00945454545454544,-0.945454545454544,-0.0107450241599149,-0.00816406674917595,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.18221704048017,Below1pp,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,AvgDelay,0.0120856479198073,0.000165200536202098,0.0121951043723243,0.000186854724471995,0.00010945645251702,0.905673020125248,8.93147629369417e-05,0.000129598142097098,5.64573277017644e-10,p = 5.646e-10,1.12914655403529e-09,p = 1.129e-09,***,***,0.949206349206349,0.87690566045445,Sub-ms,1.69371983105293e-08,p = 1.694e-08,***
10014,Default,PosDeg_Emerg,AvgTxCost,2.03,4.48597845338221e-16,3.12147272727273,0.164305669954778,1.09147272727273,53.7671294223019,1.06495966121243,1.11798579333303,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.64294012235328,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.811272727272727,0.0134414015926602,0.830909090909091,0.00936506824795831,0.0196363636363634,1.96363636363635,0.017640328421867,0.0216323988508599,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.58745078663875,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.188545454545455,0.0137208268540853,0.168,0.00940819235131151,-0.0205454545454543,-2.05454545454543,-0.0225946861623815,-0.0184962229285272,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.61782711316197,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0124958600183345,0.000361597168567041,0.0131772193179783,0.000603564982800525,0.000681359299643854,5.45268031687403,0.000604343610681792,0.000758374988605916,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.4275929228455,Sub-ms,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.14545454545455,4.48597845338221e-16,3.66363272727273,0.26353690463495,1.51817818181818,70.762542372881,1.4756527390636,1.56070362457276,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.76078019858794,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0.0266666666666667,0.0617213399848369,0.02,0.0547101204432194,-0.00666666666666668,-0.666666666666668,-0.0142734517546665,0.000940118421333187,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,-0.5,-0.14142135623731,Below1pp,1,p = 1,n.s.
