Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.012871576856336,0.000173604343342029,4.81206689008698e-05,0.86736,0.0290515094974708,0.00805266759279185,0.13264,0.0290515094974707,0.00805266759279184,1.312,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.012043039093224,0.000154810639554441,4.29113199872783e-05,0.9992,0.0021884048177289,0.000606594867546186,0.000800000000000005,0.00218840481772879,0.000606594867546155,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.0120834707393603,0.000218531961912669,6.05739694123838e-05,0.999076923076923,0.00369073749972445,0.00102302024134478,0.000923076923076918,0.00369073749972452,0.0010230202413448,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.0120856479198073,0.000165200536202098,4.57912524064297e-05,0.988727272727273,0.00928548723725678,0.00257380574889748,0.0112727272727273,0.00928548723725687,0.00257380574889751,2.03,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.012084684861182,0.000126051132485679,3.49395913382919e-05,0.993774834437086,0.00633375031345929,0.00175562601641988,0.00622516556291391,0.00633375031345923,0.00175562601641986,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.012220663446044,5.9720681163805e-05,1.65537282621784e-05,0.968485856905158,0.00631054107017384,0.00174919274240104,0.0315141430948419,0.00631054107017387,0.00174919274240105,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Normal,0.0128777071908934,0.000185847028281717,5.15141680328571e-05,0.86768,0.0291018198463146,0.00806661291001372,0.13232,0.0291018198463145,0.00806661291001372,1.313008,0.0029262945853075,0.000811127476048001,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Coop_1,0.012043039093224,0.000154810639554441,4.29113199872783e-05,0.9992,0.0021884048177289,0.000606594867546186,0.000800000000000005,0.00218840481772879,0.000606594867546155,2.00009333333333,0.000659966329107937,0.00018293333333347,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,LinkDeg_Emerg,0.0120834707393603,0.000218531961912669,6.05739694123838e-05,0.999076923076923,0.00369073749972445,0.00102302024134478,0.000923076923076918,0.00369073749972452,0.0010230202413448,2.17953846153846,0.101275645790994,0.0280721767958806,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,PosDeg_Emerg,0.0121951043723243,0.000186854724471995,5.17934871661896e-05,0.998181818181818,0.00410685410411475,0.00113836187945443,0.00181818181818181,0.00410685410411476,0.00113836187945443,3.12147272727273,0.164305669954778,0.0455432081376694,1,0,0
