Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,Normal,0.864,0.0312544733640348,0.0136978769004159,0.136,0.0312544733640348,0.0136978769004159,0.0128516061701926,0.000189952068373125,8.32501645204029e-05,1.312,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
Generic,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,0.012044257203741,0.000180448140191168,7.90848843446492e-05,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120198153312233,0.000218646870929338,9.5826216227262e-05,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,PosDeg_Emerg,0.989090909090909,0.00757735230424083,0.00332092106898244,0.0109090909090909,0.00757735230424083,0.00332092106898244,0.0121129265687262,0.000155560970986275,6.8177601531152e-05,2.03,4.55625915700765e-16,1.9968686188423e-16,1,0,0
Generic,Link-delay-aware,Recovery,0.99635761589404,0.00454524994141231,0.00199204361737007,0.00364238410596027,0.00454524994141231,0.00199204361737007,0.0120897959477342,0.000129415269976678,5.67187428348907e-05,1.07284768211921,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
Generic,Link-delay-aware,Full,0.968552412645591,0.00624674839452812,0.0027377581935065,0.0314475873544093,0.00624674839452812,0.0027377581935065,0.0122163025844466,7.15329368107171e-05,3.13506918304362e-05,1.62945091514143,9.11251831401531e-16,3.9937372376846e-16,1,0,0
Generic,Confidence-driven,Normal,0.8644,0.0315200854928042,0.013814286548429,0.1356,0.0315200854928042,0.013814286548429,0.012859228117412,0.000210224465727078,9.21349343962668e-05,1.3134,0.00248786528658811,0.00109035503633591,NaN,NaN,NaN
Generic,Confidence-driven,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,0.012044257203741,0.000180448140191168,7.90848843446492e-05,2,0,0,NaN,NaN,NaN
Generic,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,0.0120198153312233,0.000218646870929338,9.5826216227262e-05,2.19061538461539,0.104534262427097,0.0458141604858991,NaN,NaN,NaN
Generic,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,0.0135801182568634,0.000486671500034074,0.000213293189130444,3.31576363636364,0.166937940924321,0.0731637784504028,1,0,0
Generic,Confidence-driven,Recovery,0.998344370860927,0.00364317618688862,0.00159669236314672,0.00165562913907285,0.00364317618688861,0.00159669236314672,0.0126462901070961,0.000524418961828286,0.000229836743678231,1.20365231788079,0.0959545487777051,0.0420539351881845,NaN,NaN,NaN
Generic,Confidence-driven,Full,0.971131447587354,0.00620872766157456,0.00272109487259255,0.0288685524126456,0.00620872766157456,0.00272109487259255,0.0126380199245005,0.000151566118391911,6.64267801867785e-05,1.91855324459234,0.0413702576603122,0.0181313148415274,1,0,0
Generic,Oracle,Normal,0.9712,0.016700456974523,0.00731929798186742,0.0288,0.016700456974523,0.00731929798186742,0.0150375006308901,0.000631799854876372,0.000276898495040901,1.643,0.0120367857223727,0.00527535393674157,NaN,NaN,NaN
Generic,Oracle,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,0.012044257203741,0.000180448140191168,7.90848843446492e-05,2,0,0,NaN,NaN,NaN
Generic,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,0.0121600728310031,0.000412854541861434,0.000180941480802653,2.20123076923077,0.100179347114514,0.0439055346975617,NaN,NaN,NaN
Generic,Oracle,PosDeg_Emerg,0.998636363636364,0.00333043225938656,0.00145962629358352,0.00136363636363636,0.00333043225938656,0.00145962629358352,0.0147247734269966,0.00112773416042361,0.000494251287678144,2.91468181818182,0.0974513295727344,0.0427099282947844,1,0,0
Generic,Oracle,Recovery,0.999006622516556,0.00242614270551341,0.00106330392247808,0.000993377483443714,0.00242614270551341,0.00106330392247808,0.0122378588738857,0.000302705448731542,0.000132666512262568,1.13900662251656,0.0300094586972261,0.0131522251645341,NaN,NaN,NaN
Generic,Oracle,Full,0.993261231281198,0.00330471906656327,0.00144835698995753,0.00673876871880199,0.00330471906656327,0.00144835698995753,0.0132080075264746,0.000248526497350848,0.000108921539888138,1.89860232945091,0.024703113915397,0.0108266170262668,1,0,0
ForestParam,Link-delay-aware,Normal,0.8632,0.0278219905451558,0.0121935249771517,0.1368,0.0278219905451558,0.0121935249771517,0.0637306859906141,0.00127512347565115,0.000558847503167306,3.69872,4.55625915700765e-16,1.9968686188423e-16,NaN,NaN,NaN
ForestParam,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,0.012044257203741,0.000180448140191168,7.90848843446492e-05,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120198153312233,0.000218646870929338,9.5826216227262e-05,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,PosDeg_Emerg,0.958636363636364,0.0209548075210133,0.00918384931819227,0.0404545454545454,0.0207461929930761,0.0090924199701422,0.0171574101413433,0.000829466649240522,0.000363529787303073,2.22272727272727,9.11251831401531e-16,3.9937372376846e-16,0.825,0.157418873564722,0.068991863237504
ForestParam,Link-delay-aware,Recovery,0.985099337748345,0.00800345939575115,0.00350767073575556,0.0149006622516556,0.00800345939575115,0.00350767073575556,0.014709059658814,0.000266350878827687,0.000116733419501401,1.27218543046358,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,Full,0.959983361064892,0.008283924425121,0.00363058995446812,0.0398502495840266,0.00835398740805182,0.0036612964106059,0.0233303538777819,0.000449201141132094,0.0001968710802798,2.2112146422629,0,0,0.825,0.157418873564722,0.068991863237504
ForestParam,Confidence-driven,Normal,0.8796,0.0324676357072863,0.0142295687399976,0.1204,0.0324676357072863,0.0142295687399976,0.0658954802058114,0.0020122361917749,0.000881901394672418,3.915104,0.0105054283712353,0.00460420698628405,NaN,NaN,NaN
ForestParam,Confidence-driven,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,0.012044257203741,0.000180448140191168,7.90848843446492e-05,2.00396666666667,0.00873381544136027,0.0038277633858445,NaN,NaN,NaN
ForestParam,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,0.0120198153312233,0.000218646870929338,9.5826216227262e-05,2.31438461538462,0.190876471750917,0.0836553021635121,NaN,NaN,NaN
ForestParam,Confidence-driven,PosDeg_Emerg,0.991818181818182,0.00716426296047647,0.00313987668170862,0.00454545454545453,0.0062567927419244,0.00274216032284577,0.0196037273301192,0.000567859534255688,0.000248875413972349,3.56408181818182,0.21346678783474,0.0935559447132528,0.916666666666667,0.0854981960070962,0.0374712365321917
ForestParam,Confidence-driven,Recovery,0.995033112582782,0.00563375039220795,0.00246909997366764,0.00496688741721855,0.00563375039220795,0.00246909997366764,0.0156484216570552,0.000523660147209055,0.000229504178508331,1.4195,0.0377805411113398,0.0165580521977295,NaN,NaN,NaN
ForestParam,Confidence-driven,Full,0.971963394342762,0.00698199035643528,0.00305999219082651,0.0273710482529118,0.00694432311731013,0.00304348379541363,0.0245183509681244,0.000669338938657986,0.000293350723898056,2.57372961730449,0.0425326874826139,0.0186407721734683,0.916666666666667,0.0854981960070962,0.0374712365321917
