Config,Profile,Vegetation,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_blind_medium,blind,medium,TimelyRate,0.822628951747088,0.0053887777266738,0.844425956738769,0.00838392482408809,0.0217970049916806,0.0191887223827705,0.0244052876005907,0,***
FG_blind_medium,blind,medium,LossRate,0.17720465890183,0.00572372918484473,0.155241264559068,0.0081532668508704,-0.0219633943427621,-0.0244524645211774,-0.0194743241643468,0,***
FG_blind_medium,blind,medium,AvgDelay,0.0918905870145066,0.0017126101217919,0.0870958458604581,0.00267589621189545,-0.00479474115404852,-0.00560281563489713,-0.00398666667319991,4.81836792687318e-13,***
FG_blind_medium,blind,medium,AvgTxCost,1.82655574043261,2.3405556457178e-16,2.19753577371048,0.0281762902084282,0.370980033277872,0.360121108235196,0.381838958320549,0,***
FG_blind_medium,blind,medium,EmgTimely,0.971028037383178,0.0102850928468654,0.986915887850467,0.00482614747190984,0.0158878504672896,0.0124708857017079,0.0193048152328713,1.4601172715345e-08,***
FG_blind_sparse,blind,sparse,TimelyRate,0.9738768718802,0.0042997332098312,0.977371048252912,0.00458703785427292,0.0034941763727122,0.00251698316447795,0.00447136958094645,1.31477116740442e-05,***
FG_blind_sparse,blind,sparse,LossRate,0.0259567387687188,0.00458703785427293,0.0224625623960067,0.00485104150985464,-0.00349417637271213,-0.00447136958094632,-0.00251698316447794,1.31477116740442e-05,***
FG_blind_sparse,blind,sparse,AvgDelay,0.0218962459634751,0.0011461517783216,0.0213309060490121,0.00131153555083339,-0.00056533991446306,-0.000793439993952272,-0.000337239834973847,0.0025232290633983,**
FG_blind_sparse,blind,sparse,AvgTxCost,1.66765391014975,2.3405556457178e-16,1.85443427620632,0.016647474698982,0.186780366056574,0.180364557638615,0.193196174474533,0,***
FG_blind_sparse,blind,sparse,EmgTimely,0.986915887850467,0.00653463456803852,0.991588785046729,0.00530510478689296,0.00467289719626187,0.00277458343760525,0.00657121095491849,0.00269993456262951,**
FG_curved_dense,curved,dense,TimelyRate,0.820465890183028,0.0058932008692798,0.851580698835275,0.0040605668813585,0.0311148086522462,0.0297612425081374,0.0324683747963549,0,***
FG_curved_dense,curved,dense,LossRate,0.179201331114809,0.00560424540391307,0.147920133111481,0.00425659098266221,-0.0312811980033278,-0.0326925993953269,-0.0298697966113287,0,***
FG_curved_dense,curved,dense,AvgDelay,0.0956748999494108,0.00178993352736452,0.0869981267460809,0.00203377196992744,-0.00867677320332989,-0.00925267640202582,-0.00810087000463396,0,***
FG_curved_dense,curved,dense,AvgTxCost,1.59565723793677,0,1.95206322795341,0.052334857922306,0.356405990016642,0.336236539209117,0.376575440824167,0,***
FG_curved_dense,curved,dense,EmgTimely,0.932710280373832,0.0210366891166782,0.977570093457944,0.0109699793530587,0.0448598130841123,0.0367524352648787,0.0529671909033459,1.55579993332822e-11,***
FG_curved_medium,curved,medium,TimelyRate,0.875540765391015,0.00462710008089077,0.89351081530782,0.00526169327815033,0.0179700499168052,0.0154265078571161,0.0205135919764943,0,***
FG_curved_medium,curved,medium,LossRate,0.124292845257903,0.00429973320983132,0.106322795341098,0.00498859829656548,-0.0179700499168051,-0.0203655826882762,-0.015574517145334,0,***
FG_curved_medium,curved,medium,AvgDelay,0.0701731438081377,0.00170867380345271,0.0652839174349451,0.00220948298322091,-0.00488922637319264,-0.00598015552988242,-0.00379829721650285,4.72095547099372e-08,***
FG_curved_medium,curved,medium,AvgTxCost,1.56956738768719,0,1.82728286189684,0.0403523012732438,0.257715474209648,0.242164008364276,0.27326694005502,0,***
FG_curved_medium,curved,medium,EmgTimely,0.962616822429906,0.0170630080219679,0.985981308411215,0.0118625749312522,0.0233644859813085,0.0171840241588529,0.0295449478037641,4.08527527362423e-06,***
FG_curved_sparse,curved,sparse,TimelyRate,0.974542429284526,0.00342347184958648,0.978535773710483,0.00371644272163098,0.0039933444259568,0.00289507407314941,0.00509161477876419,9.37487644359081e-06,***
FG_curved_sparse,curved,sparse,LossRate,0.0254575707154742,0.00342347184958644,0.0214642262895175,0.00371644272163081,-0.00399334442595672,-0.00509161477876409,-0.00289507407314935,9.37487644359081e-06,***
FG_curved_sparse,curved,sparse,AvgDelay,0.0235367025596776,0.00116146648112367,0.0227906608604645,0.00137510735733744,-0.00074604169921309,-0.00116255814481728,-0.000329525253608899,0.0290430243862825,*
FG_curved_sparse,curved,sparse,AvgTxCost,1.55808652246256,0,1.71435274542429,0.0209137392892948,0.156266222961734,0.148206229058186,0.164326216865282,0,***
FG_curved_sparse,curved,sparse,EmgTimely,0.990654205607477,0.0116562535413517,0.993457943925234,0.00990046640627457,0.00280373831775691,0.00106390501939302,0.0045435716161208,0.0495344752060798,*
FG_straight_dense,straight,dense,TimelyRate,0.903993344425957,0.00701778306728182,0.917138103161398,0.00507116115392673,0.0131447587354411,0.0112703233826019,0.0150191940882803,0,***
FG_straight_dense,straight,dense,LossRate,0.0960066555740433,0.00701778306728186,0.0828618968386024,0.00507116115392677,-0.0131447587354409,-0.0150191940882801,-0.0112703233826017,0,***
FG_straight_dense,straight,dense,AvgDelay,0.0657644387818662,0.00283629128155548,0.0609321402657086,0.0022203298358569,-0.00483229851615763,-0.00556036576871021,-0.00410423126360505,4.44089209850063e-16,***
FG_straight_dense,straight,dense,AvgTxCost,1.88291181364393,4.6811112914356e-16,2.07909317803661,0.0359858741886277,0.196181364392676,0.182312685886071,0.210050042899281,0,***
FG_straight_dense,straight,dense,EmgTimely,0.993457943925234,0.00886619904720099,0.999065420560748,0.00295539968240025,0.00560747663551391,0.00212781003878604,0.00908714323224178,0.0495344752060827,*
FG_straight_medium,straight,medium,TimelyRate,0.968053244592346,0.00357726355997711,0.969051580698835,0.00315701596689004,0.000998336106489106,0.000457585165587303,0.00153908704739091,0.0244488677837442,*
FG_straight_medium,straight,medium,LossRate,0.0319467554076539,0.00357726355997715,0.0309484193011647,0.00315701596689021,-0.00099833610648918,-0.00153908704739101,-0.000457585165587352,0.02444886778374,*
FG_straight_medium,straight,medium,AvgDelay,0.0312335041219915,0.00140394916703405,0.0310429344798443,0.00133705594589643,-0.00019056964214724,-0.000396522584418322,1.53833001238411e-05,0.259452049405358,n.s.
FG_straight_medium,straight,medium,AvgTxCost,1.72883527454243,2.3405556457178e-16,1.86589517470882,0.0217129114833704,0.137059900166389,0.128691911459854,0.145427888872924,0,***
FG_straight_medium,straight,medium,EmgTimely,0.998130841121495,0.003940532909867,1,0,0.00186915887850461,0.000350507871579426,0.00338780988542979,0.133614461953004,n.s.
FG_straight_sparse,straight,sparse,TimelyRate,0.995008319467554,0.00303784003053348,0.99567387687188,0.00284974655100745,0.000665557404326289,0.00033441643354136,0.000996698375111218,0.0143058866349626,*
FG_straight_sparse,straight,sparse,LossRate,0.00499168053244592,0.00303784003053336,0.0043261231281198,0.00284974655100724,-0.000665557404326121,-0.000996698375110967,-0.000334416433541275,0.0143058866349626,*
FG_straight_sparse,straight,sparse,AvgDelay,0.0147907247013528,0.0011872068728174,0.0146247556847652,0.00122954834400929,-0.00016596901658762,-0.000305110406446692,-2.68276267285472e-05,0.14603058857139,n.s.
FG_straight_sparse,straight,sparse,AvgTxCost,1.56863560732113,2.3405556457178e-16,1.69576206322795,0.0188351733660642,0.127126455906824,0.119867525286968,0.13438538652668,0,***
FG_straight_sparse,straight,sparse,EmgTimely,0.999065420560748,0.00295539968240025,1,0,0.000934579439252303,-0.000204408815941583,0.00207356769444619,0.317310527664727,n.s.
