Config,Profile,Vegetation,Variant,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_Blind_Medium_Base,Blind,Medium,Base,PosDeg_Emerg,TimelyRate,0.920909090909091,0.0226969494679685,0.975454545454546,0.0171687460293519,0.0545454545454546,0.0462874696191496,0.0628034394717595,8.88178419700125e-16,***
FG_Blind_Medium_Base,Blind,Medium,Base,PosDeg_Emerg,LossRate,0.0790909090909091,0.0226969494679685,0.0236363636363636,0.0161489849629991,-0.0554545454545455,-0.0632800483079527,-0.0476290426011382,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,PosDeg_Emerg,AvgDelay,0.0246989532778989,0.00111718345232262,0.0280135331599538,0.00101444951750196,0.0033145798820548,0.00302735476217633,0.00360180500193328,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,PosDeg_Emerg,AvgTxCost,3.00009090909091,0,3.94103636363637,0.0474918039422555,0.940945454545458,0.922642479408007,0.959248429682908,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,PosDeg_Emerg,EmgTimely,0.966101694915254,0.01957119556575,0.989830508474576,0.00875250473719188,0.0237288135593221,0.0174182317652562,0.0300393953533879,4.59749776160479e-06,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,PosDeg_Emerg,TimelyRate,0.94,0.0219357103889138,0.95,0.0192847303959968,0.01,0.0074148418086659,0.0125851581913341,2.4284580251166e-06,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,PosDeg_Emerg,LossRate,0.05,0.0219566314336204,0.0381818181818182,0.0195448672686026,-0.0118181818181818,-0.0147025719504725,-0.00893379168589117,5.94069621939752e-07,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,PosDeg_Emerg,AvgDelay,0.0303603942193852,0.00123478976083181,0.0306421637268012,0.00125407509520494,0.000281769507416048,0.000147331250158576,0.00041620776467352,0.0106398024572991,*
FG_Blind_Medium_Plus,Blind,Medium,Plus,PosDeg_Emerg,AvgTxCost,3.67827272727273,4.6811112914356e-16,4.03813636363637,0.038821132762247,0.35986363636364,0.344902271059029,0.374825001668251,0,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,PosDeg_Emerg,EmgTimely,0.967796610169491,0.0186526260104172,0.971186440677966,0.0160793779330596,0.00338983050847457,0.000635666817949149,0.00614399419899998,0.133614461953005,n.s.
FG_Curved_Dense_Base,Curved,Dense,Base,PosDeg_Emerg,TimelyRate,0.918181818181818,0.0191653191525356,0.955454545454545,0.0173813701814545,0.0372727272727273,0.0291060853611377,0.0454393691843168,2.67005422216471e-08,***
FG_Curved_Dense_Base,Curved,Dense,Base,PosDeg_Emerg,LossRate,0.0790909090909091,0.020574842662749,0.0327272727272727,0.0201919166654033,-0.0463636363636364,-0.05686784512678,-0.0358594276004928,7.49872159921949e-08,***
FG_Curved_Dense_Base,Curved,Dense,Base,PosDeg_Emerg,AvgDelay,0.0231614482533812,0.000608126787110628,0.0254341149666708,0.00142279336976035,0.00227266671328959,0.0016608343674909,0.00288449905908827,5.98961228104322e-06,***
FG_Curved_Dense_Base,Curved,Dense,Base,PosDeg_Emerg,AvgTxCost,2.50136363636364,0,2.92749090909091,0.0836061781276975,0.426127272727274,0.393906096175019,0.458348449279528,0,***
FG_Curved_Dense_Base,Curved,Dense,Base,PosDeg_Emerg,EmgTimely,0.847169811320755,0.0411937682863215,0.918867924528302,0.0281968701527797,0.0716981132075472,0.0560647447227273,0.087331481692367,2.28577696770316e-08,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,PosDeg_Emerg,TimelyRate,0.718181818181818,0.12106051124508,0.767272727272727,0.118546446051502,0.0490909090909091,0.0360652630099202,0.062116555171898,4.37182423862481e-06,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,PosDeg_Emerg,LossRate,0.17,0.0786770782669775,0.0827272727272727,0.060065773559921,-0.0872727272727273,-0.100506132013406,-0.0740393225320482,8.88178419700125e-16,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,PosDeg_Emerg,AvgDelay,0.0468124466245217,0.00990595814360801,0.0504509607289333,0.0101838691159524,0.00363851410441161,0.00326865574628877,0.00400837246253444,0,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,PosDeg_Emerg,AvgTxCost,3.26928181818182,0.308663338997586,4.21759090909091,0.368528778407106,0.948309090909093,0.902708623167495,0.993909558650692,0,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,PosDeg_Emerg,EmgTimely,0.714233766233766,0.123408921791096,0.759982683982684,0.123232134324027,0.0457489177489178,0.0329583890789864,0.0585394464188492,1.30708301502303e-05,***
FG_Straight_Sparse_Base,Straight,Sparse,Base,PosDeg_Emerg,TimelyRate,0.999090909090909,0.00287479787288033,0.999090909090909,0.00287479787288033,0,0,0,1,n.s.
FG_Straight_Sparse_Base,Straight,Sparse,Base,PosDeg_Emerg,LossRate,0.000909090909090904,0.00287479787288033,0.000909090909090904,0.00287479787288033,0,0,0,1,n.s.
FG_Straight_Sparse_Base,Straight,Sparse,Base,PosDeg_Emerg,AvgDelay,0.0122816106508252,0.000237106197398867,0.0122663279834612,0.000215093845432697,-1.52826673639668e-05,-3.39079205040521e-05,3.34258577611847e-06,0.317310527664727,n.s.
FG_Straight_Sparse_Base,Straight,Sparse,Base,PosDeg_Emerg,AvgTxCost,2.215,4.6811112914356e-16,2.44927272727273,0.00453635452722722,0.234272727272728,0.232524451207505,0.23602100333795,0,***
FG_Straight_Sparse_Base,Straight,Sparse,Base,PosDeg_Emerg,EmgTimely,0.997674418604651,0.00735413409341485,0.997674418604651,0.00735413409341485,0,0,0,1,n.s.
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,PosDeg_Emerg,TimelyRate,0.718181818181818,0.12106051124508,0.767272727272727,0.118546446051502,0.0490909090909091,0.0360652630099202,0.062116555171898,4.37182423862481e-06,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,PosDeg_Emerg,LossRate,0.17,0.0786770782669775,0.0827272727272727,0.060065773559921,-0.0872727272727273,-0.100506132013406,-0.0740393225320482,8.88178419700125e-16,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,PosDeg_Emerg,AvgDelay,0.0468124466245217,0.00990595814360801,0.0504509607289333,0.0101838691159524,0.00363851410441161,0.00326865574628877,0.00400837246253444,0,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,PosDeg_Emerg,AvgTxCost,3.26928181818182,0.308663338997586,4.21759090909091,0.368528778407106,0.948309090909093,0.902708623167495,0.993909558650692,0,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,PosDeg_Emerg,EmgTimely,0.714233766233766,0.123408921791096,0.759982683982684,0.123232134324027,0.0457489177489178,0.0329583890789864,0.0585394464188492,1.30708301502303e-05,***
