Config,Profile,Vegetation,Variant,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0918905870145066,0.00171261012179189,0.00106148675082927,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
FG_Blind_Medium_Base,Blind,Medium,Base,Confidence-driven,0.844425956738769,0.00838392482408816,0.00519641044244604,0.155241264559068,0.00815326685087043,0.00505344714950019,0.0870958458604581,0.00267589621189547,0.00165853765511402,2.19753577371048,0.028176290208428,0.0174638456022165,0.986915887850467,0.00482614747190955,0.00299127719367915
FG_Blind_Medium_Base,Blind,Medium,Base,Oracle,0.857071547420965,0.00878525969569433,0.00544516037299648,0.142595673876872,0.00904746080916376,0.00560767430682123,0.0829489673537248,0.00330646991382795,0.00204937128473333,2.25747254575707,0.0197510762709182,0.012241843902138,0.98785046728972,0.00451444758448269,0.0027980836019045
FG_Blind_Medium_Plus,Blind,Medium,Plus,Link-delay-aware,0.815640599001664,0.0050101341278475,0.00310531330448011,0.182196339434276,0.00539163119667879,0.00334176763748435,0.0940585884250495,0.00155649759002212,0.000964727201178442,1.92517470881864,2.3405556457178e-16,1.45069141884354e-16,0.969158878504673,0.0108364655021346,0.00671651090342679
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,0.825291181364393,0.00496077199667174,0.00307471833860373,0.172046589018303,0.00515538548580022,0.00319534102885526,0.0916328986491939,0.00163553560146101,0.0010137154682024,2.1947387687188,0.0240080913395342,0.014880369177633,0.972897196261682,0.00929372828048368,0.00576031246692553
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,0.835440931780366,0.0063939136048606,0.00396298871012468,0.161730449251248,0.00626512312654151,0.00388316354464823,0.0885630200060866,0.00220543253513072,0.00136694124722307,2.26539434276207,0.0168479856966371,0.0104424897223132,0.975700934579439,0.00788106581973428,0.00488473520249221
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,0.803826955074875,0.00446813844950035,0.00276938090267329,0.194841930116473,0.00467011301941672,0.00289456603806555,0.101078260865364,0.00147612529003997,0.000914911933547383,1.61089850249584,4.6811112914356e-16,2.90138283768708e-16,0.88411214953271,0.0302678076049623,0.0187601815150436
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,0.8261231281198,0.00613864215784213,0.00380476982806435,0.169883527454243,0.00681316478716669,0.0042228432850946,0.0962551076065476,0.00227193045837559,0.00140815708705954,1.99814143094842,0.0597164476047396,0.0370126376881964,0.936448598130841,0.0175121113053647,0.0108541190392141
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,0.841763727121464,0.0085366367868308,0.00529106229757745,0.152579034941764,0.00788474096283347,0.00488701307978463,0.091326940069673,0.00352772742280218,0.00218650810957698,2.18418801996672,0.0478112606737154,0.0296337263804635,0.951401869158878,0.0180577903379308,0.011192334407618
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,0.941098169717138,0.0251389292942257,0.0155812698035058,0.037936772046589,0.0175530031679223,0.01087946407821,0.0209809399589781,0.00245011110863492,0.00151859459825825,2.09571547420965,0.0715729011927538,0.0443613437569957,0.812105295526311,0.0846261608835705,0.0524518379334743
FG_Curved_Dense_Plus,Curved,Dense,Plus,Confidence-driven,0.954242928452579,0.0232581656641839,0.0144155604284834,0.0176372712146422,0.0117968368019039,0.0073117552019453,0.0206651227055744,0.00229065950262708,0.00141976546895317,2.35812146422629,0.0983038210451394,0.0609293395312459,0.846544420767895,0.0817593087342809,0.0506749445621603
FG_Curved_Dense_Plus,Curved,Dense,Plus,Oracle,0.953577371048253,0.0222330322860155,0.0137801761779103,0.0158069883527454,0.00986713636974885,0.00611571448273078,0.0207704592928171,0.00233979341324861,0.00145021898226454,2.32567886855241,0.127096339044493,0.0787751270753188,0.843245111977936,0.0768272554626718,0.0476180262737646
FG_Straight_Sparse_Base,Straight,Sparse,Base,Link-delay-aware,0.990848585690516,0.00179721039889292,0.00111392254582811,0.00915141430948418,0.00179721039889292,0.00111392254582811,0.0165675847860752,0.000589863237380654,0.000365601022272194,1.55292845257904,0,0,0.999065420560748,0.00295539968240036,0.00183177570093458
FG_Straight_Sparse_Base,Straight,Sparse,Base,Confidence-driven,0.991846921797005,0.00122772843156842,0.000760953965612867,0.008153078202995,0.00122772843156842,0.000760953965612867,0.0161788709803391,0.000404963233904726,0.000250998812802225,1.68275041597338,0.0194708184630448,0.0120681383131726,0.999065420560748,0.00295539968240036,0.00183177570093458
FG_Straight_Sparse_Base,Straight,Sparse,Base,Oracle,0.99351081530782,0.0022800670871985,0.00141320022185247,0.00648918469217969,0.0022800670871985,0.00141320022185247,0.015490200759104,0.000859339471911738,0.000532624122847367,1.59155574043261,0.0140575780719536,0.00871297715823033,0.999065420560748,0.00295539968240036,0.00183177570093458
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,Link-delay-aware,0.941098169717138,0.0251389292942257,0.0155812698035058,0.037936772046589,0.0175530031679223,0.01087946407821,0.0209809399589781,0.00245011110863492,0.00151859459825825,2.09571547420965,0.0715729011927538,0.0443613437569957,0.812105295526311,0.0846261608835705,0.0524518379334743
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,Confidence-driven,0.954242928452579,0.0232581656641839,0.0144155604284834,0.0176372712146422,0.0117968368019039,0.0073117552019453,0.0206651227055744,0.00229065950262708,0.00141976546895317,2.35812146422629,0.0983038210451394,0.0609293395312459,0.846544420767895,0.0817593087342809,0.0506749445621603
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,Oracle,0.953577371048253,0.0222330322860155,0.0137801761779103,0.0158069883527454,0.00986713636974885,0.00611571448273078,0.0207704592928171,0.00233979341324861,0.00145021898226454,2.32567886855241,0.127096339044493,0.0787751270753188,0.843245111977936,0.0768272554626718,0.0476180262737646
