Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Generic,TimelyRate,0.970881863560732,0.00643228702426134,0.970715474209651,0.00647756020883258,-0.000166389351081531,-0.000369170953919717,3.63922517566556e-05,0.317310527664727,n.s.
Generic,LossRate,0.0291181364392679,0.00643228702426134,0.0292845257903494,0.00647756020883258,0.000166389351081531,-3.63922517566556e-05,0.000369170953919717,0.317310527664727,n.s.
Generic,AvgDelay,0.0242379415860797,0.0029075842941384,0.024379568172042,0.00284926867819209,0.000141626585962317,4.45583304370941e-05,0.000238694841487541,0.0753776534035606,n.s.
Generic,AvgTxCost,1.90477371048253,0.032069295558541,1.81968386023294,0.0222270197407851,-0.0850898502495846,-0.0924827917891792,-0.07769690870999,0,***
Generic,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestParam,TimelyRate,0.972878535773711,0.00731818963063593,0.953078202995008,0.00413562992397276,-0.0198003327787021,-0.0217698561644687,-0.0178308093929356,0,***
ForestParam,LossRate,0.0261231281198003,0.00740178102959655,0.0459234608985025,0.00445089354359154,0.0198003327787021,0.0178308093929356,0.0217698561644687,0,***
ForestParam,AvgDelay,0.0349434015390924,0.00253308133651851,0.0420882648096637,0.00194809671365192,0.00714486327057131,0.00641162600032224,0.00787810054082038,0,***
ForestParam,AvgTxCost,2.5621996672213,0.0283543292035762,2.40945424292845,0.0309087882910414,-0.152745424292846,-0.158167049156493,-0.147323799429199,0,***
ForestParam,EmgTimely,0.883333333333333,0.0805076485899413,0.883333333333333,0.0805076485899413,0,0,0,1,n.s.
ForestGeometryDemo,TimelyRate,0.844425956738769,0.00838392482408816,0.81630615640599,0.00845516982813514,-0.0281198003327787,-0.0318644029887787,-0.0243751976767788,0,***
ForestGeometryDemo,LossRate,0.155241264559068,0.00815326685087043,0.183361064891847,0.00858514589945176,0.0281198003327787,0.0243751976767788,0.0318644029887787,0,***
ForestGeometryDemo,AvgDelay,0.0870958458604581,0.00267589621189547,0.0918972071801557,0.00176432956193618,0.00480136131969755,0.00402809057807585,0.00557463206131925,3.84137166520304e-14,***
ForestGeometryDemo,AvgTxCost,2.19753577371048,0.028176290208428,1.8005540765391,0.0462834052591229,-0.39698169717138,-0.413202272719392,-0.380761121623368,0,***
ForestGeometryDemo,EmgTimely,0.986915887850467,0.00482614747190955,0.976635514018692,0.00794239799625045,-0.0102803738317757,-0.0134340895051681,-0.00712665815838327,7.10844483577944e-05,***
