Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,0.0128131301111701,0.000164363859395389,0.000101873775498199,1.312,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
Generic,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,PosDeg_Emerg,0.990909090909091,0.00857099128710966,0.00531235543745404,0.00909090909090906,0.00857099128710966,0.00531235543745404,0.0121322969352687,0.000150695810148616,9.34022308071329e-05,2.03,4.6811112914356e-16,2.90138283768708e-16,1,0,0
Generic,Link-delay-aware,Recovery,0.996688741721854,0.00468282636547382,0.00290244585158913,0.0033112582781457,0.00468282636547382,0.00290244585158913,0.0120434978359847,9.09457582314045e-05,5.636876495028e-05,1.07284768211921,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,Full,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,0.0122091924152411,7.15956608151298e-05,4.43754503170928e-05,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
Generic,Confidence-heuristic,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,0.0128131301111701,0.000164363859395389,0.000101873775498199,1.31312,0.00236116731959232,0.00146346666666662,NaN,NaN,NaN
Generic,Confidence-heuristic,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Confidence-heuristic,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2.15615384615385,0.0723758543977393,0.0448590193095238,NaN,NaN,NaN
Generic,Confidence-heuristic,PosDeg_Emerg,1,0,0,0,0,0,0.0135955304072963,0.000594597451377595,0.000368535318507747,3.2962,0.127319917658263,0.0789137025358198,1,0,0
Generic,Confidence-heuristic,Recovery,0.998675496688742,0.00279229815467408,0.00173068432671083,0.00132450331125828,0.00279229815467408,0.00173068432671083,0.012493858698142,0.000387574918948993,0.000240221423535458,1.17812582781457,0.0880164648759827,0.0545531701184457,NaN,NaN,NaN
Generic,Confidence-heuristic,Full,0.970881863560732,0.00643228702426134,0.00398677280188006,0.0291181364392679,0.00643228702426134,0.00398677280188006,0.0126014557264686,0.000139733063409936,8.66074499823939e-05,1.90477371048253,0.032069295558541,0.0198767553167338,1,0,0
Generic,Confidence-lyapunov,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,0.0128131301111701,0.000164363859395389,0.000101873775498199,1.312,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
Generic,Confidence-lyapunov,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Confidence-lyapunov,LinkDeg_Emerg,1,0,0,0,0,0,0.0121519346149918,0.000413722877823245,0.00025642809635204,2.16615384615385,0.06523512322189,0.0404331482732912,NaN,NaN,NaN
Generic,Confidence-lyapunov,PosDeg_Emerg,0.999090909090909,0.00287479787288033,0.00178181818181817,0.000909090909090904,0.00287479787288033,0.00178181818181817,0.0146522063250622,0.0013245093000606,0.000820939369372314,2.90054545454546,0.0811127841129654,0.0502742244502802,1,0,0
Generic,Confidence-lyapunov,Recovery,0.998675496688742,0.00279229815467408,0.00173068432671083,0.00132450331125828,0.00279229815467408,0.00173068432671083,0.0121260841653924,0.000208086524128238,0.000128973363860032,1.12430463576159,0.0320948072678133,0.0198925676379615,NaN,NaN,NaN
Generic,Confidence-lyapunov,Full,0.970715474209651,0.00647756020883258,0.00401483341239423,0.0292845257903494,0.00647756020883258,0.00401483341239423,0.0127178810934,0.000254184368012676,0.000157545103511978,1.81968386023294,0.0222270197407851,0.0137764495637676,1,0,0
Generic,Oracle,Normal,0.9712,0.0142111067674392,0.00880813522956036,0.0288,0.0142111067674392,0.00880813522956036,0.0149343401139895,0.000589136972128264,0.000365150878405129,1.641,0.00928798507032967,0.00575675278839266,NaN,NaN,NaN
Generic,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,0.0121519346149918,0.000413722877823245,0.00025642809635204,2.16615384615385,0.06523512322189,0.0404331482732912,NaN,NaN,NaN
Generic,Oracle,PosDeg_Emerg,0.999090909090909,0.00287479787288033,0.00178181818181817,0.000909090909090904,0.00287479787288033,0.00178181818181817,0.0146522063250622,0.0013245093000606,0.000820939369372314,2.90181818181818,0.0799345462265273,0.0495439450423374,1,0,0
Generic,Oracle,Recovery,0.998675496688742,0.00279229815467408,0.00173068432671083,0.00132450331125828,0.00279229815467408,0.00173068432671083,0.0121260841653924,0.000208086524128238,0.000128973363860032,1.13218543046358,0.0230284199390082,0.0142731625527319,NaN,NaN,NaN
Generic,Oracle,Full,0.993011647254576,0.00291379379624264,0.00180598810552628,0.00698835274542429,0.00291379379624264,0.00180598810552628,0.0131512396765695,0.000233744862640218,0.000144876566832032,1.89032445923461,0.0202842294707992,0.0125722956790105,1,0,0
ForestParam,Link-delay-aware,Normal,0.8704,0.0284222135348784,0.0176162704591207,0.1296,0.0284222135348784,0.0176162704591207,0.0641029628616771,0.00140283319179952,0.000869485020420583,3.69872,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,PosDeg_Emerg,0.959090909090909,0.0130338261621858,0.00807844915064287,0.0390909090909091,0.0121590319077206,0.00753624605432761,0.0173992723560573,0.000778745529251942,0.000482671479661446,2.22272727272727,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,Link-delay-aware,Recovery,0.988079470198675,0.0068397056886665,0.00423929350627375,0.0119205298013245,0.0068397056886665,0.00423929350627375,0.014807032920291,0.000317699049826039,0.000196911911152634,1.27218543046358,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,Full,0.962063227953411,0.00559050612017932,0.00346503159212402,0.0376039933444259,0.00566701709348632,0.00351245358468673,0.023536585271709,0.000479487895370615,0.000297189676530923,2.2112146422629,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,Confidence-heuristic,Normal,0.8848,0.0356177234284032,0.0220760936963243,0.1152,0.0356177234284032,0.0220760936963243,0.0657707004900865,0.00182215639482809,0.00112938423429677,3.915344,0.00994847526005859,0.00616612884925373,NaN,NaN,NaN
ForestParam,Confidence-heuristic,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2.0028,0.00885437744847147,0.005488,NaN,NaN,NaN
ForestParam,Confidence-heuristic,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2.25584615384615,0.105252084610826,0.0652359179067894,NaN,NaN,NaN
ForestParam,Confidence-heuristic,PosDeg_Emerg,0.989090909090909,0.00717100579769651,0.00444463544125875,0.00545454545454545,0.00766612766101425,0.00475151515151515,0.0197474842449853,0.000597965879300811,0.000370623091764556,3.54067272727273,0.130320521729459,0.0807734962072049,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Confidence-heuristic,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,0.0156970795940764,0.000640747811753848,0.00039713960821855,1.41682119205298,0.0401377198278339,0.0248776164893647,NaN,NaN,NaN
ForestParam,Confidence-heuristic,Full,0.972878535773711,0.00731818963063593,0.00453586092603983,0.0261231281198003,0.00740178102959655,0.00458767141188885,0.0245875045616569,0.000666753404748952,0.000413258041749048,2.5621996672213,0.0283543292035762,0.0175741953146677,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Confidence-lyapunov,Normal,0.8008,0.0262500793649594,0.0162699677524778,0.1992,0.0262500793649594,0.0162699677524778,0.0622923935125597,0.00157432119288563,0.000975774384685606,3.547872,0.0364271586106363,0.0225777868199738,NaN,NaN,NaN
ForestParam,Confidence-lyapunov,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2.0028,0.00885437744847147,0.005488,NaN,NaN,NaN
ForestParam,Confidence-lyapunov,LinkDeg_Emerg,1,0,0,0,0,0,0.0123902322410674,0.000230948201360443,0.000143143178212367,2.25046153846154,0.0993146799530406,0.0615558763734854,NaN,NaN,NaN
ForestParam,Confidence-lyapunov,PosDeg_Emerg,0.977272727272727,0.0161773912909565,0.0100268510035221,0.0172727272727273,0.0168447783147725,0.0104405017664376,0.0199092010521255,0.00109715534157941,0.00068002392597655,3.15929090909091,0.121132297958949,0.0750785761130467,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Confidence-lyapunov,Recovery,0.996688741721854,0.00562805685827017,0.00348830578072078,0.00331125827814569,0.00562805685827017,0.00348830578072078,0.0153120414234122,0.000476378039623432,0.000295262167969213,1.39321854304636,0.028176301586145,0.0174638526541985,NaN,NaN,NaN
ForestParam,Confidence-lyapunov,Full,0.953078202995008,0.00413562992397276,0.00256328998338337,0.0459234608985025,0.00445089354359154,0.00275869239925469,0.0232069802180147,0.000430951481329939,0.000267106495437123,2.40945424292845,0.0309087882910414,0.0191574654602643,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Oracle,Normal,0.8848,0.0315974682530104,0.0195843137229774,0.1152,0.0315974682530104,0.0195843137229774,0.0673322359015878,0.00207153572304991,0.00128395114329133,3.97472,0,0,NaN,NaN,NaN
ForestParam,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2.0028,0.00885437744847147,0.005488,NaN,NaN,NaN
ForestParam,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,0.0123902322410674,0.000230948201360443,0.000143143178212367,2.25046153846154,0.0993146799530406,0.0615558763734854,NaN,NaN,NaN
ForestParam,Oracle,PosDeg_Emerg,0.988181818181818,0.00862439361864103,0.00534545454545454,0.00545454545454545,0.00766612766101425,0.00475151515151515,0.0211246273150691,0.000715255910489354,0.0004433202062606,3.39532727272727,0.0962332183979749,0.0596459667143801,0.866666666666667,0.105409255338946,0.0653333333333333
ForestParam,Oracle,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,0.0154416111545189,0.000396404814352832,0.000245694249406986,1.42993377483444,0.0268342249787683,0.0166320249549451,NaN,NaN,NaN
ForestParam,Oracle,Full,0.972712146422629,0.00598385089706541,0.00370882921065942,0.0261231281198003,0.00642271516326748,0.00398084010097139,0.025114288314673,0.000662546451178864,0.000410650544911805,2.55065890183028,0.0197862385771466,0.0122636377253294,0.866666666666667,0.105409255338946,0.0653333333333333
ForestGeometryDemo,Link-delay-aware,Normal,0.404,0.015663120165961,0.00970810245791283,0.596,0.0156631201659609,0.00970810245791282,0.0149777498340674,0.00165611874958372,0.00102647303558134,1,0,0,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,Coop_1,0.933333333333333,0.00628539361054709,0.00389572732079963,0.0666666666666667,0.00628539361054709,0.00389572732079963,0.0121761658966386,0.000376044303196255,0.000233074673849296,1.034,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,LinkDeg_Emerg,0.870769230769231,0.0291902553246312,0.0180923076923077,0.129230769230769,0.0291902553246312,0.0180923076923077,0.0238812900937922,0.00175367544798001,0.00108693930369726,2.37030769230769,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,PosDeg_Emerg,0.920909090909091,0.0226969494679685,0.0140677150262794,0.0790909090909091,0.0226969494679685,0.0140677150262794,0.0246989532778989,0.00111718345232262,0.000692437477623563,3.00009090909091,0,0,0.966101694915254,0.01957119556575,0.0121303526859901
ForestGeometryDemo,Link-delay-aware,Recovery,0.966887417218543,0.0103541186751069,0.00641754924269647,0.0324503311258278,0.0110154304193154,0.00682743450829948,0.0142950748639464,0.000683925722174897,0.000423901554359848,2.20913907284768,4.6811112914356e-16,2.90138283768708e-16,0.977083333333333,0.0118259627541155,0.00732980765415528
ForestGeometryDemo,Link-delay-aware,Full,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0170083535402431,0.000285036150540125,0.000176667236433912,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
ForestGeometryDemo,Confidence-heuristic,Normal,0.4344,0.0206731172728686,0.0128133308359346,0.5656,0.0206731172728686,0.0128133308359346,0.0194782464902944,0.00255156004400538,0.00158147329984434,1.385568,0.0689111680676249,0.0427115844740063,NaN,NaN,NaN
ForestGeometryDemo,Confidence-heuristic,Coop_1,0.939333333333333,0.00798145999825244,0.00494696015900824,0.0606666666666667,0.00798145999825244,0.00494696015900824,0.0128134226452635,0.000494305485233933,0.000306373713877776,1.12748,0.0190528517680117,0.0118090798716627,NaN,NaN,NaN
ForestGeometryDemo,Confidence-heuristic,LinkDeg_Emerg,0.890769230769231,0.0311514718943332,0.0193078823159514,0.109230769230769,0.0311514718943332,0.0193078823159514,0.0255351452880356,0.00194041123525723,0.00120267934375556,2.67418461538462,0.0978374398097879,0.0606402734467579,NaN,NaN,NaN
ForestGeometryDemo,Confidence-heuristic,PosDeg_Emerg,0.975454545454546,0.0171687460293519,0.0106412990362579,0.0236363636363636,0.0161489849629991,0.0100092445790459,0.0280135331599538,0.00101444951750196,0.00062876232512675,3.94103636363637,0.0474918039422555,0.0294357250469475,0.989830508474576,0.00875250473719188,0.0054248586393842
ForestGeometryDemo,Confidence-heuristic,Recovery,0.974172185430464,0.0105637846481284,0.00654750155912279,0.0251655629139073,0.010724024548778,0.00664681927850881,0.0149643222347939,0.000787134159783547,0.000487870806731628,2.45738410596026,0.0562039423764362,0.0348355643925174,0.983333333333333,0.00878410461157885,0.00544444444444445
ForestGeometryDemo,Confidence-heuristic,Full,0.844425956738769,0.00838392482408816,0.00519641044244604,0.155241264559068,0.00815326685087043,0.00505344714950019,0.0188354209350766,0.000474764112716217,0.000294261845708462,2.19753577371048,0.028176290208428,0.0174638456022165,0.986915887850467,0.00482614747190955,0.00299127719367915
ForestGeometryDemo,Confidence-lyapunov,Normal,0.4144,0.0154574685292687,0.00958063825292101,0.5856,0.0154574685292687,0.009580638252921,0.0163694154953289,0.00165530115413913,0.00102596628467468,1.11356,0.0634051382425396,0.0392989118320371,NaN,NaN,NaN
ForestGeometryDemo,Confidence-lyapunov,Coop_1,0.934,0.00662952617341168,0.00410902289307354,0.066,0.00662952617341168,0.00410902289307354,0.0122707620860866,0.000367618206109995,0.000227852124767951,1.07246666666667,0.0148425481157348,0.00919950663196705,NaN,NaN,NaN
ForestGeometryDemo,Confidence-lyapunov,LinkDeg_Emerg,0.807692307692308,0.0385469137906998,0.0238916246923582,0.192307692307692,0.0385469137906998,0.0238916246923582,0.0190188073614114,0.00275419287862194,0.00170706643192476,1.91221538461538,0.191238177411497,0.11853065037514,NaN,NaN,NaN
ForestGeometryDemo,Confidence-lyapunov,PosDeg_Emerg,0.933636363636364,0.031796529429272,0.0197076931182743,0.0654545454545455,0.0320123942939255,0.0198414875475397,0.0249505577981212,0.00146042977977046,0.000905183755495301,3.08579090909091,0.176222712884213,0.109223969040931,0.977966101694915,0.0160793779330596,0.00996610169491526
ForestGeometryDemo,Confidence-lyapunov,Recovery,0.950331125827815,0.0109265948527723,0.00677237365370798,0.0490066225165563,0.0117641612313238,0.00729150267347712,0.0131828738694421,0.000628973881801878,0.000389842050829287,2.10819205298013,0.0486624656562152,0.0301613086945386,0.975,0.0087841046115788,0.00544444444444442
