Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,0.0128131301111701,0.000164363859395389,0.000101873775498199,1.312,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
Generic,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,PosDeg_Emerg,0.990909090909091,0.00857099128710966,0.00531235543745404,0.00909090909090906,0.00857099128710966,0.00531235543745404,0.0121322969352687,0.000150695810148616,9.34022308071329e-05,2.03,4.6811112914356e-16,2.90138283768708e-16,1,0,0
Generic,Link-delay-aware,Recovery,0.996688741721854,0.00468282636547382,0.00290244585158913,0.0033112582781457,0.00468282636547382,0.00290244585158913,0.0120434978359847,9.09457582314045e-05,5.636876495028e-05,1.07284768211921,0,0,NaN,NaN,NaN
Generic,Link-delay-aware,Full,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,0.0122091924152411,7.15956608151298e-05,4.43754503170928e-05,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
Generic,DCC-like,Normal,0.9984,0.00337309617084627,0.00209066666666667,0.0016,0.00337309617084627,0.00209066666666667,0.043089804305548,0.000771659300319975,0.000478279389465952,4.01472,9.3622225828712e-16,5.80276567537415e-16,NaN,NaN,NaN
Generic,DCC-like,Coop_1,1,0,0,0,0,0,0.0421458052443861,0.000580751709670491,0.000359953638888735,6.12,9.3622225828712e-16,5.80276567537415e-16,NaN,NaN,NaN
Generic,DCC-like,LinkDeg_Emerg,1,0,0,0,0,0,0.0420019360249131,0.000686752157642649,0.000425653397212413,6.12,9.3622225828712e-16,5.80276567537415e-16,NaN,NaN,NaN
Generic,DCC-like,PosDeg_Emerg,1,0,0,0,0,0,0.0318155094596432,0.00050053476329463,0.000310234660420438,5.09690909090909,0,0,1,0,0
Generic,DCC-like,Recovery,1,0,0,0,0,0,0.0120941321019609,0.000135101125853072,8.37365453411584e-05,1.82384105960265,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
Generic,DCC-like,Full,0.999667221297837,0.000701559103753384,0.000434830837493067,0.000332778702163061,0.000701559103753384,0.000434830837493067,0.0328820722874395,0.000277410465107422,0.0001719407876352,4.41547420965059,9.3622225828712e-16,5.80276567537415e-16,1,0,0
Generic,AoI-aware,Normal,0.8664,0.0339515995368571,0.0210434194095077,0.1336,0.0339515995368571,0.0210434194095077,0.0135095704022746,0.00019479289430344,0.000120733886731,1.42208,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
Generic,AoI-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0127140810920717,0.0001767128478004,0.000109527757809332,2.18346666666667,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
Generic,AoI-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0127502606589954,0.00022670293059544,0.000140511932131666,2.21169230769231,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
Generic,AoI-aware,PosDeg_Emerg,0.988181818181818,0.00748429638498696,0.00463881495902335,0.0118181818181818,0.00748429638498695,0.00463881495902335,0.012723013076261,0.000213311242607229,0.000132211677923281,2.16036363636364,4.6811112914356e-16,2.90138283768708e-16,0.933333333333333,0.086066296582387,0.0533444432872781
Generic,AoI-aware,Recovery,0.996688741721854,0.00468282636547382,0.00290244585158913,0.0033112582781457,0.00468282636547382,0.00290244585158913,0.0126819917898825,0.000115491759567546,7.15825341979418e-05,1.1753642384106,0,0,NaN,NaN,NaN
Generic,AoI-aware,Full,0.968718801996672,0.00734964781962393,0.00455535891357999,0.0312811980033278,0.00734964781962393,0.00455535891357999,0.0128595321711861,8.62900176220609e-05,5.34831070242687e-05,1.77064891846922,2.3405556457178e-16,1.45069141884354e-16,0.933333333333333,0.086066296582387,0.0533444432872781
Generic,Confidence-driven,Normal,0.864,0.0328768746825012,0.0203772980435473,0.136,0.0328768746825012,0.0203772980435473,0.0128131301111701,0.000164363859395389,0.000101873775498199,1.31312,0.00236116731959232,0.00146346666666662,NaN,NaN,NaN
Generic,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2.15615384615385,0.0723758543977393,0.0448590193095238,NaN,NaN,NaN
Generic,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,0.0135955304072963,0.000594597451377595,0.000368535318507747,3.2962,0.127319917658263,0.0789137025358198,1,0,0
Generic,Confidence-driven,Recovery,0.998675496688742,0.00279229815467408,0.00173068432671083,0.00132450331125828,0.00279229815467408,0.00173068432671083,0.012493858698142,0.000387574918948993,0.000240221423535458,1.17812582781457,0.0880164648759827,0.0545531701184457,NaN,NaN,NaN
Generic,Confidence-driven,Full,0.970881863560732,0.00643228702426134,0.00398677280188006,0.0291181364392679,0.00643228702426134,0.00398677280188006,0.0126014557264686,0.000139733063409936,8.66074499823939e-05,1.90477371048253,0.032069295558541,0.0198767553167338,1,0,0
Generic,Oracle,Normal,0.9712,0.0142111067674392,0.00880813522956036,0.0288,0.0142111067674392,0.00880813522956036,0.0149343401139895,0.000589136972128264,0.000365150878405129,1.641,0.00928798507032967,0.00575675278839266,NaN,NaN,NaN
Generic,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
Generic,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,0.0121519346149918,0.000413722877823245,0.00025642809635204,2.16615384615385,0.06523512322189,0.0404331482732912,NaN,NaN,NaN
Generic,Oracle,PosDeg_Emerg,0.999090909090909,0.00287479787288033,0.00178181818181817,0.000909090909090904,0.00287479787288033,0.00178181818181817,0.0146522063250622,0.0013245093000606,0.000820939369372314,2.90181818181818,0.0799345462265273,0.0495439450423374,1,0,0
Generic,Oracle,Recovery,0.998675496688742,0.00279229815467408,0.00173068432671083,0.00132450331125828,0.00279229815467408,0.00173068432671083,0.0121260841653924,0.000208086524128238,0.000128973363860032,1.13218543046358,0.0230284199390082,0.0142731625527319,NaN,NaN,NaN
Generic,Oracle,Full,0.993011647254576,0.00291379379624264,0.00180598810552628,0.00698835274542429,0.00291379379624264,0.00180598810552628,0.0131512396765695,0.000233744862640218,0.000144876566832032,1.89032445923461,0.0202842294707992,0.0125722956790105,1,0,0
ForestParam,Link-delay-aware,Normal,0.8704,0.0284222135348784,0.0176162704591207,0.1296,0.0284222135348784,0.0176162704591207,0.0641029628616771,0.00140283319179952,0.000869485020420583,3.69872,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,PosDeg_Emerg,0.959090909090909,0.0130338261621858,0.00807844915064287,0.0390909090909091,0.0121590319077206,0.00753624605432761,0.0173992723560573,0.000778745529251942,0.000482671479661446,2.22272727272727,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,Link-delay-aware,Recovery,0.988079470198675,0.0068397056886665,0.00423929350627375,0.0119205298013245,0.0068397056886665,0.00423929350627375,0.014807032920291,0.000317699049826039,0.000196911911152634,1.27218543046358,0,0,NaN,NaN,NaN
ForestParam,Link-delay-aware,Full,0.962063227953411,0.00559050612017932,0.00346503159212402,0.0376039933444259,0.00566701709348632,0.00351245358468673,0.023536585271709,0.000479487895370615,0.000297189676530923,2.2112146422629,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,DCC-like,Normal,0.4576,0.0291631426442503,0.0180755030789064,0.5424,0.0291631426442503,0.0180755030789064,0.0460868329846467,0.00154306288189413,0.000956400282811172,2.02456,0.00270505699262195,0.00167661169426112,NaN,NaN,NaN
ForestParam,DCC-like,Coop_1,1,0,0,0,0,0,0.0421458052443861,0.000580751709670491,0.000359953638888735,6.12,9.3622225828712e-16,5.80276567537415e-16,NaN,NaN,NaN
ForestParam,DCC-like,LinkDeg_Emerg,1,0,0,0,0,0,0.0420019360249131,0.000686752157642649,0.000425653397212413,6.12,9.3622225828712e-16,5.80276567537415e-16,NaN,NaN,NaN
ForestParam,DCC-like,PosDeg_Emerg,0.927272727272727,0.0113383557174968,0.00702758568174259,0.0718181818181818,0.0116971267064356,0.0072499542444964,0.0314972854678671,0.000464308207561679,0.000287781208552203,4.54327272727273,0,0,0.8,0.0702728368926307,0.0435555555555556
ForestParam,DCC-like,Recovery,0.964900662251656,0.0132634162347018,0.00822075055187639,0.0350993377483444,0.0132634162347018,0.00822075055187639,0.013269891831081,0.000355192083846559,0.000220150334396059,1.72834437086093,0.00239389699103349,0.00148375272719594,NaN,NaN,NaN
ForestParam,DCC-like,Full,0.865058236272879,0.00545966708921784,0.00338393672056526,0.13477537437604,0.00554631170271769,0.00343763960839158,0.0323862929622972,0.000364871257179746,0.000226149548181744,3.87622296173046,0.000859409902098157,0.000532667775929169,0.8,0.0702728368926307,0.0435555555555556
ForestParam,AoI-aware,Normal,0.8096,0.035737313211202,0.022150216211636,0.1904,0.035737313211202,0.022150216211636,0.0510071247574817,0.00150712043772362,0.000934122925113732,3.61664,0,0,NaN,NaN,NaN
ForestParam,AoI-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0127140810920717,0.0001767128478004,0.000109527757809332,2.18346666666667,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
ForestParam,AoI-aware,LinkDeg_Emerg,1,0,0,0,0,0,0.0127502606589954,0.00022670293059544,0.000140511932131666,2.21169230769231,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
ForestParam,AoI-aware,PosDeg_Emerg,0.93,0.0113787777912234,0.00705263954260433,0.0672727272727273,0.0122717919583737,0.00760613545779901,0.0167530350780625,0.000502858225744741,0.000311674757366883,2.36363636363636,0,0,0.866666666666667,0.105409255338946,0.0653333333333333
ForestParam,AoI-aware,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,0.0160545648909283,0.000390297503244246,0.00024190889876444,1.59258278145695,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
ForestParam,AoI-aware,Full,0.946422628951747,0.00682894907226686,0.00423262648635678,0.0530782029950083,0.00658354441518534,0.00408052310405791,0.021145292753462,0.00048826156173674,0.000302627651283807,2.36911813643927,4.6811112914356e-16,2.90138283768708e-16,0.866666666666667,0.105409255338946,0.0653333333333333
ForestParam,Confidence-driven,Normal,0.888,0.0284722086720835,0.0176472577661989,0.112,0.0284722086720835,0.0176472577661989,0.0658683701733328,0.00206045066890781,0.00127708055555257,3.915344,0.00994847526005859,0.00616612884925373,NaN,NaN,NaN
ForestParam,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2.0028,0.00885437744847147,0.005488,NaN,NaN,NaN
ForestParam,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,0.0120326630852676,0.000196739915300409,0.000121940662847509,2.25584615384615,0.105252084610826,0.0652359179067894,NaN,NaN,NaN
ForestParam,Confidence-driven,PosDeg_Emerg,0.989090909090909,0.00717100579769651,0.00444463544125875,0.00545454545454545,0.00766612766101425,0.00475151515151515,0.0197590440591667,0.000593001463745808,0.000367546115125101,3.54067272727273,0.130320521729459,0.0807734962072049,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Confidence-driven,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,0.0156970795940764,0.000640747811753848,0.00039713960821855,1.41682119205298,0.0401377198278339,0.0248776164893647,NaN,NaN,NaN
ForestParam,Confidence-driven,Full,0.973544093178037,0.00528793630018991,0.00327749687477486,0.0254575707154742,0.00560424540391309,0.00347354728840755,0.0246359660382043,0.000647001713026122,0.000401015816385863,2.5621996672213,0.0283543292035762,0.0175741953146677,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Oracle,Normal,0.8784,0.0284222135348784,0.0176162704591207,0.1216,0.0284222135348784,0.0176162704591207,0.0673363115173864,0.00166268397705903,0.00103054220572844,3.97472,0,0,NaN,NaN,NaN
ForestParam,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120723361746179,0.000164126205188819,0.000101726475894896,2.0028,0.00885437744847147,0.005488,NaN,NaN,NaN
ForestParam,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,0.0123902322410674,0.000230948201360443,0.000143143178212367,2.25046153846154,0.0993146799530406,0.0615558763734854,NaN,NaN,NaN
ForestParam,Oracle,PosDeg_Emerg,0.988181818181818,0.00862439361864103,0.00534545454545454,0.00545454545454545,0.00766612766101425,0.00475151515151515,0.0211381866114504,0.000737097750377175,0.000456857918878109,3.39532727272727,0.0962332183979749,0.0596459667143801,0.866666666666667,0.105409255338946,0.0653333333333333
ForestParam,Oracle,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,0.0154416111545189,0.000396404814352832,0.000245694249406986,1.42993377483444,0.0268342249787683,0.0166320249549451,NaN,NaN,NaN
ForestParam,Oracle,Full,0.971381031613977,0.00536589533996575,0.00332581638823356,0.0274542429284526,0.00556016019294604,0.00344622299156171,0.0250567873923781,0.000490389167974797,0.000303946355292351,2.55065890183028,0.0197862385771466,0.0122636377253294,0.866666666666667,0.105409255338946,0.0653333333333333
ForestGeometryDemo,Link-delay-aware,Normal,0.404,0.015663120165961,0.00970810245791283,0.596,0.0156631201659609,0.00970810245791282,0.0149777498340674,0.00165611874958372,0.00102647303558134,1,0,0,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,Coop_1,0.933333333333333,0.00628539361054709,0.00389572732079963,0.0666666666666667,0.00628539361054709,0.00389572732079963,0.0121761658966386,0.000376044303196255,0.000233074673849296,1.034,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,LinkDeg_Emerg,0.870769230769231,0.0291902553246312,0.0180923076923077,0.129230769230769,0.0291902553246312,0.0180923076923077,0.0238812900937922,0.00175367544798001,0.00108693930369726,2.37030769230769,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
ForestGeometryDemo,Link-delay-aware,PosDeg_Emerg,0.920909090909091,0.0226969494679685,0.0140677150262794,0.0790909090909091,0.0226969494679685,0.0140677150262794,0.0246989532778989,0.00111718345232262,0.000692437477623563,3.00009090909091,0,0,0.966101694915254,0.01957119556575,0.0121303526859901
ForestGeometryDemo,Link-delay-aware,Recovery,0.966887417218543,0.0103541186751069,0.00641754924269647,0.0324503311258278,0.0110154304193154,0.00682743450829948,0.0142950748639464,0.000683925722174897,0.000423901554359848,2.20913907284768,4.6811112914356e-16,2.90138283768708e-16,0.977083333333333,0.0118259627541155,0.00732980765415528
ForestGeometryDemo,Link-delay-aware,Full,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0170083535402431,0.000285036150540125,0.000176667236433912,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
ForestGeometryDemo,DCC-like,Normal,0.404,0.015663120165961,0.00970810245791283,0.596,0.0156631201659609,0.00970810245791282,0.0149777498340674,0.00165611874958372,0.00102647303558134,1.2632,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
ForestGeometryDemo,DCC-like,Coop_1,0.935333333333334,0.00322030594359762,0.00199596630269186,0.0646666666666667,0.00322030594359762,0.00199596630269186,0.0123835549305138,0.000249976186520986,0.000154936845601042,1.6824,0,0,NaN,NaN,NaN
