Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,BaselineMethod,TimelyRateMean,EmergencyTimelyRateMean,LossRateMean,AvgTxCostMean,TimelyPerCost,EmergencyTimelyPerCost,ReliabilityPerCost,DeltaTimely_pp,DeltaEmergencyTimely_pp,DeltaAvgTxCost,TimelyGainPerCost_pp,EmergencyGainPerCost_pp,CostEfficiencyClass
10014,Primary,CurvedBlind,Medium,Dense,Strict-75ms,Link-delay-aware,Link-delay-aware,0.73910149750416,0.0166666666666667,0.26089850249584,1.69833610648918,0.435191535220928,0.00981352666470727,0.435191535220928,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Strict-75ms,Confidence-driven,Link-delay-aware,0.770382695507488,0.0166666666666667,0.229450915141431,2.17201331114809,0.354685991818474,0.00767337224920458,0.354762597864223,3.1281198003328,0,0.47367720465891,6.60390614022754,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Strict-75ms,Constrained Oracle,Link-delay-aware,0.800831946755408,0.0166666666666667,0.199001663893511,2.61058069883528,0.306763911612731,0.00638427560354774,0.306827648141219,6.1730449251248,0,0.9122445923461,6.76687477998531,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Forest-150ms,Link-delay-aware,Link-delay-aware,0.73910149750416,0.0166666666666667,0.26089850249584,1.69833610648918,0.435191535220928,0.00981352666470727,0.435191535220928,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Forest-150ms,Confidence-driven,Link-delay-aware,0.770549084858569,0.0333333333333333,0.229450915141431,2.17533277870217,0.354221244860884,0.0153233260031232,0.354221244860884,3.1447587354409,1.66666666666666,0.47699667221299,6.59283160373222,3.49408447428844,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Forest-150ms,Constrained Oracle,Link-delay-aware,0.800998336106489,0.0333333333333333,0.199001663893511,2.62496672212979,0.305146091702295,0.0126985736818362,0.305146091702295,6.1896838602329,1.66666666666666,0.92663061564061,6.67977482694522,1.79863112499735,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Moderate-Forest,Link-delay-aware,Link-delay-aware,0.803826955074875,0.133333333333333,0.196173044925125,1.69833610648918,0.473302635446264,0.0785082133176578,0.473302635446264,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Moderate-Forest,Confidence-driven,Link-delay-aware,0.807820299500832,0.2,0.192179700499168,2.06959400998336,0.390327907601224,0.0966373110065235,0.390327907601224,0.3993344425957,6.6666666666667,0.37125790349418,1.07562543137068,17.9569690070483,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Moderate-Forest,Constrained Oracle,Link-delay-aware,0.815307820299501,0.2,0.184692179700499,2.38009983361065,0.342551942059786,0.0840300886440535,0.342551942059786,1.1480865224626,6.6666666666667,0.68176372712147,1.68399472836437,9.77855876084018,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Strict-75ms,Link-delay-aware,Link-delay-aware,0.521297836938436,0.0138888888888889,0.477870216306157,2.17920133111481,0.239215087424601,0.00637338491427214,0.239596854241429,0,0,0,0,0,Baseline
10017,LongRange,LongMixed,Medium,Mixed,Strict-75ms,Confidence-driven,Link-delay-aware,0.524292845257903,0.0138888888888889,0.474875207986689,2.66959733777038,0.196393979661287,0.00520261565007731,0.196705617204387,0.299500831946697,0,0.49039600665557,0.610732607692403,0,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Strict-75ms,Constrained Oracle,Link-delay-aware,0.539600665557404,0.0111111111111111,0.460066555740433,3.76175207986689,0.143443973473259,0.00295370637809397,0.143532437225016,1.8302828618968,-0.27777777777778,1.58255074875208,1.1565397592084,-0.175525352344512,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Forest-150ms,Link-delay-aware,Link-delay-aware,0.522129783693843,0.0277777777777778,0.477870216306157,2.17920133111481,0.239596854241429,0.0127467698285443,0.239596854241429,0,0,0,0,0,Baseline
10017,LongRange,LongMixed,Medium,Mixed,Forest-150ms,Confidence-driven,Link-delay-aware,0.525457570715474,0.0333333333333333,0.474542429284526,2.67816306156406,0.196200738579601,0.0124463419766033,0.196200738579601,0.332778702163106,0.55555555555555,0.49896173044925,0.666942336165705,1.11342317787648,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Forest-150ms,Constrained Oracle,Link-delay-aware,0.542096505823627,0.0527777777777778,0.457903494176373,3.90695507487521,0.138751660931484,0.013508672806908,0.138751660931484,1.9966722129784,2.5,1.7277537437604,1.1556462951906,1.44696546543654,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Moderate-Forest,Link-delay-aware,Link-delay-aware,0.53261231281198,0.0611111111111111,0.46738768718802,2.17920133111481,0.244407116133465,0.0280428936227974,0.244407116133465,0,0,0,0,0,Baseline
10017,LongRange,LongMixed,Medium,Mixed,Moderate-Forest,Confidence-driven,Link-delay-aware,0.539933444259567,0.0694444444444444,0.460066555740433,2.66232445923461,0.202805275062076,0.0260841401969499,0.202805275062076,0.732113144758706,0.83333333333333,0.4831231281198,1.51537589932388,1.72488809752592,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Moderate-Forest,Constrained Oracle,Link-delay-aware,0.565557404326123,0.122222222222222,0.434442595673877,3.89297836938436,0.145276277097723,0.0313955564673611,0.145276277097723,3.2945091514143,6.11111111111109,1.71377703826955,1.92236742461018,3.56587290799605,CostlyGain
10011,Boundary,Open,Low,Sparse,Strict-75ms,Link-delay-aware,Link-delay-aware,0.59018302828619,0.285,0.404159733777038,2.72888519134775,0.216272575393584,0.104438252259064,0.218345670280356,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Strict-75ms,Confidence-driven,Link-delay-aware,0.679034941763727,0.265,0.316971713810316,3.39813477537437,0.199825782863164,0.0779839581173778,0.201000940615852,8.88519134775371,-2,0.66924958402662,13.2763494514183,-2.98842173045033,CostlyGain
10011,Boundary,Open,Low,Sparse,Strict-75ms,Constrained Oracle,Link-delay-aware,0.700831946755408,0.265,0.289850249584027,4.00599001663894,0.174946004319654,0.0661509386941352,0.177271972088386,11.0648918469218,-2,1.27710482529119,8.6640435677619,-1.56604216066914,CostlyGain
10011,Boundary,Open,Low,Sparse,Forest-150ms,Link-delay-aware,Link-delay-aware,0.598835274542429,0.545,0.401164725457571,2.7634775374376,0.216696269982238,0.197215281331848,0.216696269982238,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Forest-150ms,Confidence-driven,Link-delay-aware,0.688519134775375,0.55,0.311480865224626,3.45243926788685,0.199429760048118,0.159307653900206,0.199429760048118,8.9683860232946,0.5,0.68896173044925,13.0172484579754,0.725729714586566,CostlyGain
10011,Boundary,Open,Low,Sparse,Forest-150ms,Constrained Oracle,Link-delay-aware,0.710648918469218,0.56,0.289351081530782,4.01642262895175,0.176935791902629,0.139427558236359,0.176935791902629,11.1813643926789,1.5,1.25294509151415,8.92406576186553,1.19717935778598,CostlyGain
10011,Boundary,Open,Low,Sparse,Moderate-Forest,Link-delay-aware,Link-delay-aware,0.952079866888519,0.975,0.0479201331114808,1.75474209650582,0.542575384031861,0.555637208420255,0.542575384031862,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Moderate-Forest,Confidence-driven,Link-delay-aware,0.953078202995008,0.975,0.0469217970049916,2.02972878535774,0.469559386392122,0.48035974413604,0.469559386392122,0.0998336106489028,0,0.27498668885192,0.363048884532237,0,CostlyGain
10011,Boundary,Open,Low,Sparse,Moderate-Forest,Constrained Oracle,Link-delay-aware,0.962562396006655,0.985,0.0374376039933444,2.17167221297837,0.443235581435439,0.453567529258528,0.44323558143544,1.04825291181361,1,0.41693011647255,2.5142173002094,2.39848348797763,CostlyGain
