Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,LyapunovTimely,LyapunovMinusHeuristicTimely_pp,HeuristicEmgTimely,LyapunovEmgTimely,LyapunovMinusHeuristicEmg_pp,HeuristicTxCost,LyapunovTxCost,LyapunovCostDeltaPct,HeuristicDelay,LyapunovDelay,LyapunovDelayDeltaPct,DecisionClass,Interpretation
10014,Primary,CurvedBlind,Medium,Dense,Default,0.97071547420965,0.97071547420965,0,1,1,0,1.85548252911814,1.81968386023294,-1.9293455111219,0.0239099709304986,0.024379568172042,1.96402263686757,NotCompetitive,Lyapunov does not provide a favorable timely-cost tradeoff in this row.
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.770382695507488,0.743760399334442,-2.66222961730451,0.0166666666666667,0.0166666666666667,0,2.17201331114809,1.88355906821963,-13.2805006971151,0.0935719761303721,0.104343546875838,11.5115349604863,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10006,Reference,Mixed,Medium,Mixed,Default,0.980865224625624,0.945757071547421,-3.51081530782029,0.999671052631579,0.997368421052631,-0.230263157894761,2.4728618968386,2.16133111480866,-12.5979854527346,0.0224865002548886,0.0336970404347624,49.8545351779966,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.706821963394343,0.693677204658902,-1.31447587354411,0.802631578947368,0.801973684210526,-0.0657894736842191,2.68690682196339,2.26949750415974,-15.5349383310077,0.089388034827058,0.0917884059211304,2.68533825440557,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10011,Boundary,Open,Low,Sparse,Default,0.997171381031614,0.997171381031614,0,1,1,0,1.94242928452579,1.90070715474209,-2.14793558334768,0.0126794637817115,0.0131196530389307,3.47167092234767,NotCompetitive,Lyapunov does not provide a favorable timely-cost tradeoff in this row.
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.67936772046589,0.602662229617305,-7.67054908485856,0.275,0.245,-3.00000000000001,3.39813477537437,2.63554575707155,-22.4414000241886,0.137766616546532,0.154213072459082,11.9379108849604,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,1,1,0,1,1,0,2.98415973377703,2.50505823627288,-16.054820795325,0.0120549578410676,0.0120549578410676,0,PromisingCostVariant,Lyapunov stays within 0.5 pp of heuristic and reduces cost by at least 5%.
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.664725457570716,0.659068219633943,-0.565723793677231,0.630952380952381,0.624725274725275,-0.622710622710643,3.33284359400999,2.85433111480866,-14.3574838033607,0.0398528827176877,0.0396678123224574,-0.464383960731995,CostVariantWithPenalty,Lyapunov saves substantial cost but loses up to 1 pp timely rate.
10017,LongRange,LongMixed,Medium,Mixed,Default,0.951414309484193,0.904492512479201,-4.69217970049917,1,0.991666666666666,-0.833333333333353,2.35926788685524,2.10845257903494,-10.6310652222975,0.0282453622922865,0.0398548275112948,41.1021997129017,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.524292845257903,0.518302828618968,-0.599001663893495,0.0138888888888889,0.0111111111111111,-0.277777777777778,2.66959733777038,2.2079084858569,-17.2943254543052,0.127515759652035,0.128584505323877,0.83812830253946,CostVariantWithPenalty,Lyapunov saves substantial cost but loses up to 1 pp timely rate.
