Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,PosDeg_Emerg,TimelyRate,0.999090909090909,0.00287479787288033,0.999090909090909,0.00287479787288033,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,LossRate,0.000909090909090904,0.00287479787288033,0.000909090909090904,0.00287479787288033,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,AvgDelay,0.0122181223874685,0.000184751085775154,0.0146522063250622,0.0013245093000606,0.00243408393759368,19.9219148442169,0.00192823874371731,0.00293992913147005,4.5232475542889e-09,p = 4.523e-09,1.80929902171556e-08,p = 1.809e-08,***,***,1,1.85447484168731,Meaningful,1.58313664400112e-07,p = 1.583e-07,***
10014,Default,PosDeg_Emerg,AvgTxCost,3.08772727272727,0.0980969049196805,2.90054545454546,0.0811127841129665,-0.187181818181818,-6.06212277344323,-0.21442538480184,-0.159938251561796,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.64790696452264,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.828181818181818,0.00670786170338739,0.825454545454545,0.00717100579769643,-0.0027272727272727,-0.272727272727269,-0.00441965602659034,-0.00103488942795506,0.04953447520608,p = 0.04953,0.14860342561824,p = 0.1486,*,n.s.,-1,-0.621059003408119,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.170909090909091,0.00574959574576063,0.173636363636364,0.0067078617033874,0.0027272727272727,0.272727272727274,0.00103488942795506,0.00441965602659034,0.04953447520608,p = 0.04953,0.14860342561824,p = 0.1486,*,n.s.,1,0.621059003408119,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0130237180806694,0.000391843737074562,0.0143626457209916,0.000762322383587596,0.00133892764032223,10.2806866059973,0.00100101296521292,0.00167684231543154,1.37434760727473e-06,p = 1.374e-06,5.49739042909891e-06,p = 5.497e-06,***,***,1,1.52704936821783,Meaningful,4.26047758255166e-05,p = 4.260e-05,***
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,3.58247272727273,0.138545797873324,3.05449090909091,0.139096964283593,-0.527981818181818,-14.7379159138431,-0.546381600418633,-0.509582035945003,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-11.0588331989277,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,AvgDelay,0.0120474613958416,0.000192397429589763,0.0120474613958416,0.000192397429589763,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,AvgTxCost,2.66290909090909,0.0337271502080596,2.55436363636364,0.0137990297898246,-0.108545454545455,-4.07619827939369,-0.121019331438687,-0.0960715776522237,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.3536150622104,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,PosDeg_Emerg,TimelyRate,0.895454545454545,0.00479132978813388,0.895454545454545,0.00479132978813388,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,PosDeg_Emerg,LossRate,0.101818181818182,0.00717100579769647,0.102727272727273,0.00613589597918681,0.000909090909090911,0.0909090909090915,-0.000198834030052274,0.0020170158482341,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,1,0.316227766016838,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0125667446068482,0.000646721518141358,0.0124794196745095,0.000581023797414873,-8.73249323386499e-05,-0.694889050988283,-0.000193749349720329,1.90994850430295e-05,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,-1,-0.316227766016838,Sub-ms,1,p = 1,n.s.
10006,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.92960909090909,0.0956583495295144,2.73608181818182,0.0925995600010967,-0.193527272727273,-6.60590770720265,-0.211063817211553,-0.175990728242993,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.25305675954687,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,PosDeg_Emerg,EmgTimely,0.895454545454545,0.00479132978813388,0.895454545454545,0.00479132978813388,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,PosDeg_Emerg,AvgDelay,0.0120474613958416,0.000192397429589763,0.0143820167972664,0.00139530921826753,0.00233455540142472,19.3779861559094,0.00181734908471128,0.00285176171813816,3.78528026701019e-08,p = 3.785e-08,1.51411210680408e-07,p = 1.514e-07,***,***,1,1.7395759219441,Meaningful,1.24914248811336e-06,p = 1.249e-06,***
10011,Default,PosDeg_Emerg,AvgTxCost,2.97527272727273,0.104361982178142,2.84509090909091,0.0820089806724076,-0.130181818181818,-4.37545832314836,-0.150727312933016,-0.10963632343062,1.15463194561016e-14,p = 1.155e-14,5.77315972805081e-14,p = 5.773e-14,***,***,-1,-2.44194991638055,SeeDelta,4.61852778244065e-13,p = 4.619e-13,***
10011,Default,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10011,ForestGeometry,PosDeg_Emerg,TimelyRate,0.98,0.0103208402217735,0.896363636363636,0.0411496853254983,-0.083636363636364,-8.3636363636364,-0.0984823740842666,-0.0687903531884614,6.65401067578841e-12,p = 6.654e-12,2.66160427031537e-11,p = 2.662e-11,***,***,-1,-2.17114287557005,Meaningful,2.5285240567996e-10,p = 2.529e-10,***
10011,ForestGeometry,PosDeg_Emerg,LossRate,0.02,0.0103208402217736,0.103636363636364,0.0411496853254983,0.0836363636363638,8.36363636363638,0.0687903531884611,0.0984823740842664,6.65401067578841e-12,p = 6.654e-12,2.66160427031537e-11,p = 2.662e-11,***,***,1,2.17114287557005,Meaningful,2.5285240567996e-10,p = 2.529e-10,***
10011,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0221231014778648,0.000422842355481733,0.0209112065857066,0.000684056804957696,-0.00121189489215819,-5.47796109587412,-0.00151572720146633,-0.000908062582850049,1.16899448565633e-06,p = 1.169e-06,2.33798897131265e-06,p = 2.338e-06,***,***,-0.963636363636364,-1.53721291300635,Meaningful,3.74078235410025e-05,p = 3.741e-05,***
10011,ForestGeometry,PosDeg_Emerg,AvgTxCost,3.564,0.130281999712301,3.02963636363637,0.133477332708994,-0.534363636363635,-14.993368023671,-0.577755134667445,-0.490972138059825,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.74608239483061,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10019,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,PosDeg_Emerg,AvgDelay,0.0120474613958416,0.000192397429589763,0.0120474613958416,0.000192397429589763,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10019,Default,PosDeg_Emerg,AvgTxCost,3.00272727272727,0.0259688306492478,2.57945454545454,0.0313023115878647,-0.42327272727273,-14.096276112625,-0.440240987456294,-0.406304467089167,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-9.61359882671858,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10019,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,ForestGeometry,PosDeg_Emerg,TimelyRate,0.608181818181818,0.0564401565943997,0.595454545454546,0.0539104450747188,-0.0127272727272726,-1.27272727272725,-0.0168397160558406,-0.00861482939870459,0.000162183789737202,p = 1.622e-04,0.000324367579474405,p = 3.244e-04,***,***,-1,-1.19271985191883,Meaningful,0.00486551369211607,p = 0.004866,**
10019,ForestGeometry,PosDeg_Emerg,LossRate,0.159090909090909,0.0340824905430365,0.198181818181818,0.0365650984945413,0.039090909090909,3.9090909090909,0.035028517647384,0.043153300534434,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.7084892560156,Meaningful,1.1125369292536e-306,p < 1e-15,***
10019,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0545943307499245,0.00201412506374011,0.0529291237022675,0.00177571096136099,-0.00166520704765696,-3.05014646169879,-0.0018405479591999,-0.00148986613611402,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.66005830512776,Meaningful,1.1125369292536e-306,p < 1e-15,***
10019,ForestGeometry,PosDeg_Emerg,AvgTxCost,4.17842727272727,0.176597663378495,3.88033636363637,0.181605031877715,-0.29809090909091,-7.13404565005972,-0.324867921516659,-0.271313896665161,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.29031949614784,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10019,ForestGeometry,PosDeg_Emerg,EmgTimely,0.608181818181818,0.0564401565943997,0.595454545454546,0.0539104450747188,-0.0127272727272726,-1.27272727272725,-0.0168397160558406,-0.00861482939870459,0.000162183789737202,p = 1.622e-04,0.000324367579474405,p = 3.244e-04,***,***,-1,-1.19271985191883,Meaningful,0.00486551369211607,p = 0.004866,**
10017,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
