Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.97071547420965,0.00647756020883261,0.97071547420965,0.00647756020883261,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,LossRate,0.0292845257903494,0.00647756020883257,0.0292845257903494,0.00647756020883257,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,AvgDelay,0.0239099709304986,0.00293783514947494,0.024379568172042,0.0028492686781921,0.00046959724154345,1.96402263686757,0.000370781239621404,0.000568413243465495,6.99192770348134e-09,p = 6.992e-09,2.79677108139254e-08,p = 2.797e-08,***,***,1,1.831476212034,Sub-ms,1.46830481773108e-07,p = 1.468e-07,***
10014,Default,AvgTxCost,1.85548252911814,0.0232467702069579,1.81968386023294,0.022227019740785,-0.035798668885192,-1.9293455111219,-0.0410735907651729,-0.0305237470052112,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.61549485275557,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.770382695507488,0.00880449687542286,0.743760399334442,0.00826381831711129,-0.026622296173045,-2.66222961730451,-0.0288436573354756,-0.0244009350106144,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.61880215351704,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.229450915141431,0.00864406513398033,0.256073211314476,0.00797782524120236,0.026622296173045,2.6622296173045,0.0244009350106144,0.0288436573354756,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.61880215351702,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.0935719761303721,0.00316179839978743,0.104343546875838,0.00315671596799968,0.0107715707454657,11.5115349604863,0.00962322250085257,0.0119199189900787,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.61500124161341,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,2.17201331114809,0.0424124769598424,1.88355906821963,0.0331819828100343,-0.288454242928456,-13.2805006971151,-0.295388797559629,-0.281519688297283,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-16.0310283095296,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.980865224625624,0.00572372918484496,0.945757071547421,0.0068917247108195,-0.0351081530782028,-3.51081530782029,-0.0372974014777342,-0.0329189046786714,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.18039120625419,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,LossRate,0.019134775374376,0.00572372918484477,0.054242928452579,0.00689172471081933,0.035108153078203,3.5108153078203,0.0329189046786716,0.0372974014777343,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.18039120625429,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgDelay,0.0224865002548886,0.00260464826386798,0.0336970404347624,0.00310690849452664,0.0112105401798738,49.8545351779966,0.0102686700252603,0.0121524103344872,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.58710337623361,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgTxCost,2.4728618968386,0.00995171232901442,2.16133111480866,0.0075804913935606,-0.311530782029942,-12.5979854527346,-0.314923165990828,-0.308138398069056,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-35.3915014542358,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.999671052631579,0.00104022291452921,0.997368421052631,0.00302281770879187,-0.00230263157894758,-0.230263157894761,-0.00315828937874942,-0.00144697377914574,0.0010394824975084,p = 0.001039,0.0010394824975084,p = 0.001039,**,**,-1,-1.03711607648212,Below1pp,0.0155922374626261,p = 0.01559,*
10006,ForestGeometry,TimelyRate,0.706821963394343,0.00519106331971043,0.693677204658902,0.00599668903861375,-0.013144758735441,-1.31447587354411,-0.0147571239869284,-0.0115323934839536,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.14189894780893,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,LossRate,0.291181364392679,0.00576389619823246,0.305823627287854,0.00591144208296152,0.0146422628951748,1.46422628951748,0.0129376104153106,0.0163469153750389,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.31036109299831,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,AvgDelay,0.089388034827058,0.000915919473135104,0.0917884059211304,0.00115550434712271,0.00240037109407237,2.68533825440557,0.00202925713879983,0.00277148504934491,3.10862446895044e-15,p = 3.109e-15,6.21724893790088e-15,p = 6.217e-15,***,***,1,2.4927236033018,Meaningful,7.7715611723761e-14,p = 7.772e-14,***
10006,ForestGeometry,AvgTxCost,2.68690682196339,0.0435012939460115,2.26949750415974,0.0323719364440828,-0.417409317803651,-15.5349383310077,-0.424908082315126,-0.409910553292176,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-21.4523783399383,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,EmgTimely,0.802631578947368,0.00580208620847506,0.801973684210526,0.00509603071869392,-0.000657894736842102,-0.0657894736842191,-0.0011924199267796,-0.000123369546904604,0.133614461953004,p = 0.1336,0.133614461953004,p = 0.1336,n.s.,n.s.,-1,-0.474341649025257,Below1pp,1,p = 1,n.s.
10011,Default,TimelyRate,0.997171381031614,0.00136983794067997,0.997171381031614,0.00136983794067997,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,LossRate,0.00282861896838602,0.00136983794067981,0.00282861896838602,0.00136983794067981,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,AvgDelay,0.0126794637817115,0.000353030740201805,0.0131196530389307,0.000382873227691004,0.00044018925721928,3.47167092234767,0.000337932342353587,0.000542446172084973,1.55526860723398e-07,p = 1.555e-07,6.22107442893594e-07,p = 6.221e-07,***,***,1,1.65901295429531,Sub-ms,2.79948349302117e-06,p = 2.799e-06,***
10011,Default,AvgTxCost,1.94242928452579,0.0262257863495956,1.90070715474209,0.023699865938801,-0.041722129783695,-2.14793558334768,-0.0454397080090999,-0.0380045515582901,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.32523170158673,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,ForestGeometry,TimelyRate,0.67936772046589,0.00894487857285575,0.602662229617305,0.0167274407065063,-0.0767054908485855,-7.67054908485856,-0.083241157252808,-0.070169824444363,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.5231355216324,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,LossRate,0.316971713810316,0.00942057002299676,0.395174708818636,0.0170993788235917,0.0782029950083195,7.82029950083195,0.0715732804117695,0.0848327096048695,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.54602245554515,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgDelay,0.137766616546532,0.0025281540982712,0.154213072459082,0.00399997010814606,0.01644645591255,11.9379108849604,0.0149885251722667,0.0179043866528333,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.34748863724342,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgTxCost,3.39813477537437,0.0588101468367029,2.63554575707155,0.0396338798227218,-0.762589018302827,-22.4414000241886,-0.778677337512727,-0.746500699092926,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-18.2676589903661,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,EmgTimely,0.275,0.067700320038633,0.245,0.0761941963377497,-0.03,-3.00000000000001,-0.0399507861720846,-0.0200492138279154,0.00023862762935134,p = 2.386e-04,0.00023862762935134,p = 2.386e-04,***,***,-1,-1.16189500386223,Meaningful,0.00381804206962144,p = 0.003818,**
10019,Default,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,AvgDelay,0.0120549578410676,7.58304670317863e-05,0.0120549578410676,7.58304670317863e-05,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
