Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.968718801996672,0.00691845418946756,0.97071547420965,0.00647756020883261,0.0019966722129782,0.199667221297817,0.00120839903210557,0.00278494539385083,0.00202218597710146,p = 0.002022,0.00808874390840586,p = 0.008089,**,**,1,0.976187060183986,Below1pp,0.0687543232214498,p = 0.06875,n.s.
10014,Default,LossRate,0.0312811980033278,0.00691845418946763,0.0292845257903494,0.00647756020883257,-0.00199667221297837,-0.199667221297837,-0.0027849453938511,-0.00120839903210564,0.00202218597710191,p = 0.002022,0.00808874390840586,p = 0.008089,**,**,-1,-0.976187060183954,Below1pp,0.0687543232214498,p = 0.06875,n.s.
10014,Default,AvgDelay,0.0242200511076675,0.00290337977505987,0.024379568172042,0.0028492686781921,0.00015951706437459,0.658615721599728,-2.54001290393029e-05,0.000344434257788482,0.293113977802884,p = 0.2931,0.586227955605769,p = 0.5862,n.s.,n.s.,0.345454545454545,0.332455007561349,Sub-ms,1,p = 1,n.s.
10014,Default,AvgTxCost,1.62945091514143,0,1.81968386023294,0.022227019740785,0.190232945091514,11.6746655774533,0.181666823025697,0.198799067157331,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.55863481969424,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.73910149750416,0.00886716312444184,0.743760399334442,0.00826381831711129,0.00465890183028272,0.465890183028272,0.00309399065605527,0.00622381300451018,0.000285422117749512,p = 2.854e-04,0.000856266353248536,p = 8.563e-04,***,***,0.909090909090909,1.14735256588711,Below1pp,0.0105606183567319,p = 0.01056,*
10014,ForestGeometry,LossRate,0.26089850249584,0.00886716312444183,0.256073211314476,0.00797782524120236,-0.00482529118136421,-0.482529118136421,-0.00637995013645692,-0.0032706322262715,0.000155244057255199,p = 1.552e-04,0.000620976229020798,p = 6.210e-04,***,***,-0.909090909090909,-1.19616589754195,Below1pp,0.00589927417569758,p = 0.005899,**
10014,ForestGeometry,AvgDelay,0.105496927002565,0.00311940688789322,0.104343546875838,0.00315671596799968,-0.0011533801267269,-1.09328315003797,-0.00164664800053715,-0.000660112252916657,0.0043767622532247,p = 0.004377,0.00875352450644939,p = 0.008754,**,**,-0.854545454545454,-0.901140806720797,Meaningful,0.122549343090292,p = 0.1225,n.s.
10014,ForestGeometry,AvgTxCost,1.69833610648918,0,1.88355906821963,0.0331819828100343,0.185222961730452,10.906142843147,0.172434881346692,0.198011042114212,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.58203416567501,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.94559068219634,0.00714807481701562,0.945757071547421,0.0068917247108195,0.000166389351081497,0.0166389351081597,-3.63922517566484e-05,0.000369170953919643,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,1,0.316227766016838,Below1pp,1,p = 1,n.s.
10006,Default,LossRate,0.0544093178036605,0.00714807481701549,0.054242928452579,0.00689172471081933,-0.000166389351081531,-0.0166389351081528,-0.000369170953919717,3.63922517566557e-05,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,-1,-0.316227766016838,Below1pp,1,p = 1,n.s.
10006,Default,AvgDelay,0.0337106669503067,0.00313427073435694,0.0336970404347624,0.00310690849452664,-1.36265155443203e-05,-0.0404219695932011,-3.93689139096288e-05,1.21158828209881e-05,0.51885091223108,p = 0.5189,1,p = 1,n.s.,n.s.,-0.333333333333333,-0.204004070367194,Sub-ms,1,p = 1,n.s.
