Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.0242200511076675,0.00290337977505987,0.00179953342832468,0.968718801996672,0.00691845418946756,0.00428810233274531,0.0312811980033278,0.00691845418946763,0.00428810233274535,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,0.0239099709304986,0.00293783514947494,0.00182088909063864,0.97071547420965,0.00647756020883261,0.00401483341239425,0.0292845257903494,0.00647756020883257,0.00401483341239422,1.85548252911814,0.0232467702069579,0.0144084974509201,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,0.024379568172042,0.0028492686781921,0.00176599502301741,0.97071547420965,0.00647756020883261,0.00401483341239425,0.0292845257903494,0.00647756020883257,0.00401483341239422,1.81968386023294,0.022227019740785,0.0137764495637676,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,0.0157020354882495,0.00110801895149802,0.000686757261163615,0.993011647254576,0.00291379379624274,0.00180598810552635,0.00698835274542428,0.00291379379624263,0.00180598810552627,1.89032445923461,0.0202842294707992,0.0125722956790105,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.105496927002565,0.00311940688789322,0.00193342842005378,0.73910149750416,0.00886716312444184,0.00549592464406829,0.26089850249584,0.00886716312444183,0.00549592464406828,1.69833610648918,0,0,0.0166666666666667,0.0527046276694731,0.0326666666666667
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,0.0935719761303721,0.00316179839978743,0.00195970295133837,0.770382695507488,0.00880449687542286,0.00545708370052171,0.229450915141431,0.00864406513398033,0.00535764707698037,2.17201331114809,0.0424124769598424,0.0262875255668931,0.0166666666666667,0.0527046276694731,0.0326666666666667
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,0.104343546875838,0.00315671596799968,0.00195655282748003,0.743760399334442,0.00826381831711129,0.00512196765817069,0.256073211314476,0.00797782524120236,0.0049447073132484,1.88355906821963,0.0331819828100343,0.0205664060202114,0.0166666666666667,0.0527046276694731,0.0326666666666667
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,0.0814836946977675,0.0013927363281542,0.000863226919497283,0.800831946755407,0.00437069069436415,0.00270898215828954,0.199001663893511,0.00423848545192313,0.00262704050008277,2.61058069883528,0.029013990600689,0.0179830576845432,0.0166666666666667,0.0527046276694731,0.0326666666666667
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.0337106669503067,0.00313427073435694,0.00194264112753859,0.94559068219634,0.00714807481701562,0.00443042267218389,0.0544093178036605,0.00714807481701549,0.00443042267218381,2.14675540765392,0,0,0.997368421052631,0.00302281770879187,0.00187356182660968
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,0.0224865002548886,0.00260464826386798,0.00161437771941551,0.980865224625624,0.00572372918484496,0.00354760410308144,0.019134775374376,0.00572372918484477,0.00354760410308132,2.4728618968386,0.00995171232901442,0.00616813520537905,0.999671052631579,0.00104022291452921,0.000644736842105347
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-lyapunov,0.0336970404347624,0.00310690849452664,0.00192568183558808,0.945757071547421,0.0068917247108195,0.00427153523023876,0.054242928452579,0.00689172471081933,0.00427153523023865,2.16133111480866,0.0075804913935606,0.00469843724304325,0.997368421052631,0.00302281770879187,0.00187356182660968
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,0.0188676381376376,0.00195441345814767,0.00121135801141683,0.988851913477538,0.00437069069436369,0.00270898215828925,0.0111480865224626,0.00437069069436397,0.00270898215828943,2.32645590682197,0.00758049139356058,0.00469843724304323,0.997368421052631,0.00302281770879187,0.00187356182660968
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.0927385636114853,0.00169241530356861,0.00104896987281561,0.690515806988353,0.0078043523457962,0.00483718769873803,0.308319467554077,0.0089448785728555,0.00554409317803651,2.26455906821964,0,0,0.801644736842105,0.00466492267240849,0.00289134902766059
