Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,LyapunovTimely,LyapunovMinusHeuristicTimely_pp,HeuristicEmgTimely,LyapunovEmgTimely,LyapunovMinusHeuristicEmg_pp,HeuristicTxCost,LyapunovTxCost,LyapunovCostDeltaPct,HeuristicDelay,LyapunovDelay,LyapunovDelayDeltaPct,DecisionClass,Interpretation
10014,Primary,CurvedBlind,Medium,Dense,Default,0.963394342762063,0.963394342762063,0,1,1,0,1.87504159733777,1.83868552412645,-1.93894755524005,0.0263639920970355,0.0267895420025956,1.61413303415414,NotCompetitive,Lyapunov does not provide a favorable timely-cost tradeoff in this row.
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.778702163061564,0.752079866888519,-2.66222961730449,0,0,0,2.21154742096506,1.90798668885191,-13.7261688008789,0.0911075565059952,0.101531417787777,11.4412697272765,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10006,Reference,Mixed,Medium,Mixed,Default,0.973377703826955,0.945091514143095,-2.82861896838602,1,1,0,2.46705490848585,2.15956738768719,-12.4637485668035,0.0258222142643452,0.0328612520678702,27.2596212372244,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.713810316139767,0.705490848585691,-0.831946755407653,0.815789473684211,0.8125,-0.328947368421051,2.70908485856905,2.29637271214643,-15.2343749999997,0.0893868457869891,0.0902040512243865,0.914234561251588,CostVariantWithPenalty,Lyapunov saves substantial cost but loses up to 1 pp timely rate.
10011,Boundary,Open,Low,Sparse,Default,0.996672212978369,0.996672212978369,0,1,1,0,1.96439267886855,1.92396006655574,-2.0582754531594,0.0126270927537214,0.0130526426592814,3.37013367890738,NotCompetitive,Lyapunov does not provide a favorable timely-cost tradeoff in this row.
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.675540765391015,0.599001663893511,-7.65391014975041,0.2,0.2,0,3.42076539101497,2.6583693843594,-22.2872930326673,0.137207995706178,0.153187764446999,11.6463830395427,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,1,1,0,1,1,0,2.9828618968386,2.51164725457571,-15.7974005689738,0.01206502399156,0.01206502399156,0,PromisingCostVariant,Lyapunov stays within 0.5 pp of heuristic and reduces cost by at least 5%.
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.662229617304492,0.658901830282862,-0.332778702163061,0.628205128205128,0.624542124542125,-0.366300366300365,3.35813643926789,2.88432612312812,-14.1093229744727,0.0398901294406843,0.0398020451072938,-0.220817366665904,PromisingCostVariant,Lyapunov stays within 0.5 pp of heuristic and reduces cost by at least 5%.
10017,LongRange,LongMixed,Medium,Mixed,Default,0.960066555740433,0.913477537437604,-4.65890183028287,1,1,0,2.37237936772046,2.12678868552412,-10.3520830410998,0.0249385994433039,0.0357063864370203,43.1771921201756,CostOnlyVariant,Lyapunov saves cost but loses too much timely performance for the main method.
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.520798668885191,0.515806988352745,-0.499168053244592,0.0277777777777778,0.0277777777777778,0,2.63888519134775,2.22811980033278,-15.5658682068387,0.128189829381371,0.129265181906743,0.838875073445,PromisingCostVariant,Lyapunov stays within 0.5 pp of heuristic and reduces cost by at least 5%.
