Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.963394342762063,0,0.963394342762063,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,LossRate,0.0366056572379367,0,0.0366056572379367,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,AvgDelay,0.0263639920970355,0,0.0267895420025956,0,0.000425549905560037,1.61413303415414,0.000425549905560037,0.000425549905560037,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Sub-ms,1,p = 1,n.s.
10014,Default,AvgTxCost,1.87504159733777,0,1.83868552412645,0,-0.0363560732113146,-1.93894755524005,-0.0363560732113146,-0.0363560732113146,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.778702163061564,0,0.752079866888519,0,-0.0266222961730449,-2.66222961730449,-0.0266222961730449,-0.0266222961730449,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,LossRate,0.221297836938436,0,0.247920133111481,0,0.0266222961730449,2.66222961730449,0.0266222961730449,0.0266222961730449,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,AvgDelay,0.0911075565059952,0,0.101531417787777,0,0.0104238612817818,11.4412697272765,0.0104238612817818,0.0104238612817818,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,AvgTxCost,2.21154742096506,0,1.90798668885191,0,-0.303560732113149,-13.7261688008789,-0.303560732113149,-0.303560732113149,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
10014,ForestGeometry,EmgTimely,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.973377703826955,0,0.945091514143095,0,-0.0282861896838602,-2.82861896838602,-0.0282861896838602,-0.0282861896838602,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10006,Default,LossRate,0.0266222961730449,0,0.0549084858569051,0,0.0282861896838602,2.82861896838602,0.0282861896838602,0.0282861896838602,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10006,Default,AvgDelay,0.0258222142643452,0,0.0328612520678702,0,0.00703903780352503,27.2596212372244,0.00703903780352503,0.00703903780352503,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10006,Default,AvgTxCost,2.46705490848585,0,2.15956738768719,0,-0.307487520798662,-12.4637485668035,-0.307487520798662,-0.307487520798662,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
