Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.012832982369517,0,0,0.824,0,0,0.176,0,0,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.0119745037745441,0,0,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.0119368881633837,0,0,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.0120253125341719,0,0,0.990909090909091,0,0,0.00909090909090904,0,0,2.03,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.0121644021480778,0,0,0.993377483443709,0,0,0.00662251655629142,0,0,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.0121824781097023,0,0,0.960066555740433,0,0,0.0399334442595674,0,0,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Normal,0.012832982369517,0,0,0.824,0,0,0.176,0,0,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Coop_1,0.0119745037745441,0,0,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,LinkDeg_Emerg,0.0119368881633837,0,0,1,0,0,0,0,0,2.15076923076923,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,PosDeg_Emerg,0.0121163758473543,0,0,1,0,0,0,0,0,3.2,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Recovery,0.0123052147433614,0,0,1,0,0,0,0,0,1.13311258278146,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Full,0.0122361990506362,0,0,0.963394342762063,0,0,0.0366056572379367,0,0,1.87504159733777,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Normal,0.012832982369517,0,0,0.824,0,0,0.176,0,0,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Coop_1,0.0119745037745441,0,0,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,LinkDeg_Emerg,0.0119368881633837,0,0,1,0,0,0,0,0,2.17230769230769,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,PosDeg_Emerg,0.0144414257859141,0,0,1,0,0,0,0,0,2.98545454545455,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Recovery,0.0123052147433614,0,0,1,0,0,0,0,0,1.13543046357616,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Full,0.0126779183826597,0,0,0.963394342762063,0,0,0.0366056572379367,0,0,1.83868552412645,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Normal,0.0161692832300361,0,0,0.976,0,0,0.024,0,0,1.6444,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Coop_1,0.0119745037745441,0,0,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,LinkDeg_Emerg,0.0119368881633837,0,0,1,0,0,0,0,0,2.17230769230769,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,PosDeg_Emerg,0.0144414257859141,0,0,1,0,0,0,0,0,2.98545454545455,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Recovery,0.0123052147433614,0,0,1,0,0,0,0,0,1.13543046357616,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Full,0.0133634951731841,0,0,0.995008319467554,0,0,0.00499168053244592,0,0,1.90782029950083,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Normal,0.0170408108366292,0,0,0.272,0,0,0.728,0,0,1.48,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Coop_1,0.0122732570272648,0,0,0.973333333333333,0,0,0.0266666666666666,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.0120683686061023,0,0,0.984615384615385,0,0,0.0153846153846153,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.0128266605725613,0,0,0.836363636363636,0,0,0.163636363636364,0,0,2.14545454545455,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Recovery,0.0169493331497406,0,0,0.774834437086093,0,0,0.225165562913907,0,0,1.12384105960265,0,0,NaN,NaN,NaN
