Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.0268706986178007,0,0,0.960066555740433,0,0,0.0399334442595674,0,0,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,0.0263639920970355,0,0,0.963394342762063,0,0,0.0366056572379367,0,0,1.87504159733777,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,0.0267895420025956,0,0,0.963394342762063,0,0,0.0366056572379367,0,0,1.83868552412645,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,0.0152601832172448,0,0,0.995008319467554,0,0,0.00499168053244592,0,0,1.90782029950083,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.10144556312215,0,0,0.753743760399334,0,0,0.246256239600666,0,0,1.69833610648918,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,0.0911075565059952,0,0,0.778702163061564,0,0,0.221297836938436,0,0,2.21154742096506,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,0.101531417787777,0,0,0.752079866888519,0,0,0.247920133111481,0,0,1.90798668885191,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,0.0811501623581462,0,0,0.803660565723794,0,0,0.196339434276206,0,0,2.62742096505824,0,0,0,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.0328612520678702,0,0,0.945091514143095,0,0,0.0549084858569051,0,0,2.14675540765392,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,0.0258222142643452,0,0,0.973377703826955,0,0,0.0266222961730449,0,0,2.46705490848585,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-lyapunov,0.0328612520678702,0,0,0.945091514143095,0,0,0.0549084858569051,0,0,2.15956738768719,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,0.0214884174995829,0,0,0.983361064891847,0,0,0.0166389351081531,0,0,2.3246921797005,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.0900261749851807,0,0,0.707154742096506,0,0,0.289517470881864,0,0,2.26455906821964,0,0,0.8125,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.0893868457869891,0,0,0.713810316139767,0,0,0.282861896838602,0,0,2.70908485856905,0,0,0.815789473684211,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-lyapunov,0.0902040512243865,0,0,0.705490848585691,0,0,0.294509151414309,0,0,2.29637271214643,0,0,0.8125,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,0.08454374709218,0,0,0.725457570715474,0,0,0.274542429284526,0,0,2.87520798668885,0,0,0.8125,0,0
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,0.0126270927537214,0,0,0.996672212978369,0,0,0.00332778702163061,0,0,1.71880199667221,0,0,1,0,0
