Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,RiskTimely,LyapunovTimely,RiskMinusHeuristicTimely_pp,HeuristicEmgTimely,RiskEmgTimely,RiskMinusHeuristicEmg_pp,HeuristicTxCost,RiskTxCost,RiskCostDeltaPct,HeuristicDelay,RiskDelay,RiskDelayDeltaPct,DecisionClass,Interpretation
10014,Primary,CurvedBlind,Medium,Dense,Default,0.97071547420965,0.992346089850249,0.97071547420965,2.1630615640599,1,1,0,1.85548252911814,1.90821963394343,2.84223127934026,0.0239099709304986,0.0153385673912343,-35.8486572994155,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.770382695507488,0.797670549084858,0.743760399334442,2.7287853577371,0.0166666666666667,0.0166666666666667,0,2.17201331114809,2.6536306156406,22.1737731541775,0.0935719761303721,0.0814280060571512,-12.9782126822896,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10006,Reference,Mixed,Medium,Mixed,Default,0.980865224625624,0.98585690515807,0.945757071547421,0.499168053244603,0.999671052631579,0.997368421052631,-0.230263157894761,2.4728618968386,2.31592346089851,-6.34642946056664,0.0224865002548886,0.0189573878776501,-15.6943603372487,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.706821963394343,0.717138103161398,0.693677204658902,1.03161397670549,0.802631578947368,0.801973684210526,-0.0657894736842191,2.68690682196339,2.94232778702163,9.506134078427,0.089388034827058,0.0855152537195668,-4.33254978139308,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10011,Boundary,Open,Low,Sparse,Default,0.997171381031614,0.997171381031614,0.997171381031614,0,1,1,0,1.94242928452579,1.90829450915141,-1.75732396779162,0.0126794637817115,0.0126794637817115,0,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.67936772046589,0.724792013311148,0.602662229617305,4.5424292845258,0.275,0.295,2,3.39813477537437,4.04588019966722,19.0617932221799,0.137766616546532,0.121934154679093,-11.4922339419514,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,1,1,1,0,1,1,0,2.98415973377703,2.58302828618969,-13.4420233289468,0.0120549578410676,0.0120549578410676,0,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.664725457570716,0.662396006655574,0.659068219633943,-0.232945091514158,0.630952380952381,0.628388278388278,-0.256410256410278,3.33284359400999,2.92004159733778,-12.3858796558627,0.0398528827176877,0.0399249121087773,0.180738220619704,ComparableTheoryVariant,Risk-constrained is close enough to heuristic to justify a follow-up.
10017,LongRange,LongMixed,Medium,Mixed,Default,0.951414309484193,0.96738768718802,0.904492512479201,1.5973377703827,1,0.991666666666666,-0.833333333333353,2.35926788685524,2.37049916805324,0.476049424509131,0.0282453622922865,0.0230413637007041,-18.4242586012201,NeedsTuning,Risk-constrained has theory value but needs weight calibration before mainline use.
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.524292845257903,0.540765391014975,0.518302828618968,1.64725457570715,0.0138888888888889,0.0111111111111111,-0.277777777777778,2.66959733777038,3.88775207986689,45.6306546632198,0.127515759652035,0.124038684514759,-2.72678071068528,CandidateMainMethod,Risk-constrained preserves timely/emergency delivery relative to heuristic.
