Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,BaselineMethod,TimelyRateMean,EmergencyTimelyRateMean,LossRateMean,AvgTxCostMean,TimelyPerCost,EmergencyTimelyPerCost,ReliabilityPerCost,DeltaTimely_pp,DeltaEmergencyTimely_pp,DeltaAvgTxCost,TimelyGainPerCost_pp,EmergencyGainPerCost_pp,CostEfficiencyClass
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Link-delay-aware,0.960066555740433,1,0.0399334442595674,1.62945091514143,0.589196364750332,0.613703665883794,0.589196364750332,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Link-delay-aware,0.963394342762063,1,0.0366056572379367,1.87504159733777,0.513798917383974,0.533321501464194,0.513798917383974,0.332778702163061,0,0.245590682196338,1.35501355013551,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Risk-constrained,Link-delay-aware,0.993344425956739,1,0.00665557404326123,1.92113144758735,0.517062186038455,0.520526589294994,0.517062186038455,3.32778702163061,0,0.291680532445923,11.4090131203651,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Link-delay-aware,0.963394342762063,1,0.0366056572379367,1.83868552412645,0.523958191937017,0.543866793357767,0.523958191937017,0.332778702163061,0,0.209234608985023,1.59045725646124,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Link-delay-aware,0.995008319467554,1,0.00499168053244592,1.90782029950083,0.521541950113379,0.524158381301239,0.521541950113379,3.49417637271214,0,0.2783693843594,12.5523012552302,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Link-delay-aware,0.753743760399334,0,0.246256239600666,1.69833610648918,0.443813069462134,0,0.443813069462134,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.778702163061564,0,0.221297836938436,2.21154742096506,0.352107377702875,0,0.352107377702875,2.49584026622296,0,0.513211314475878,4.8631824666061,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Risk-constrained,Link-delay-aware,0.805324459234609,0,0.194675540765391,2.67324459234609,0.301253563381509,0,0.301253563381509,5.15806988352745,0,0.974908485856909,5.29082468596393,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.752079866888519,0,0.247920133111481,1.90798668885191,0.394174587948025,0,0.394174587948025,-0.166389351081531,0,0.209650582362729,-0.793650793650792,0,NoGainExtraCost
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,Link-delay-aware,0.803660565723794,0,0.196339434276206,2.62742096505824,0.305874306558249,0,0.305874306558249,4.99168053244592,0,0.929084858569055,5.37268526809697,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Link-delay-aware,0.945091514143095,1,0.0549084858569051,2.14675540765392,0.440241822973181,0.465819252829018,0.440241822973181,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,Link-delay-aware,0.973377703826955,1,0.0266222961730449,2.46705490848585,0.394550482228368,0.405341606528631,0.394550482228368,2.82861896838602,0,0.320299500831939,8.83116883116904,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Risk-constrained,Link-delay-aware,0.985024958402662,1,0.0149750415973378,2.33011647254576,0.422736361039702,0.429163096258211,0.422736361039702,3.99334442595674,0,0.183361064891847,21.7785843920145,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-lyapunov,Link-delay-aware,0.945091514143095,1,0.0549084858569051,2.15956738768719,0.437630017720933,0.463055705370212,0.437630017720933,0,0,0.0128119800332773,0,0,NoGainExtraCost
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,Link-delay-aware,0.983361064891847,1,0.0166389351081531,2.3246921797005,0.423007000014314,0.430164478863964,0.423007000014314,3.8269550748752,0,0.177936772046589,21.5073873199925,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Link-delay-aware,0.707154742096506,0.8125,0.289517470881864,2.26455906821964,0.312270389419544,0.358789493019838,0.313739897134459,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.713810316139767,0.815789473684211,0.282861896838602,2.70908485856905,0.263487617924529,0.301131015185369,0.264715998427673,0.665557404326123,0.328947368421051,0.44452579034941,1.49723012427012,0.739996138722319,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Risk-constrained,Link-delay-aware,0.728785357737105,0.8125,0.271214642262895,2.97023294509152,0.245363030849639,0.273547568497179,0.245363030849639,2.1630615640599,0,0.705673876871877,3.06524250783996,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.705490848585691,0.8125,0.294509151414309,2.29637271214643,0.307219662058371,0.353818870822826,0.307219662058371,-0.166389351081531,0,0.0318136439267902,-5.2301255230123,0,NoGainExtraCost
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,Link-delay-aware,0.725457570715474,0.8125,0.274542429284526,2.87520798668885,0.252314814814815,0.282588252314815,0.252314814814815,1.83028286189684,0,0.610648918469217,2.99727520435968,0,CostlyGain
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Link-delay-aware,0.996672212978369,1,0.00332778702163061,1.71880199667221,0.579864472410455,0.581800580832527,0.579864472410455,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Default,Confidence-heuristic,Link-delay-aware,0.996672212978369,1,0.00332778702163061,1.96439267886855,0.507369134338472,0.509063188209385,0.507369134338472,0,0,0.245590682196338,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,Default,Risk-constrained,Link-delay-aware,0.996672212978369,1,0.00332778702163061,1.93227953410982,0.515801257211746,0.517523465082236,0.515801257211746,0,0,0.213477537437603,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,Default,Confidence-lyapunov,Link-delay-aware,0.996672212978369,1,0.00332778702163061,1.92396006655574,0.51803165268529,0.51976130761913,0.51803165268529,0,0,0.205158069883526,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,Default,Constrained Oracle,Link-delay-aware,0.996672212978369,1,0.00332778702163061,1.92396006655574,0.51803165268529,0.51976130761913,0.51803165268529,0,0,0.205158069883526,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Link-delay-aware,0.589018302828619,0.2,0.400998336106489,2.72888519134775,0.215845761740424,0.0732900015853079,0.219504164481787,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.675540765391015,0.2,0.316139767054909,3.42076539101497,0.197482343327432,0.0584664474580229,0.199914391890577,8.65224625623959,0,0.69188019966722,12.5054109951421,0,CostlyGain
10011,Boundary,Open,Low,Sparse,ForestGeometry,Risk-constrained,Link-delay-aware,0.737104825291181,0.2,0.252911813643927,4.0867221297837,0.180365780173607,0.0489389769229516,0.182808657557448,14.8086522462562,0,1.35783693843594,10.9060608288606,0,CostlyGain
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.599001663893511,0.2,0.394342762063228,2.6583693843594,0.225326723749437,0.0752340894296731,0.227830354013319,0.998336106489184,0,-0.0705158069883538,-14.1576215195845,-0,Dominates
10011,Boundary,Open,Low,Sparse,ForestGeometry,Constrained Oracle,Link-delay-aware,0.708818635607321,0.2,0.281198003327787,4.03038269550749,0.175868816724877,0.0496230792730755,0.178345842312551,11.9800332778702,0,1.30149750415974,9.204806954743,0,CostlyGain
