Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.960066555740433,0,0.993344425956739,0,0.0332778702163061,3.32778702163061,0.0332778702163061,0.0332778702163061,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,Default,LossRate,0.0399334442595674,0,0.00665557404326123,0,-0.0332778702163061,-3.32778702163061,-0.0332778702163061,-0.0332778702163061,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10014,Default,AvgDelay,0.0268706986178007,0,0.014932589081009,0,-0.0119381095367917,-44.4279834573529,-0.0119381095367917,-0.0119381095367917,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10014,Default,AvgTxCost,1.62945091514143,0,1.92113144758735,0,0.291680532445923,17.9005412029,0.291680532445923,0.291680532445923,1,p = 1,1,p = 1,n.s.,n.s.,1,0,SeeDelta,1,p = 1,n.s.
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.753743760399334,0,0.805324459234609,0,0.0515806988352745,5.15806988352745,0.0515806988352745,0.0515806988352745,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,LossRate,0.246256239600666,0,0.194675540765391,0,-0.0515806988352745,-5.15806988352745,-0.0515806988352745,-0.0515806988352745,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,AvgDelay,0.10144556312215,0,0.0794791575110252,0,-0.0219664056111243,-21.653392159374,-0.0219664056111243,-0.0219664056111243,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,AvgTxCost,1.69833610648918,0,2.67324459234609,0,0.974908485856909,57.4037425296368,0.974908485856909,0.974908485856909,1,p = 1,1,p = 1,n.s.,n.s.,1,0,SeeDelta,1,p = 1,n.s.
10014,ForestGeometry,EmgTimely,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.945091514143095,0,0.985024958402662,0,0.0399334442595674,3.99334442595674,0.0399334442595674,0.0399334442595674,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10006,Default,LossRate,0.0549084858569051,0,0.0149750415973378,0,-0.0399334442595674,-3.99334442595674,-0.0399334442595674,-0.0399334442595674,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,Meaningful,1,p = 1,n.s.
