Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,DirectShareMean,RedundantShareMean,RelayShareMean,AvgPriorityMean,AvgTxRateMean,EmergencyAvgPriorityMean,EmergencyAvgTxRateMean
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,0.923460898502496,0.0765391014975042,0,1.20831946755408,2.31144758735441,2.98888888888889,3.14333333333334
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0035,0.986688851913478,0,0.0133111480865225,1.29750415973378,2.34054908485857,2.00555555555556,2.55333333333333
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,0.992013311148087,0,0.00798668885191348,1.25723793677205,2.24698835274542,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0090,0.97603993344426,0.0206322795341098,0.00332778702163062,1.17271214642263,2.16342762063228,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0130,0.981697171381032,0.0183028286189684,0,1.10349417637271,2.11188019966722,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0180,0.987354409317804,0.0126455906821963,0,1.10149750415973,2.09154742096506,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0250,0.990016638935108,0.00998336106489185,0,1.09783693843594,2.0626622296173,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.899168053244592,0.100831946755408,0,1.18702163061564,2.46171381031614,2.96111111111111,3.19666666666667
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0035,0.575374376039933,0.424625623960067,0,1.56971713810316,2.94136439267886,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0060,0.791680532445924,0.208319467554077,0,1.41663893510815,2.56968386023294,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0090,0.811314475873544,0.188685524126456,0,1.20665557404326,2.22109816971714,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0130,0.960399334442596,0.0396006655574043,0,1.13910149750416,2.09465890183028,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0180,0.983028286189684,0.0169717138103161,0,1.14176372712146,2.07492512479201,2,2.55
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0250,0.989018302828619,0.010981697171381,0,1.1351081530782,2.05645590682196,2,2.55
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-heuristic,0.828618968386023,0.171381031613977,0,2.7324459234609,3.03916805324459,2.90695970695971,3.14384615384615
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0035,0.836605657237937,0.163394342762063,0,2.10715474209651,2.61886855241265,2.21868131868132,2.68120879120879
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0060,0.848252911813644,0.151747088186356,0,2.09084858569052,2.60908485856905,2.2007326007326,2.67043956043956
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0090,0.86522462562396,0.13477537437604,0,2.09284525790349,2.61028286189684,2.2029304029304,2.67175824175825
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0130,0.876871880199667,0.123128119800333,0,2.08718801996672,2.60688851913478,2.1967032967033,2.66802197802198
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0180,0.888851913477537,0.111148086522463,0,2.08352745424293,2.6046921797005,2.19267399267399,2.6656043956044
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0250,0.905823627287853,0.0941763727121464,0,2.07720465890183,2.60089850249584,2.18571428571429,2.66142857142858
