Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,V6Timely,V6MinusHeuristicTimely_pp,HeuristicEmgTimely,V6EmgTimely,V6MinusHeuristicEmg_pp,HeuristicTxCost,V6TxCost,V6CostDeltaPct,HeuristicDelay,V6Delay,V6DelayDeltaPct,V6MinusLinkTimely_pp,V6MinusLinkEmg_pp,V6MinusV4Emg_pp,V6CostDeltaVsV4Pct,OracleMinusV6Timely_pp,Decision
10014,Primary,CurvedBlind,Medium,Dense,Default,0.97071547420965,0.987687188019967,1.69717138103163,1,1,0,1.85548252911814,1.82258735440932,-1.77286361863252,0.0239099709304986,0.0164320432711884,-31.2753523667887,1.89683860232944,0,0,0.313199719768749,0.532445923460889,MainCandidate
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.770382695507488,0.79134775374376,2.09650582362728,0.0166666666666667,0.0166666666666667,0,2.17201331114809,2.38191014975042,9.66369945916152,0.0935719761303721,0.0824719731040854,-11.8625292371952,5.22462562396007,0,0,0.188124632569124,0.948419301164705,MainCandidate
10006,Reference,Mixed,Medium,Mixed,Default,0.980865224625624,0.985357737104825,0.449251247920124,0.999671052631579,0.999671052631579,0,2.4728618968386,2.56023294509151,3.53319562101742,0.0224865002548886,0.0192506225155241,-14.3903128663209,3.97670549084858,0.230263157894761,0.230263157894761,13.408216512625,0.332778702163072,MainCandidate
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.706821963394343,0.711813643926789,0.499168053244603,0.802631578947368,0.801973684210526,-0.0657894736842191,2.68690682196339,2.95506821963394,9.98030134422726,0.089388034827058,0.0863243797154427,-3.42736599763347,2.12978369384361,0.032894736842104,0,10.0791443558584,0.399334442595656,MainCandidate
10011,Boundary,Open,Low,Sparse,Default,0.997171381031614,0.997171381031614,0,1,1,0,1.94242928452579,1.8658153078203,-3.94423505225279,0.0126794637817115,0.0126794637817115,0,0,0,0,1.08170964208933,0,MainCandidate
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.67936772046589,0.716139767054908,3.67720465890183,0.275,0.295,2,3.39813477537437,3.70769051580699,9.10957807429848,0.137766616546532,0.122988957195052,-10.7265894466446,12.5623960066556,0,0,0.107820489666773,-1.44758735440932,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,1,1,0,1,1,0,2.98415973377703,3.04475873544092,2.03068893993777,0.0120549578410676,0.0120549578410676,0,0,0,0,21.5492733214649,0,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.664725457570716,0.664891846921797,0.0166389351081264,0.630952380952381,0.631135531135531,0.0183150183149849,3.33284359400999,3.31750915141431,-0.460100876717979,0.0398528827176877,0.0399325355531723,0.19986718664461,0.183028286189657,0.201465201465179,0.311355311355277,14.7060583292387,-0.232945091514125,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,Default,0.951414309484193,0.961564059900166,1.01497504159734,1,1,0,2.35926788685524,2.29188019966722,-2.85629654705476,0.0282453622922865,0.0239324186516687,-15.2695638880002,5.70715474209651,0.833333333333353,0.833333333333353,1.59313183165906,1.63061564059899,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.524292845257903,0.531780366056572,0.748752079866888,0.0138888888888889,0.0138888888888889,0,2.66959733777038,3.00595008319468,12.5993812124946,0.127515759652035,0.125032201702391,-1.94764784872171,1.04825291181364,0,0.277777777777778,1.17915097097657,0.782029950083196,MainCandidate
