Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.97071547420965,0.00647756020883261,0.987687188019967,0.00509536731130579,0.0169717138103163,1.69717138103163,0.0151884651082454,0.0187549625123872,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.6678942563632,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.0292845257903494,0.00647756020883257,0.0123128119800333,0.00509536731130599,-0.0169717138103161,-1.69717138103161,-0.018754962512387,-0.0151884651082452,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.66789425636318,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0239099709304986,0.00293783514947494,0.0164320432711884,0.00174626815901852,-0.00747792765931018,-31.2753523667887,-0.00830009786042671,-0.00665575745819365,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.50527867659994,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,1.85548252911814,0.0232467702069579,1.82258735440932,0.019703823629722,-0.032895174708818,-1.77286361863252,-0.0400534929438963,-0.0257368564737397,2.14346695948109e-08,p = 2.143e-08,4.28693391896218e-08,p = 4.287e-08,***,***,-0.963636363636364,-1.77102307220093,SeeDelta,6.21605418249516e-07,p = 6.216e-07,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.770382695507488,0.00880449687542286,0.79134775374376,0.00431045129844157,0.0209650582362728,2.09650582362728,0.0176508901691724,0.0242792263033732,1.28785870856518e-14,p = 1.288e-14,3.86357612569554e-14,p = 3.864e-14,***,***,1,2.43794872997433,Meaningful,4.50750547997814e-13,p = 4.508e-13,***
10014,ForestGeometry,LossRate,0.229450915141431,0.00864406513398033,0.20865224625624,0.00431045129844156,-0.0207986688851913,-2.07986688851913,-0.0240997142179836,-0.017497623552399,1.62092561595273e-14,p = 1.621e-14,3.86357612569554e-14,p = 3.864e-14,***,***,-1,-2.42821465589318,Meaningful,5.51114709423928e-13,p = 5.511e-13,***
10014,ForestGeometry,AvgDelay,0.0935719761303721,0.00316179839978743,0.0824719731040854,0.00152329220049308,-0.0111000030262867,-11.8625292371952,-0.0126283370862677,-0.00957166896630567,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.79903177670713,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,2.17201331114809,0.0424124769598424,2.38191014975042,0.031711184293629,0.209896838602333,9.66369945916152,0.198787501631869,0.221006175572797,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.28149877644116,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.980865224625624,0.00572372918484496,0.985357737104825,0.00442316184966759,0.00449251247920131,0.449251247920124,0.00260350875680169,0.00638151620160092,0.0037507583951808,p = 0.003751,0.0112522751855417,p = 0.01125,**,*,0.844444444444444,0.916557049279453,Below1pp,0.0825166846939727,p = 0.08252,n.s.
10006,Default,LossRate,0.019134775374376,0.00572372918484477,0.0146422628951747,0.00442316184966765,-0.00449251247920133,-0.449251247920133,-0.00638151620160095,-0.00260350875680171,0.00375075839518058,p = 0.003751,0.0112522751855417,p = 0.01125,**,*,-0.844444444444444,-0.916557049279455,Below1pp,0.0825166846939727,p = 0.08252,n.s.
10006,Default,AvgDelay,0.0224865002548886,0.00260464826386798,0.0192506225155241,0.00171140719505244,-0.00323587773936452,-14.3903128663209,-0.00410499441443422,-0.00236676106429483,5.69787196025295e-06,p = 5.698e-06,2.27914878410118e-05,p = 2.279e-05,***,***,-0.963636363636364,-1.43488483420932,Meaningful,0.000148144670966577,p = 1.481e-04,***
10006,Default,AvgTxCost,2.4728618968386,0.00995171232901442,2.56023294509151,0.00360040651516931,0.08737104825291,3.53319562101742,0.0837948982418474,0.0909471982639725,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,9.41574832486052,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.999671052631579,0.00104022291452921,0.999671052631579,0.00104022291452921,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,TimelyRate,0.706821963394343,0.00519106331971043,0.711813643926789,0.00818151477075341,0.00499168053244591,0.499168053244603,0.00367403347926289,0.00630932758562892,3.89921468180177e-06,p = 3.899e-06,1.16976440454053e-05,p = 1.170e-05,***,***,1,1.45999279017687,Below1pp,0.000105278796408648,p = 1.053e-04,***
10006,ForestGeometry,LossRate,0.291181364392679,0.00576389619823246,0.28702163061564,0.00884806219275878,-0.0041597337770383,-0.415973377703832,-0.00567871703044111,-0.00264075052363549,0.000845602361112974,p = 8.456e-04,0.00169120472222595,p = 0.001691,***,**,-1,-1.05539631709535,Below1pp,0.0194488543055984,p = 0.01945,*
10006,ForestGeometry,AvgDelay,0.089388034827058,0.000915919473135104,0.0863243797154427,0.00206620766410652,-0.00306365511161534,-3.42736599763347,-0.0037224133487528,-0.00240489687447787,1.45024210418399e-08,p = 1.450e-08,5.80096841673594e-08,p = 5.801e-08,***,***,-1,-1.79232531228935,Meaningful,4.35072631255196e-07,p = 4.351e-07,***
10006,ForestGeometry,AvgTxCost,2.68690682196339,0.0435012939460115,2.95506821963394,0.0278235713669637,0.268161397670546,9.98030134422726,0.252820476803095,0.283502318537997,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.73671002993205,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,EmgTimely,0.802631578947368,0.00580208620847506,0.801973684210526,0.00460003880776384,-0.000657894736842102,-0.0657894736842191,-0.0011924199267796,-0.000123369546904604,0.133614461953005,p = 0.1336,0.133614461953005,p = 0.1336,n.s.,n.s.,-1,-0.474341649025257,Below1pp,1,p = 1,n.s.
10011,Default,TimelyRate,0.997171381031614,0.00136983794067997,0.997171381031614,0.00136983794067997,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,LossRate,0.00282861896838602,0.00136983794067981,0.00282861896838602,0.00136983794067981,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,AvgDelay,0.0126794637817115,0.000353030740201805,0.0126794637817115,0.000353030740201805,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10011,Default,AvgTxCost,1.94242928452579,0.0262257863495956,1.8658153078203,0.0174947433210067,-0.076613976705489,-3.94423505225279,-0.0830684027141556,-0.0701595506968224,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.57460291365043,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,ForestGeometry,TimelyRate,0.67936772046589,0.00894487857285575,0.716139767054908,0.00998952173259607,0.0367720465890184,3.67720465890183,0.0341637639801083,0.0393803291979285,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.43333120456609,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,LossRate,0.316971713810316,0.00942057002299676,0.278535773710482,0.0104706374193361,-0.0384359400998337,-3.84359400998336,-0.0409911313473949,-0.0358807488522725,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.79718447141868,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgDelay,0.137766616546532,0.0025281540982712,0.122988957195052,0.00335496455354713,-0.0147776593514795,-10.7265894466446,-0.0158863362108167,-0.0136689824921423,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.13693052126503,Meaningful,1.1125369292536e-306,p < 1e-15,***
