Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.968718801996672,0.00691845418946756,0.987687188019967,0.00509536731130579,0.0189683860232945,1.89683860232944,0.0172530459623685,0.0206837260842205,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.26170292268733,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.0312811980033278,0.00691845418946763,0.0123128119800333,0.00509536731130599,-0.0189683860232945,-1.89683860232945,-0.0206837260842205,-0.0172530459623685,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.26170292268738,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0242200511076675,0.00290337977505987,0.0164320432711884,0.00174626815901852,-0.00778800783647904,-32.1552081036425,-0.00858948071736753,-0.00698653495559055,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.74490298553364,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,1.62945091514143,0,1.82258735440932,0.019703823629722,0.193136439267888,11.8528540794446,0.185542737532616,0.20073014100316,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,9.80197767181359,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.73910149750416,0.00886716312444184,0.79134775374376,0.00431045129844157,0.0522462562396005,5.22462562396007,0.0489737076730156,0.0555188048061854,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.15279009381671,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.26089850249584,0.00886716312444183,0.20865224625624,0.00431045129844156,-0.0522462562396005,-5.22462562396005,-0.0555188048061854,-0.0489737076730156,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.15279009381673,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.105496927002565,0.00311940688789322,0.0824719731040854,0.00152329220049308,-0.0230249538984793,-21.825236575772,-0.0244522672295907,-0.0215976405673678,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.21702295193775,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,1.69833610648918,0,2.38191014975042,0.031711184293629,0.683574043261241,40.2496326050757,0.671352797287702,0.69579528923478,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,21.5562445392043,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.94559068219634,0.00714807481701562,0.985357737104825,0.00442316184966759,0.0397670549084856,3.97670549084858,0.0373028898941799,0.0422312199227913,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.2195170854754,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,LossRate,0.0544093178036605,0.00714807481701549,0.0146422628951747,0.00442316184966765,-0.0397670549084858,-3.97670549084858,-0.0422312199227914,-0.0373028898941802,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.21951708547566,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgDelay,0.0337106669503067,0.00313427073435694,0.0192506225155241,0.00171140719505244,-0.0144600444347826,-42.8945664471674,-0.0154204888974436,-0.0134995999721216,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.80230286405619,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgTxCost,2.14675540765392,0,2.56023294509151,0.00360040651516931,0.413477537437589,19.2605797550759,0.412089968521235,0.414865106353943,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,114.8419034616,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.997368421052631,0.00302281770879187,0.999671052631579,0.00104022291452921,0.00230263157894758,0.230263157894761,0.00144697377914574,0.00315828937874942,0.0010394824975084,p = 0.001039,0.0010394824975084,p = 0.001039,**,**,1,1.03711607648212,Below1pp,0.0176712024576429,p = 0.01767,*
