Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.987687188019967,0.00509536731130579,0.987687188019967,0.00509536731130579,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,LossRate,0.0123128119800333,0.00509536731130599,0.0123128119800333,0.00509536731130599,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,AvgDelay,0.0164348980739308,0.00174762222090255,0.0164320432711884,0.00174626815901852,-2.8548027424101e-06,-0.0173703708387193,-6.33400061252564e-06,6.2439512770545e-07,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,-1,-0.316227766016838,Sub-ms,1,p = 1,n.s.
10014,Default,AvgTxCost,1.81689683860233,0.0201493943222126,1.82258735440932,0.019703823629722,0.00569051580698998,0.313199719768749,0.00532550892188137,0.0060555226920986,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.00832755432365,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.79134775374376,0.00431045129844157,0.79134775374376,0.00431045129844157,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,LossRate,0.20865224625624,0.00431045129844156,0.20865224625624,0.00431045129844156,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,AvgDelay,0.0824719731040854,0.00152329220049308,0.0824719731040854,0.00152329220049308,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10014,ForestGeometry,AvgTxCost,2.37743760399335,0.0319962756333714,2.38191014975042,0.031711184293629,0.00447254575707192,0.188124632569124,0.00342739592030757,0.00551769559383627,1.83875461967631e-07,p = 1.839e-07,9.19377309838154e-07,p = 9.194e-07,***,***,0.927272727272727,1.64922252911254,SeeDelta,7.35501847870523e-06,p = 7.355e-06,***
10014,ForestGeometry,EmgTimely,0.0166666666666667,0.0527046276694731,0.0166666666666667,0.0527046276694731,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
