Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.969883527454243,0.00540303000685863,0.989184692179701,0.00431401807712269,0.0193011647254576,1.93011647254576,0.0177538703733849,0.0208484590775303,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.80743698676112,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.030116472545757,0.00540303000685857,0.0108153078202995,0.00431401807712259,-0.0193011647254575,-1.93011647254575,-0.0208484590775302,-0.0177538703733849,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.80743698676118,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0231555880335778,0.0023225562520767,0.0155713468208271,0.00165647069544022,-0.00758424121275069,-32.7533949980144,-0.00827844689092222,-0.00689003553457916,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.21043530810771,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,1.62945091514143,0,1.82258735440932,0.019703823629722,0.193136439267888,11.8528540794446,0.185542737532616,0.20073014100316,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,9.80197767181359,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.738269550748752,0.0103182268775364,0.787354409317804,0.0048224215461528,0.0490848585690515,4.90848585690516,0.0454166844163013,0.0527530327218017,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.15704143872042,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.261730449251248,0.0103182268775364,0.212645590682196,0.00482242154615279,-0.0490848585690515,-4.90848585690515,-0.0527530327218017,-0.0454166844163013,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.1570414387204,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.105541567717417,0.0042853107552584,0.0841432024491264,0.00157230018896714,-0.0213983652682908,-20.2748222630007,-0.0229719405297781,-0.0198247900068035,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.24078207241485,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,1.69833610648918,0,2.38191014975042,0.031711184293629,0.683574043261241,40.2496326050757,0.671352797287702,0.69579528923478,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,21.5562445392043,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0333333333333333,0.105409255338946,0.0333333333333333,0.105409255338946,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.944925124792013,0.0069028745720342,0.985524126455907,0.0045092571545599,0.0405990016638935,4.05990016638934,0.0372986484467042,0.0438993548810828,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.7408690053801,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,LossRate,0.0550748752079867,0.00690287457203422,0.0144758735440932,0.00450925715455971,-0.0405990016638935,-4.05990016638935,-0.0438993548810827,-0.0372986484467042,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.74086900538017,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgDelay,0.0339504753186653,0.00229709692980163,0.0191063025888478,0.00185424102798477,-0.0148441727298174,-43.7230188693601,-0.0158003425057974,-0.0138880029538375,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.98306899458675,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgTxCost,2.14675540765392,0,2.56023294509151,0.00360040651516931,0.413477537437589,19.2605797550759,0.412089968521235,0.414865106353943,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,114.8419034616,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.998026315789474,0.00317793349697153,0.999013157894737,0.00158896674848589,0.000986842105263197,0.0986842105263119,0.00013118430546138,0.00184249990506501,0.159853781702558,p = 0.1599,0.159853781702558,p = 0.1599,n.s.,n.s.,1,0.444478318492325,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,TimelyRate,0.691846921797005,0.00650599148025079,0.709650582362729,0.00386255914508715,0.0178036605657239,1.7803660565724,0.015032311993602,0.0205750091378457,4.88498130835069e-15,p = 4.885e-15,1.95399252334028e-14,p = 1.954e-14,***,***,1,2.47583202174163,Meaningful,1.17239551400417e-13,p = 1.172e-13,***
10006,ForestGeometry,LossRate,0.306988352745424,0.00741008830609402,0.289184692179701,0.00456013417439693,-0.0178036605657237,-1.78036605657236,-0.0205750091378455,-0.0150323119936019,4.88498130835069e-15,p = 4.885e-15,1.95399252334028e-14,p = 1.954e-14,***,***,-1,-2.47583202174165,Meaningful,1.17239551400417e-13,p = 1.172e-13,***
10006,ForestGeometry,AvgDelay,0.0927506925765489,0.00182588685175821,0.0874900938180856,0.0012934941754775,-0.00526059875846337,-5.67176223953442,-0.00611860010309555,-0.00440259741383118,7.94919685631612e-14,p = 7.949e-14,1.58983937126322e-13,p = 1.590e-13,***,***,-1,-2.3629266103318,Meaningful,1.74882330838955e-12,p = 1.749e-12,***
10006,ForestGeometry,AvgTxCost,2.26455906821964,0,2.95506821963394,0.0278235713669637,0.690509151414297,30.4919911829531,0.679786161494104,0.70123214133449,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,24.817416222641,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,EmgTimely,0.800657894736842,0.00353607795978012,0.800657894736842,0.00353607795978012,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
