Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.0128810798526335,0.000189115421391733,0.00011721495256304,0.8744,0.0220060597714963,0.0136394971559316,0.1256,0.0220060597714963,0.0136394971559316,1.312,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.0121071310377785,0.000121241412867949,7.51462062343151e-05,0.999333333333333,0.00210818510677904,0.00130666666666674,0.000666666666666671,0.00210818510677893,0.00130666666666667,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.0121473737118627,0.000154962247490376,9.60465960680264e-05,0.998461538461539,0.00486504255410508,0.00301538461538454,0.00153846153846153,0.00486504255410517,0.0030153846153846,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.0122274252725383,0.000138524664046888,8.58584762975693e-05,0.988181818181818,0.00748429638498686,0.00463881495902329,0.0118181818181818,0.00748429638498695,0.00463881495902334,2.03,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.0119813670593387,0.000126090048253531,7.81514215812922e-05,0.994039735099338,0.00375924643839433,0.00233000508211558,0.00596026490066226,0.00375924643839434,0.00233000508211558,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.0122466495981205,8.86585978272103e-05,5.49511682450046e-05,0.969883527454243,0.00540303000685863,0.00334883269323006,0.030116472545757,0.00540303000685857,0.00334883269323002,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Normal,0.0128810798526335,0.000189115421391733,0.00011721495256304,0.8744,0.0220060597714963,0.0136394971559316,0.1256,0.0220060597714963,0.0136394971559316,1.31312,0.00236116731959241,0.00146346666666668,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Coop_1,0.0121071310377785,0.000121241412867949,7.51462062343151e-05,0.999333333333333,0.00210818510677904,0.00130666666666674,0.000666666666666671,0.00210818510677893,0.00130666666666667,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,LinkDeg_Emerg,0.0121473737118627,0.000154962247490376,9.60465960680264e-05,0.998461538461539,0.00486504255410508,0.00301538461538454,0.00153846153846153,0.00486504255410517,0.0030153846153846,2.15615384615385,0.0723758543977399,0.0448590193095241,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,PosDeg_Emerg,0.0123210476831292,0.000158655519337638,9.83357096749098e-05,0.998181818181818,0.0038330638305071,0.00237575757575756,0.00181818181818181,0.0038330638305071,0.00237575757575756,3.08772727272727,0.0980969049196805,0.0608010915879968,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Recovery,0.0120519946577339,0.00012362104835808,7.6621119591673e-05,0.998675496688742,0.00279229815467389,0.00173068432671071,0.00132450331125828,0.00279229815467408,0.00173068432671082,1.13380794701987,0.0414786263163538,0.0257087189414369,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Full,0.0122820315632711,9.50838418524845e-05,5.89335757508866e-05,0.97287853577371,0.00490150883977489,0.00303798665340704,0.0271214642262895,0.00490150883977495,0.00303798665340708,1.85548252911814,0.0232467702069579,0.0144084974509201,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,V4Cost0060,Normal,0.0141316166718326,0.000315368805975254,0.000195467611050506,0.9568,0.0165247289438183,0.0102421331111574,0.0432,0.0165247289438183,0.0102421331111574,1.50716,0.00418441553067248,0.00259352761568741,NaN,NaN,NaN
