Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,V6Timely,V6MinusHeuristicTimely_pp,HeuristicEmgTimely,V6EmgTimely,V6MinusHeuristicEmg_pp,HeuristicTxCost,V6TxCost,V6CostDeltaPct,HeuristicDelay,V6Delay,V6DelayDeltaPct,V6MinusLinkTimely_pp,V6MinusLinkEmg_pp,V6MinusV4Emg_pp,V6CostDeltaVsV4Pct,OracleMinusV6Timely_pp,Decision
10014,Primary,CurvedBlind,Medium,Dense,Default,0.972113144758735,0.988119800332779,1.60066555740436,1,1,0,1.86512978369384,1.8304608985025,-1.85879210628904,0.0229892707472776,0.0158036762879124,-31.2562957666508,1.89018302828621,0,0,0.316238981104986,0.555740432612273,MainCandidate
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.774708818635607,0.791447587354409,1.67387687188018,0.02,0.0233333333333333,0.333333333333332,2.19077903494177,2.39466422628952,9.30651554063169,0.0921218287543669,0.0829130732603365,-9.99627951219308,5.11148086522459,0,0,0.124599781466871,0.795341098169733,MainCandidate
10006,Reference,Mixed,Medium,Mixed,Default,0.981364392678869,0.986256239600665,0.489184692179689,0.999473684210526,0.999473684210526,0,2.47457237936772,2.56237271214642,3.54810121986142,0.0221298580038299,0.0187601157680214,-15.2271299491634,4.08985024958401,0.16447368421052,0.16447368421052,13.4085469581927,0.422628951747106,MainCandidate
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.706455906821963,0.709950083194676,0.34941763727121,0.799934210526316,0.799868421052631,-0.00657894736842968,2.69581896838602,2.95728319467553,9.69887924062098,0.0892020489164891,0.0872242505875389,-2.21721177144903,1.88685524126456,0.00657894736841858,0.0460526315789411,10.0659270755803,0.402662229617312,MainCandidate
10011,Boundary,Open,Low,Sparse,Default,0.997337770382696,0.997337770382696,0,1,1,0,1.95315640599002,1.87551580698835,-3.97513474924751,0.0126046450886321,0.0126046450886321,0,0.0133111480865367,0,0,1.07605464564173,0,MainCandidate
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.676838602329451,0.714076539101497,3.72379367720466,0.249,0.249,0,3.40846755407654,3.71841730449251,9.09352210336508,0.138396839353087,0.123148183108022,-11.0180668260506,12.6522462562396,0,1.1,0.107509117669119,-1.62063227953411,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,0.999866888519135,0.999866888519135,0,1,1,0,2.98048585690515,3.04475873544092,2.15645641756227,0.0120856430890555,0.0120856430890555,0,0,0,0,21.4031521430479,0,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.668252911813644,0.668785357737105,0.0532445923460911,0.634981684981685,0.635567765567766,0.0586080586080451,3.33238835274543,3.31769983361065,-0.440780532757458,0.0397360487773096,0.0397579064714635,0.0550072159322362,0.133111480865222,0.146520146520146,0.406593406593414,14.7158191966876,-0.159733777038273,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,Default,0.956838602329451,0.96675540765391,0.991680532445915,0.998333333333333,0.998333333333333,0,2.36796006655574,2.30109151414309,-2.82388851725471,0.0270656852414909,0.0225513783574438,-16.6790784854276,5.88685524126458,1.11111111111112,1.11111111111112,1.58665330743761,1.21797004991679,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.52396006655574,0.530149750415973,0.618968386023289,0.0244444444444445,0.0244444444444445,0,2.6790149750416,3.00379567387687,12.1231386110573,0.127527949729199,0.125315951908391,-1.73452002130154,0.90848585690515,0,0.166666666666667,1.17708062215389,0.658901830282854,MainCandidate
