Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.972113144758735,0.00590489662190604,0.988119800332779,0.00397760830385425,0.0160066555740434,1.60066555740436,0.0153229042636281,0.0166904068844587,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.77754661024838,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.0278868552412645,0.00590489662190604,0.0118801996672213,0.00397760830385427,-0.0160066555740432,-1.60066555740432,-0.0166904068844585,-0.0153229042636279,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.77754661024834,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0229892707472776,0.00254623461585575,0.0158036762879124,0.0014288415134567,-0.00718559445936523,-31.2562957666508,-0.00749119045294122,-0.00687999846578924,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.79421948434728,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,1.86512978369384,0.0347775555581348,1.8304608985025,0.0314416263908717,-0.0346688851913472,-1.85879210628904,-0.0367945405098479,-0.0325432298728465,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.99843137254902,-2.63180941587757,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.774708818635607,0.00748657748895819,0.791447587354409,0.00557058313360774,0.0167387687188019,1.67387687188018,0.0156358579480646,0.0178416794895392,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.44900986257372,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.225058236272879,0.00751527637347982,0.208452579034942,0.00559517565193413,-0.0166056572379366,-1.66056572379366,-0.0176952551867982,-0.0155160592890751,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.45921894370568,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.0921218287543669,0.00291283001941534,0.0829130732603365,0.0018397268839627,-0.00920875549403037,-9.99627951219308,-0.00969272553683558,-0.00872478545122516,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.07036399887346,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,2.19077903494177,0.0566208628547393,2.39466422628952,0.0472636632884758,0.203885191347756,9.30651554063169,0.199679916684296,0.208090466011217,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.82345735967751,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.02,0.0642416074439621,0.0233333333333333,0.0753675799587829,0.00333333333333332,0.333333333333332,-0.000470059210666592,0.00713672587733323,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,1,0.141421356237309,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.981364392678869,0.00454745102679081,0.986256239600665,0.00448250287511388,0.0048918469217969,0.489184692179689,0.00417547990749618,0.00560821393609762,6.66133814775094e-15,p = 6.661e-15,1.99840144432528e-14,p = 1.998e-14,***,***,0.884366327474561,1.10190633922031,Below1pp,1.59872115546023e-13,p = 1.599e-13,***
10006,Default,LossRate,0.0186356073211314,0.00454745102679082,0.0137437603993344,0.00448250287511393,-0.00489184692179701,-0.4891846921797,-0.00560821393609772,-0.00417547990749629,6.66133814775094e-15,p = 6.661e-15,1.99840144432528e-14,p = 1.998e-14,***,***,-0.884366327474561,-1.10190633922034,Below1pp,1.59872115546023e-13,p = 1.599e-13,***
10006,Default,AvgDelay,0.0221298580038299,0.00192594748153748,0.0187601157680214,0.00161859270245665,-0.00336974223580853,-15.2271299491634,-0.00368296687522603,-0.00305651759639103,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.979607843137255,-1.73599378773054,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgTxCost,2.47457237936772,0.0134402669244992,2.56237271214642,0.00667727200987717,0.0878003327787002,3.54810121986142,0.0860013567161519,0.0895993088412485,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.87550081356988,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.999473684210526,0.00121818434180615,0.999473684210526,0.00121818434180615,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,TimelyRate,0.706455906821963,0.00402112086992313,0.709950083194676,0.00520164653827999,0.00349417637271207,0.34941763727121,0.00292203955114529,0.00406631319427885,3.2245317527213e-12,p = 3.225e-12,9.67359525816391e-12,p = 9.674e-12,***,***,0.884778012684989,0.985490239036363,Below1pp,7.09396985598687e-11,p = 7.094e-11,***
10006,ForestGeometry,LossRate,0.291580698835274,0.00445405188604573,0.289018302828619,0.00542297815381497,-0.00256239600665544,-0.256239600665542,-0.00317178804025299,-0.00195300397305788,1.60626815892684e-06,p = 1.606e-06,3.21253631785368e-06,p = 3.213e-06,***,***,-0.723577235772358,-0.678510979421674,Below1pp,3.37316313374636e-05,p = 3.373e-05,***
10006,ForestGeometry,AvgDelay,0.0892020489164891,0.000919166273997196,0.0872242505875389,0.00131913866187098,-0.00197779832895011,-2.21721177144903,-0.00216508798045032,-0.00179050867744991,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.993725490196078,-1.70402368691897,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,AvgTxCost,2.69581896838602,0.0369865924594921,2.95728319467553,0.0174656979740336,0.261464226289514,9.69887924062098,0.255954753325636,0.266973699253393,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.65789881958131,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,EmgTimely,0.799934210526316,0.00330220415239871,0.799868421052631,0.00383845448433506,-6.57894736842191e-05,-0.00657894736842968,-0.000459662964735414,0.000328084017366976,0.848849626676738,p = 0.8488,0.848849626676738,p = 0.8488,n.s.,n.s.,-0.102941176470588,-0.0269529970029817,Below1pp,1,p = 1,n.s.
10011,Default,TimelyRate,0.997337770382696,0.00196011676996336,0.997337770382696,0.00196011676996336,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,LossRate,0.00266222961730449,0.00196011676996323,0.00266222961730449,0.00196011676996323,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Default,AvgDelay,0.0126046450886321,0.000456878503341392,0.0126046450886321,0.000456878503341392,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10011,Default,AvgTxCost,1.95315640599002,0.0355532758149435,1.87551580698835,0.0319838047659266,-0.0776405990016632,-3.97513474924751,-0.0796945453185375,-0.0755866526847889,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.09968197307996,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,ForestGeometry,TimelyRate,0.676838602329451,0.0122607108118038,0.714076539101497,0.0138819514730088,0.0372379367720466,3.72379367720466,0.0358906695177273,0.0385852040263659,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.46004519174261,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,LossRate,0.32089850249584,0.0125958530806918,0.281131447587354,0.0139574499208362,-0.0397670549084859,-3.9767054908486,-0.0411438747079285,-0.0383902351090434,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.6607276916212,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgDelay,0.138396839353087,0.00356786190717209,0.123148183108022,0.00422580750896703,-0.015248656245065,-11.0180668260506,-0.0157683063419329,-0.0147290061481971,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.73508702127338,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgTxCost,3.40846755407654,0.0490919438210065,3.71841730449251,0.0667886488634037,0.309949750415977,9.09352210336508,0.304225019911151,0.315674480920803,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.73662404445373,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,EmgTimely,0.249,0.0804895734152656,0.249,0.0842069850222095,0,0,-0.00936378288787852,0.00936378288787852,1,p = 1,1,p = 1,n.s.,n.s.,-0.0206896551724138,0,Below1pp,1,p = 1,n.s.
10019,Default,TimelyRate,0.999866888519135,0.000455985882891538,0.999866888519135,0.000455985882891538,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,LossRate,0.000133111480865225,0.000455985882891631,0.000133111480865225,0.000455985882891631,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,Default,AvgDelay,0.0120856430890555,0.000120113689549697,0.0120856430890555,0.000120113689549697,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10019,Default,AvgTxCost,2.98048585690515,0.0130866687704777,3.04475873544092,0,0.0642728785357672,2.15645641756227,0.0621611576577447,0.0663845994137898,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.91132462072859,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10019,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,ForestGeometry,TimelyRate,0.668252911813644,0.00866796973761448,0.668785357737105,0.0100870143958929,0.000532445923460794,0.0532445923460911,-0.000546228019684517,0.0016111198666061,0.573285323426116,p = 0.5733,1,p = 1,n.s.,n.s.,0.0758556891766883,0.0796512731129551,Below1pp,1,p = 1,n.s.
10019,ForestGeometry,LossRate,0.267953410981697,0.00970767204596311,0.268818635607321,0.008669729513129,0.000865224625623923,0.0865224625623939,-0.000221331088382031,0.00195178033962988,0.363565071902419,p = 0.3636,1,p = 1,n.s.,n.s.,0.19265306122449,0.12849442193708,Below1pp,1,p = 1,n.s.
10019,ForestGeometry,AvgDelay,0.0397360487773096,0.00029694704174449,0.0397579064714635,0.000302837685801066,2.18576941538784e-05,0.0550072159322362,-9.18405605276442e-06,5.28994443605212e-05,0.421723443706208,p = 0.4217,1,p = 1,n.s.,n.s.,0.187450980392157,0.113622815935343,Sub-ms,1,p = 1,n.s.
10019,ForestGeometry,AvgTxCost,3.33238835274543,0.0586638473003887,3.31769983361065,0.00384341328387878,-0.0146885191347778,-0.440780532757458,-0.0239844506506279,-0.00539258761892766,0.07139999119455,p = 0.0714,0.35699995597275,p = 0.357,n.s.,n.s.,-0.234509803921569,-0.254972006192556,SeeDelta,1,p = 1,n.s.
10019,ForestGeometry,EmgTimely,0.634981684981685,0.00952215614080472,0.635567765567766,0.0111159226049889,0.00058608058608052,0.0586080586080451,-0.000601250988700307,0.00177341216086135,0.573285323426084,p = 0.5733,1,p = 1,n.s.,n.s.,0.0758556891766883,0.0796512731129618,Below1pp,1,p = 1,n.s.
10017,Default,TimelyRate,0.956838602329451,0.00883275170714616,0.96675540765391,0.00749781401670292,0.00991680532445913,0.991680532445915,0.00903718605503213,0.0107964245938861,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.995294117647059,1.81921679340465,Below1pp,1.1125369292536e-306,p < 1e-15,***
10017,Default,LossRate,0.043161397670549,0.00883275170714608,0.0332445923460898,0.00749781401670298,-0.00991680532445923,-0.991680532445923,-0.0107964245938862,-0.00903718605503223,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.995294117647059,-1.81921679340466,Below1pp,1.1125369292536e-306,p < 1e-15,***
10017,Default,AvgDelay,0.0270656852414909,0.00253987789134691,0.0225513783574438,0.00182526403137007,-0.00451430688404706,-16.6790784854276,-0.00488852573859207,-0.00414008802950206,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.94658251240291,Meaningful,1.1125369292536e-306,p < 1e-15,***
10017,Default,AvgTxCost,2.36796006655574,0.0343977113498712,2.30109151414309,0.0320591139923906,-0.066868552412644,-2.82388851725471,-0.0691400238589804,-0.0645970809663076,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.75031099460382,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10017,Default,EmgTimely,0.998333333333333,0.00666383159672492,0.998333333333333,0.00666383159672492,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10017,ForestGeometry,TimelyRate,0.52396006655574,0.00510084709623836,0.530149750415973,0.00586967527905845,0.00618968386023302,0.618968386023289,0.00572928234822965,0.0066500853722364,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.16939747326341,Below1pp,1.1125369292536e-306,p < 1e-15,***
10017,ForestGeometry,LossRate,0.475307820299501,0.00506036707328176,0.469151414309484,0.00582202623727906,-0.00615640599001664,-0.615640599001677,-0.00661427613165531,-0.00569853584837797,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.16966324495097,Below1pp,1.1125369292536e-306,p < 1e-15,***
10017,ForestGeometry,AvgDelay,0.127527949729199,0.000903527480136405,0.125315951908391,0.00138699316079866,-0.0022119978208083,-1.73452002130154,-0.00237224117835208,-0.00205175446326452,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.22747101795627,Meaningful,1.1125369292536e-306,p < 1e-15,***
10017,ForestGeometry,AvgTxCost,2.6790149750416,0.0777684732622515,3.00379567387687,0.0867734359268615,0.324780698835274,12.1231386110573,0.316046512415815,0.333514885254733,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.00033030742647,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10017,ForestGeometry,EmgTimely,0.0244444444444445,0.0272858943455097,0.0244444444444445,0.0272858943455097,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
