Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.969217970049917,0.00581513183870929,0.988119800332779,0.00397760830385425,0.018901830282862,1.89018302828621,0.018255987603177,0.0195476729625469,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.72263652116713,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,LossRate,0.0307820299500832,0.00581513183870931,0.0118801996672213,0.00397760830385427,-0.0189018302828619,-1.89018302828619,-0.0195476729625468,-0.0182559876031769,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.72263652116707,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgDelay,0.0234426312403036,0.00248743145359361,0.0158036762879124,0.0014288415134567,-0.00763895495239124,-32.5857403722582,-0.00793514679659633,-0.00734276310818615,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.16167590911197,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,1.62945091514143,2.24298922669111e-16,1.8304608985025,0.0314416263908717,0.201009983361065,12.3360563667927,0.195936427970226,0.206083538751905,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.39311659206738,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.740332778702163,0.00934861720804998,0.791447587354409,0.00557058313360774,0.0511148086522461,5.11148086522459,0.0497054723358265,0.0525241449686656,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.85247408801923,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.259567387687188,0.00933404036894304,0.208452579034942,0.00559517565193413,-0.051114808652246,-5.1114808652246,-0.0525241449686656,-0.0497054723358265,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.85247408801924,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.105285410075849,0.00399641036167824,0.0829130732603365,0.0018397268839627,-0.0223723368155124,-21.2492279788768,-0.0229898796721757,-0.0217547939588491,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.84590360557816,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,1.69833610648918,2.24298922669111e-16,2.39466422628952,0.0472636632884758,0.696328119800342,41.0006074262768,0.688701452824308,0.703954786776377,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,14.7328427665514,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.0233333333333333,0.0753675799587829,0.0233333333333333,0.0753675799587829,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
