Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.0128528151471605,0.000176286970102586,4.88642551017926e-05,0.87216,0.0268262436233397,0.00743585536169176,0.12784,0.0268262436233397,0.00743585536169175,1.312,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.0120572525144299,0.00016319572554616,4.52355472441847e-05,0.999066666666667,0.00269710519209648,0.000747599417394709,0.000933333333333337,0.00269710519209644,0.000747599417394698,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.0120867033726733,0.000222515620222114,6.1678183159763e-05,0.998153846153846,0.00505016496398935,0.00139983430972185,0.00184615384615384,0.00505016496398945,0.00139983430972188,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.0121280482044843,0.000211906189891532,5.87373991083009e-05,0.988181818181818,0.00976188076517711,0.00270585529778697,0.0118181818181818,0.00976188076517721,0.002705855297787,2.03,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.012042662455622,0.000147379667052472,4.08515594968728e-05,0.99364238410596,0.00517494582069156,0.00143442179857692,0.00635761589403973,0.0051749458206915,0.00143442179857691,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.0122187126531106,0.000100749581751511,2.79263592836151e-05,0.969217970049917,0.00581513183870929,0.00161187230940489,0.0307820299500832,0.00581513183870931,0.0016118723094049,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Normal,0.0128549189991764,0.000178032468636661,4.93480826109907e-05,0.87232,0.0271875121393358,0.00753599388534784,0.12768,0.0271875121393358,0.00753599388534784,1.313008,0.0029262945853075,0.000811127476048001,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Coop_1,0.0120572525144299,0.00016319572554616,4.52355472441847e-05,0.999066666666667,0.00269710519209648,0.000747599417394709,0.000933333333333337,0.00269710519209644,0.000747599417394698,2.00009333333333,0.000659966329107937,0.00018293333333347,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,LinkDeg_Emerg,0.0120867033726733,0.000222515620222114,6.1678183159763e-05,0.998153846153846,0.00505016496398935,0.00139983430972185,0.00184615384615384,0.00505016496398945,0.00139983430972188,2.17953846153846,0.101275645790994,0.0280721767958806,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,PosDeg_Emerg,0.0122323818101476,0.000250683490722392,6.94859185187568e-05,0.998545454545454,0.00383501897668397,0.00106301302636179,0.00145454545454545,0.00383501897668399,0.0010630130263618,3.12147272727273,0.164305669954778,0.0455432081376694,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Recovery,0.0120953741172523,0.000164592345081928,4.56226704288203e-05,0.997483443708609,0.00398924666836473,0.0011057627614424,0.00251655629139073,0.0039892466683648,0.00110576276144243,1.13755629139073,0.0400023164487598,0.0110880764158426,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Full,0.0122520210773925,0.000102671535967961,2.84590978125713e-05,0.972113144758735,0.00590489662190604,0.00163675383787368,0.0278868552412645,0.00590489662190604,0.00163675383787368,1.86512978369384,0.0347775555581348,0.00963984658435362,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,V4Cost0060,Normal,0.014100158471957,0.000367249684177446,0.000101796418891632,0.9536,0.0175569045665568,0.00486652566005769,0.0464,0.0175569045665568,0.00486652566005769,1.508616,0.00583204938250693,0.0016165616133015,NaN,NaN,NaN
