Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.988119800332779,0.00397760830385425,0.988119800332779,0.00397760830385425,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,LossRate,0.0118801996672213,0.00397760830385427,0.0118801996672213,0.00397760830385427,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,AvgDelay,0.0158046875103748,0.00142865355526307,0.0158036762879124,0.0014288415134567,-1.01122246244194e-06,-0.00639824394996213,-1.81995825275738e-06,-2.02486672126497e-07,0.153666682906911,p = 0.1537,0.614666731627645,p = 0.6147,n.s.,n.s.,-1,-0.201765751044378,Sub-ms,1,p = 1,n.s.
10014,Default,AvgTxCost,1.82469051580699,0.0316302285086629,1.8304608985025,0.0314416263908717,0.00577038269550699,0.316238981104986,0.00565628494531395,0.00588448044570004,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.16084142663286,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.791447587354409,0.00557058313360774,0.791447587354409,0.00557058313360774,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,LossRate,0.208552412645591,0.00557058313360773,0.208452579034942,0.00559517565193413,-9.98336106488995e-05,-0.00998336106488584,-0.000164244522213534,-3.54226990842654e-05,0.0769740809715009,p = 0.07697,0.307896323886004,p = 0.3079,n.s.,n.s.,-1,-0.250106360353674,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,AvgDelay,0.0829125159615348,0.00184004456847379,0.0829130732603365,0.0018397268839627,5.57298801718009e-07,0.000672152804983359,-1.85326551143877e-07,1.2999241545799e-06,0.391848346244351,p = 0.3918,1,p = 1,n.s.,n.s.,0.6,0.121094868756861,Sub-ms,1,p = 1,n.s.
10014,ForestGeometry,AvgTxCost,2.39168419301165,0.0473549405392021,2.39466422628952,0.0472636632884758,0.00298003327787002,0.124599781466871,0.00233563934395613,0.00362442721178392,1.31802534220071e-07,p = 1.318e-07,6.59012671100356e-07,p = 6.590e-07,***,***,0.678571428571429,0.746237507289026,SeeDelta,4.74489123192257e-06,p = 4.745e-06,***
10014,ForestGeometry,EmgTimely,0.0233333333333333,0.0753675799587829,0.0233333333333333,0.0753675799587829,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.985424292845258,0.00431225689391902,0.986256239600665,0.00448250287511388,0.000831946755407638,0.0831946755407542,0.000642093550216295,0.00102179996059898,5.74210026638156e-07,p = 5.742e-07,1.72263007991447e-06,p = 1.723e-06,***,***,1,0.707106781186537,Below1pp,1.95231409056973e-05,p = 1.952e-05,***
10006,Default,LossRate,0.0145757071547421,0.00431225689391912,0.0137437603993344,0.00448250287511393,-0.000831946755407658,-0.0831946755407658,-0.001021799960599,-0.000642093550216313,5.74210026638156e-07,p = 5.742e-07,1.72263007991447e-06,p = 1.723e-06,***,***,-1,-0.707106781186546,Below1pp,1.95231409056973e-05,p = 1.952e-05,***
10006,Default,AvgDelay,0.018796496626848,0.00161495889245184,0.0187601157680214,0.00161859270245665,-3.63808588266481e-05,-0.193551274734266,-4.27877637676704e-05,-2.99739538856258e-05,9.26985155302873e-11,p = 9.270e-11,3.70794062121149e-10,p = 3.708e-10,***,***,-1,-0.91628814981202,Sub-ms,3.52254359015092e-09,p = 3.523e-09,***
10006,Default,AvgTxCost,2.25941763727122,0.00706892025832555,2.56237271214642,0.00667727200987717,0.302955074875198,13.4085469581927,0.302652884963281,0.303257264787116,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,161.772863584073,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.997828947368421,0.00254020333679324,0.999473684210526,0.00121818434180615,0.00164473684210535,0.16447368421052,0.00126940205157903,0.00202007163263167,5.74210026638156e-07,p = 5.742e-07,1.72263007991447e-06,p = 1.723e-06,***,***,1,0.707106781186568,Below1pp,1.95231409056973e-05,p = 1.952e-05,***
10006,ForestGeometry,TimelyRate,0.709717138103162,0.0052424367533491,0.709950083194676,0.00520164653827999,0.000232945091514103,0.0232945091514059,8.93270837053575e-05,0.000376563099322848,0.0642119614445154,p = 0.06421,0.192635884333491,p = 0.1926,n.s.,n.s.,0.644444444444444,0.26172913441241,Below1pp,1,p = 1,n.s.
