Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.0227958292178193,0.001894194593207,0.00166033476622517,0.970049916805324,0.00588275192334898,0.00515645941258737,0.0299500831946755,0.00588275192334898,0.00515645941258737,1.62945091514143,2.48253415324727e-16,2.17603712826531e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,0.0223225873618933,0.00162035306711624,0.0014203020854039,0.973044925124792,0.00430688156590508,0.00377514814134257,0.026955074875208,0.00430688156590508,0.00377514814134257,1.85579034941764,0.0211230609479384,0.0185151792676049,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Proposed,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.81722129783694,0.015293005382602,0.0134049102493811,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,TimelyLow,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.81722129783694,0.015293005382602,0.0134049102493811,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,TimelyHigh,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.81722129783694,0.015293005382602,0.0134049102493811,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,ProtectLow,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.80630615640599,0.0104549924878588,0.00916420497158397,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,ProtectHigh,0.0152690727219888,0.00177115210357887,0.00155248326882089,0.989351081530782,0.0047936307124419,0.00420180257976393,0.010648918469218,0.0047936307124419,0.00420180257976393,1.8257071547421,0.0178608137637621,0.0156556935340205,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,EmergencyFloorLow,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.81722129783694,0.015293005382602,0.0134049102493811,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,EmergencyFloorHigh,0.0153208720703078,0.00187720369600114,0.00164544158817398,0.989018302828619,0.00546811205496006,0.00479301154328289,0.010981697171381,0.00546811205496006,0.00479301154328289,1.82321131447587,0.0152930053826022,0.0134049102493814,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.104925626974073,0.00497858605566998,0.00436392308610577,0.739767054908486,0.0115637606348712,0.0101360831032024,0.260232945091514,0.0115637606348712,0.0101360831032024,1.69833610648918,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,0.0922610289855184,0.00289701679477202,0.00253934718214697,0.772712146422629,0.00785738366264065,0.00688730044602463,0.227287853577371,0.00785738366264065,0.00688730044602463,2.16181031613977,0.0324498214306014,0.0284435225780093,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Proposed,0.0842882634739614,0.00134574593958422,0.00117959832533101,0.786356073211315,0.00449559270752289,0.00394056075012402,0.213643926788686,0.00449559270752289,0.00394056075012402,2.37147753743761,0.0200548436721785,0.017578845541816,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,TimelyLow,0.0842882634739614,0.00134574593958422,0.00117959832533101,0.786356073211315,0.00449559270752289,0.00394056075012402,0.213643926788686,0.00449559270752289,0.00394056075012402,2.37147753743761,0.0200548436721785,0.017578845541816,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,TimelyHigh,0.0842882634739614,0.00134574593958422,0.00117959832533101,0.786356073211315,0.00449559270752289,0.00394056075012402,0.213643926788686,0.00449559270752289,0.00394056075012402,2.37147753743761,0.0200548436721785,0.017578845541816,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,ProtectLow,0.0843456344530064,0.00124012301389782,0.00108701574893868,0.786023294509151,0.00400718621590425,0.00351245358468673,0.213976705490849,0.00400718621590425,0.00351245358468673,2.35903161397671,0.0220119792383842,0.0192943505033657,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,ProtectHigh,0.0842287971576146,0.00133215896164611,0.00116768881406989,0.786688851913478,0.00430688156590508,0.00377514814134257,0.213311148086522,0.00430688156590508,0.00377514814134257,2.38572046589019,0.0194162485049451,0.0170190921978337,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,EmergencyFloorLow,0.0842882634739614,0.00134574593958422,0.00117959832533101,0.786356073211315,0.00449559270752289,0.00394056075012402,0.213643926788686,0.00449559270752289,0.00394056075012402,2.37147753743761,0.0200548436721785,0.017578845541816,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,EmergencyFloorHigh,0.0842882634739614,0.00134574593958422,0.00117959832533101,0.786356073211315,0.00449559270752289,0.00394056075012402,0.213643926788686,0.00449559270752289,0.00394056075012402,2.37746755407654,0.0200548436721785,0.0175788455418161,0,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.0328667007888511,0.00142805465932524,0.00125174509918393,0.947420965058236,0.00671768027893056,0.005888306383881,0.0525790349417637,0.00671768027893056,0.005888306383881,2.14675540765392,0,0,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,0.0214479620501968,0.00232399965140465,0.00203707551048883,0.982029950083195,0.00476466591124005,0.00417641381210262,0.0179700499168053,0.00476466591124005,0.00417641381210262,2.46765391014975,0.00746771275275459,0.00654573883382772,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,Proposed,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.5583693843594,0.001322769178992,0.00115945830668493,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,TimelyLow,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.5583693843594,0.001322769178992,0.00115945830668493,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,TimelyHigh,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.5583693843594,0.001322769178992,0.00115945830668493,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,ProtectLow,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.55813643926788,0.00110745832228261,0.000970730019621742,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,ProtectHigh,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.55883527454242,0.0015457203544086,0.00135488362837178,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,EmergencyFloorLow,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.5583693843594,0.001322769178992,0.00115945830668493,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,Default,EmergencyFloorHigh,0.0195091198301267,0.00114842021179174,0.001006634698838,0.98369384359401,0.00360723517282509,0.00316188103844792,0.01630615640599,0.00360723517282509,0.00316188103844792,2.86186356073211,0.00132276917899175,0.00115945830668472,0.999342105263158,0.00147109735361828,0.00128947368421052
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.0922211924710518,0.00197854902327809,0.00173427468424332,0.693843594009983,0.0064442318572503,0.00564861827426791,0.304825291181364,0.00783974641556721,0.00687184071733489,2.26455906821964,0,0,0.800657894736842,0.0037505770562472,0.00328752573902696
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.0893097611186206,0.00075517954192076,0.000661944054053173,0.705490848585691,0.00352965115400939,0.00309387564755242,0.291514143094842,0.00556845275563444,0.0048809640453091,2.65956073211314,0.0418355320040595,0.0366704606268904,0.8,0.00147109735361832,0.00128947368421056
