Diagnostic,Q25,Median,Q75,PositiveRate
QPos,0.55041959962338,0.729445775289663,0.876966297795434,NaN
BlindZoneGate,0,0,0.25742530799685,NaN
PositionSigma_m,1.64612523324189,1.98978719668312,2.60956342265721,NaN
DOP,1.656,2.29,3.268,NaN
NSat,5.48,7.64,9.472,NaN
PDR,0.890871687228195,0.999,0.999,NaN
DelayDeadlineRatio,1.2671815230103,1.42092958692549,3.27114543114543,NaN
RequiredTimelyDefault,0.410645986127292,0.508225251039983,0.585536066986315,NaN
RequiredProtectionDefault,0,0,0,NaN
ReliablePosition,NaN,NaN,NaN,0.173710482529118
DegradedPosition,NaN,NaN,NaN,0.304459234608985
HighBlockage,NaN,NaN,NaN,0.911480865224626
