Dataset,Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,V6Timely,V6MinusHeuristicTimely_pp,HeuristicEmgTimely,V6EmgTimely,V6MinusHeuristicEmg_pp,HeuristicTxCost,V6TxCost,CostDeltaPct,HeuristicDelay,V6Delay,DelayDeltaPct,V6MinusLinkTimely_pp,V6MinusLinkEmg_pp,V6MinusV4Emg_pp,V6CostDeltaVsV4Pct,OracleMinusV6Timely_pp,HeldoutDecision,Samples,MinDistance_m,MeanDistance_m,MaxDistance_m,NlosPct,EmergencyPct,CoopPct,RelayPct,RiskClass,GainClass,ApplicabilityClass,WeakGainReason
Main,10006,Reference,Mixed,Medium,Mixed,Default,0.981364392678869,0.986256239600665,0.489184692179689,0.999473684210526,0.999473684210526,0,2.47457237936772,2.56237271214642,3.54810121986142,0.0221298580038299,0.0187601157680214,-15.2271299491634,4.08985024958401,0.16447368421052,0.16447368421052,13.4085469581927,0.422628951747106,MainCandidate,100,23.8529481537337,51.5100174835094,104.530391756842,30,51,36,100,ModerateDefault,WeakNonnegative,BaselineImprovement,"Benefit is clear over link-only baseline, but the heuristic is already strong."
Main,10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.706455906821963,0.709950083194676,0.34941763727121,0.799934210526316,0.799868421052631,-0.00657894736842968,2.69581896838602,2.95728319467553,9.69887924062098,0.0892020489164891,0.0872242505875389,-2.21721177144903,1.88685524126456,0.00657894736841858,0.0460526315789411,10.0659270755803,0.402662229617312,MainCandidate,100,23.8529481537337,51.5100174835094,104.530391756842,30,51,36,100,HighRiskForest,WeakNonnegative,BaselineImprovement,"Benefit is clear over link-only baseline, but the heuristic is already strong."
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,0.989084858569052,0.990615640599002,0.153078202994994,1,1,0,2.47248552412645,2.55996672212978,3.53818848076908,0.0181122490738134,0.0168527202983957,-6.95401642438042,4.11314475873541,0,0,11.0214720119147,0.56572379367722,GeneralizesWeak,100,23.4171308715954,54.4404569929181,111.659666117328,13,43,49,100,ModerateDefault,WeakNonnegative,BaselineImprovement,"Benefit is clear over link-only baseline, but the heuristic is already strong."
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,0.861663893510815,0.862129783693843,0.0465890183028228,1,1,0,2.68722329450915,2.88284925124791,7.27985490221412,0.0620595337503112,0.0610351457367083,-1.65065373794837,4.96505823627285,0,0,9.19660542403032,0.752079866888544,GeneralizesWeak,100,23.4171308715954,54.4404569929181,111.659666117328,13,43,49,100,HighRiskForest,WeakNonnegative,BaselineImprovement,"Benefit is clear over link-only baseline, but the heuristic is already strong."
Main,10011,Boundary,Open,Low,Sparse,Default,0.997337770382696,0.997337770382696,0,1,1,0,1.95315640599002,1.87551580698835,-3.97513474924751,0.0126046450886321,0.0126046450886321,0,0.0133111480865367,0,0,1.07605464564173,0,MainCandidate,100,43.0016293803464,98.8255601816211,160.340403525036,6,4,66,26,SaturatedDefault,WeakNonnegative,WeakButSafe,"Heuristic is already saturated; little TimelyRate headroom remains."
Main,10011,Boundary,Open,Low,Sparse,ForestGeometry,0.676838602329451,0.714076539101497,3.72379367720466,0.249,0.249,0,3.40846755407654,3.71841730449251,9.09352210336508,0.138396839353087,0.123148183108022,-11.0180668260506,12.6522462562396,0,1.1,0.107509117669119,-1.62063227953411,MainCandidate,100,43.0016293803464,98.8255601816211,160.340403525036,6,4,66,26,HighRiskForest,StrongGain,PrimaryApplicable,"Clear reliability gap and risk-aware decision benefit."
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,0.998103161397671,0.998103161397671,0,1,1,0,2.96757071547421,3.04284525790349,2.53657114341941,0.0123876133718749,0.0123876133718749,0,0.00332778702162306,0.00366972477064964,0.00366972477064964,21.4427162261411,-0.00332778702162306,GeneralizesWeak,100,6.34243693234051,21.4868621341663,42.239581688108,53,90,10,93,SaturatedDefault,WeakNonnegative,WeakButSafe,"Heuristic is already saturated; little TimelyRate headroom remains."
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,0.599933444259567,0.601597337770383,0.166389351081531,0.659926605504587,0.661467889908257,0.154128440366974,3.2578003327787,3.3805697171381,3.76847479337941,0.0552942109021954,0.0553917482756879,0.176397080094122,0.565723793677209,0.579816513761489,0.319266055045886,14.2789453222023,0.156405990016639,GeneralizesWeak,100,6.34243693234051,21.4868621341663,42.239581688108,53,90,10,93,HighRiskForest,WeakNonnegative,WeakButSafe,"Weak nonnegative transfer; report as applicability boundary rather than strong gain."
Main,10014,Primary,CurvedBlind,Medium,Dense,Default,0.972113144758735,0.988119800332779,1.60066555740436,1,1,0,1.86512978369384,1.8304608985025,-1.85879210628904,0.0229892707472776,0.0158036762879124,-31.2562957666508,1.89018302828621,0,0,0.316238981104986,0.555740432612273,MainCandidate,100,42.7260677118852,64.9101012047969,85.8812518980528,20,1,61,68,ModerateDefault,StrongGain,Applicable,"Clear reliability gap and risk-aware decision benefit."
Main,10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.774708818635607,0.791447587354409,1.67387687188018,0.02,0.0233333333333333,0.333333333333332,2.19077903494177,2.39466422628952,9.30651554063169,0.0921218287543669,0.0829130732603365,-9.99627951219308,5.11148086522459,0,0,0.124599781466871,0.795341098169733,MainCandidate,100,42.7260677118852,64.9101012047969,85.8812518980528,20,1,61,68,HighRiskForest,StrongGain,PrimaryApplicable,"Clear reliability gap and risk-aware decision benefit."
HeldOut,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,0.990648918469218,0.991680532445923,0.103161397670548,1,1,0,1.24304991680532,1.21748419301165,-2.05669325487604,0.0172130093551669,0.0163131737628122,-5.22764830825248,1.57404326123125,0,0,1.07748498427974,0.542429284525814,GeneralizesWeak,100,71.3219507421064,81.6625870583172,96.7379852062794,7,2,5,0,SaturatedDefault,WeakNonnegative,BaselineImprovement,"Heuristic is already saturated; little TimelyRate headroom remains."
HeldOut,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,0.876006655574043,0.908552412645591,3.25457570715475,0.995384615384615,0.998461538461538,0.307692307692298,1.74478136439267,1.9609394342762,12.3888341711381,0.0827581853686285,0.0646213682034506,-21.9154360192787,22.6322795341098,0.923076923076904,0.923076923076904,0.666254044717199,0.668885191347757,GeneralizesStrong,100,71.3219507421064,81.6625870583172,96.7379852062794,7,2,5,0,HighRiskForest,StrongGain,PrimaryApplicable,"Clear reliability gap and risk-aware decision benefit."
Main,10017,LongRange,LongMixed,Medium,Mixed,Default,0.956838602329451,0.96675540765391,0.991680532445915,0.998333333333333,0.998333333333333,0,2.36796006655574,2.30109151414309,-2.82388851725471,0.0270656852414909,0.0225513783574438,-16.6790784854276,5.88685524126458,1.11111111111112,1.11111111111112,1.58665330743761,1.21797004991679,MainCandidate,100,45.0924718956594,62.1095434996189,108.430672001052,48,6,83,100,ModerateDefault,WeakNonnegative,BaselineImprovement,"Benefit is clear over link-only baseline, but the heuristic is already strong."
Main,10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.52396006655574,0.530149750415973,0.618968386023289,0.0244444444444445,0.0244444444444445,0,2.6790149750416,3.00379567387687,12.1231386110573,0.127527949729199,0.125315951908391,-1.73452002130154,0.90848585690515,0,0.166666666666667,1.17708062215389,0.658901830282854,MainCandidate,100,45.0924718956594,62.1095434996189,108.430672001052,48,6,83,100,HighRiskForest,WeakNonnegative,WeakButSafe,"Positive transfer requires extra cost under forest degradation."
Main,10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,0.999866888519135,0.999866888519135,0,1,1,0,2.98048585690515,3.04475873544092,2.15645641756227,0.0120856430890555,0.0120856430890555,0,0,0,0,21.4031521430479,0,MainCandidate,100,9.63765858851321,22.8173496483374,36.5451449817455,44,91,9,70,SaturatedDefault,WeakNonnegative,WeakButSafe,"Heuristic is already saturated; little TimelyRate headroom remains."
