Dataset,Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Decision,LinkTimely,HeuristicTimely,V6Timely,OracleTimely,LinkEmgTimely,HeuristicEmgTimely,V6EmgTimely,OracleEmgTimely,LinkDelay,HeuristicDelay,V6Delay,OracleDelay,LinkCost,HeuristicCost,V6Cost,OracleCost,TimelyGainVsHeuristic_pp,EmgGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsHeuristic_pct,DelayDeltaVsHeuristic_pct,OracleMinusV6Timely_pp,Samples,MinDistance_m,MeanDistance_m,MaxDistance_m,NlosPct,EmergencyPct,CoopPct,RelayPct,RiskClass,GainClass,ApplicabilityClass,ApplicabilityNote
Main,10006,Reference,Mixed,Medium,Mixed,Default,PerLookupWeak,0.930981697171381,0.988219633943428,0.989983361064892,0.995241264559068,0.990723684210526,0.995065789473684,0.995065789473684,0.996184210526316,0.0410215527849062,0.0222814767976038,0.0239986346904632,0.0223906553328443,2.2032445923461,2.72548286189684,2.84895673876871,2.73219633943428,0.176372712146422,0,5.90016638935109,4.53034868052494,7.7066610461122,0.525790349417632,100,23.8529481537337,51.5100174835094,104.530391756842,30,51,36,100,ModerateRisk,BaselineGain,BaselineImprovement,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10006,Reference,Mixed,Medium,Mixed,ForestGeometry,PerLookupWeak,0.706888519134775,0.707853577371048,0.713078202995008,0.713843594009983,0.799868421052631,0.799934210526316,0.799868421052631,0.79953947368421,0.0883573770181505,0.08823243790091,0.086104227800985,0.0863855673205338,2.26455906821964,2.61475574043261,2.89883727121463,2.74480565723794,0.522462562396009,-0.00657894736842968,0.618968386023289,10.8645532884469,-2.4120495257255,0.0765391014975081,100,23.8529481537337,51.5100174835094,104.530391756842,30,51,36,100,HighRiskForest,WeakNonnegative,WeakButSafe,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,PerLookupHeldoutWeak,0.956173044925125,0.995108153078203,0.995740432612313,0.997038269550749,1,1,1,1,0.0309477481672359,0.0197321401951716,0.0211206018161471,0.021113762352196,2.25732113144759,2.74945424292845,2.82916472545756,2.68355740432613,0.0632279534110047,0,3.95673876871879,2.89913835569838,7.03654853068205,0.129783693843588,100,23.4171308715954,54.4404569929181,111.659666117328,13,43,49,100,ModerateRisk,BaselineGain,BaselineImprovement,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,PerLookupHeldoutWeak,0.851580698835275,0.864193011647254,0.865391014975042,0.869883527454243,1,1,1,1,0.0620569318230706,0.0595239388487983,0.0584032596812939,0.0581193257399129,2.19376039933445,2.4700316139767,2.69273277870216,2.66508153078203,0.11980033277873,0,1.3810316139767,9.01612608783216,-1.88273691086066,0.449251247920124,100,23.4171308715954,54.4404569929181,111.659666117328,13,43,49,100,HighRiskForest,BaselineGain,BaselineImprovement,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10011,Boundary,Open,Low,Sparse,Default,PerLookupWeak,0.992778702163061,0.9938768718802,0.995108153078203,0.998668885191348,1,1,1,1,0.0134185497165734,0.0132505948350601,0.013062506390905,0.0129723915005111,1.71880199667221,1.95932945091514,1.88823460898503,1.94338269550749,0.123128119800342,0,0.232945091514158,-3.62852923467816,-1.41947170294143,0.356073211314478,100,43.0016293803464,98.8255601816211,160.340403525036,6,4,66,26,ModerateRisk,WeakNonnegative,WeakButSafe,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
Main,10011,Boundary,Open,Low,Sparse,ForestGeometry,PerLookupStrong,0.672978369384359,0.760865224625624,0.801863560732113,0.790249584026622,0.451,0.484,0.485,0.477,0.134645181286447,0.109125079438873,0.0918747681598966,0.0998260727198917,2.35610316139767,3.00437337770382,3.22404059900166,3.50847920133111,4.09983361064892,0.0999999999999945,12.8885191347754,7.31158194011568,-15.8078338798729,-1.16139767054909,100,43.0016293803464,98.8255601816211,160.340403525036,6,4,66,26,HighRiskForest,StrongGain,PrimaryApplicable,PER lookup confirms clear benefit in forest/risk-degraded operating region.
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,PerLookupHeldoutWeak,0.992212978369384,0.992445923460898,0.992445923460898,0.996372712146423,0.999743119266055,1,1,0.999743119266055,0.0134339045900582,0.0134169495414515,0.0134169495414515,0.0127943874290937,2.49875207986689,2.96757071547421,3.04284525790349,2.53843261231282,0,0,0.0232945091514059,2.53657114341941,0,0.392678868552421,100,6.34243693234051,21.4868621341663,42.239581688108,53,90,10,93,ModerateRisk,WeakNonnegative,WeakButSafe,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,PerLookupHeldoutBoundary,0.558702163061564,0.557404326123128,0.552811980033278,0.548818635607321,0.614605504587156,0.61302752293578,0.607669724770642,0.600110091743119,0.0565947849287374,0.0566720526145787,0.057497941826116,0.0576326638626575,2.97149750415973,3.27678569051581,3.48163627287853,3.47066855241265,-0.459234608985026,-0.535779816513771,-0.589018302828614,6.2515709512415,1.45731303779322,-0.399334442595678,100,6.34243693234051,21.4868621341663,42.239581688108,53,90,10,93,HighRiskForest,GracefulBoundary,BoundaryLimited,Small negative or boundary result; avoid all-scenario dominance claims.
Main,10014,Primary,CurvedBlind,Medium,Dense,Default,PerLookupWeak,0.934575707154742,0.988386023294509,0.991813643926789,0.996073211314476,0.983333333333333,1,1,0.983333333333333,0.0363236063175035,0.0204429543282148,0.017353066814409,0.0184693000185386,1.62945091514143,2.09261464226289,2.00055241264559,2.10267886855241,0.342762063227942,0,5.72379367720465,-4.39938762531785,-15.1146818810879,0.425956738768718,100,42.7260677118852,64.9101012047969,85.8812518980528,20,1,61,68,ModerateRisk,BaselineGain,BaselineImprovement,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,PerLookupStrong,0.787587354409318,0.789084858569051,0.799400998336106,0.802262895174709,0.0233333333333333,0.02,0.0233333333333333,0.02,0.0849000108208715,0.0846764159776404,0.0801658886685875,0.0796376486264551,1.69833610648918,2.08804725457571,2.28425324459235,2.41531680532446,1.0316139767055,0.333333333333332,1.18136439267886,9.39662594257281,-5.32678108417344,0.286189683860238,100,42.7260677118852,64.9101012047969,85.8812518980528,20,1,61,68,HighRiskForest,StrongGain,PrimaryApplicable,PER lookup confirms clear benefit in forest/risk-degraded operating region.
