Baseline,Metric,BaselineValue,V6Value,Delta,DeltaPctOrPp,Unit
Confidence-heuristic,TimelyRate,0.624525790349418,0.617803660565724,-0.00672212978369402,-0.672212978369402,pp
Confidence-heuristic,EmergencyTimelyRate,0.586849816849817,0.57945054945055,-0.007399267399267,-0.7399267399267,pp
Confidence-heuristic,LossRate,0.320399334442596,0.31414309484193,-0.00625623960066601,-0.625623960066601,pp
Confidence-heuristic,AvgDelay,0.0403948639859786,0.0408994908368847,0.000504626850906097,1.24923517772273,pct
Confidence-heuristic,AvgTxCost,3.34062262895175,3.32302396006655,-0.0175986688852001,-0.526808048675716,pct
Link-delay-aware,TimelyRate,0.62495840266223,0.617803660565724,-0.00715474209650602,-0.715474209650602,pp
Link-delay-aware,EmergencyTimelyRate,0.587326007326007,0.57945054945055,-0.00787545787545707,-0.787545787545707,pp
Link-delay-aware,LossRate,0.341430948419301,0.31414309484193,-0.027287853577371,-2.7287853577371,pp
Link-delay-aware,AvgDelay,0.0398656421334791,0.0408994908368847,0.00103384870340559,2.59333262447909,pct
Link-delay-aware,AvgTxCost,2.84199667221298,3.32302396006655,0.48102728785357,16.9256808974026,pct
Constrained Oracle,TimelyRate,0.612445923460898,0.617803660565724,0.00535773710482601,0.535773710482601,pp
Constrained Oracle,EmergencyTimelyRate,0.573553113553114,0.57945054945055,0.00589743589743597,0.589743589743597,pp
Constrained Oracle,LossRate,0.312113144758735,0.31414309484193,0.00202995008319501,0.202995008319501,pp
Constrained Oracle,AvgDelay,0.0412395423231259,0.0408994908368847,-0.000340051486241201,-0.824576285490226,pct
Constrained Oracle,AvgTxCost,2.99996539101498,3.32302396006655,0.32305856905157,10.768743200143,pct
