Comparison,Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
HeuristicVsV6,10019,ForestGeometry,TimelyRate,0.624525790349418,0.00655816868481192,0.617803660565724,0.00781339667881792,-0.0067221297836938,-0.672212978369391,-0.0077148945674801,-0.0057293649999075,1.11022302462516e-14,p = 1.110e-14,4.44089209850063e-14,p = 4.441e-14,***,***,-0.88,-1.09261694954074,Below1pp,2.88657986402541e-13,p = 2.887e-13,***
HeuristicVsV6,10019,ForestGeometry,LossRate,0.320399334442596,0.010851997521073,0.31414309484193,0.00799743467614016,-0.00625623960066556,-0.625623960066546,-0.00747589246972977,-0.00503658673160136,4.84696460745226e-09,p = 4.847e-09,9.69392921490453e-09,p = 9.694e-09,***,***,-0.748235294117647,-0.827722068744854,Below1pp,1.16327150578854e-07,p = 1.163e-07,***
HeuristicVsV6,10019,ForestGeometry,AvgDelay,0.0403948639859786,0.000252447719938328,0.0408994908368847,0.00027826617795059,0.000504626850906128,1.2492351777228,0.000467978471460459,0.000541275230351797,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.996862745098039,2.22189219485487,Sub-ms,1.1125369292536e-306,p < 1e-15,***
HeuristicVsV6,10019,ForestGeometry,AvgTxCost,3.34062262895175,0.0593386008115633,3.32302396006655,0.00356936451763775,-0.017598668885195,-0.52680804867557,-0.0271380937389352,-0.00805924403145484,0.0352920557858614,p = 0.03529,0.0352920557858614,p = 0.03529,*,*,-0.301960784313725,-0.297690538943431,SeeDelta,0.458796725216198,p = 0.4588,n.s.
HeuristicVsV6,10019,ForestGeometry,EmgTimely,0.586849816849817,0.00718533172333481,0.57945054945055,0.0085896284277451,-0.00739926739926729,-0.739926739926722,-0.00849203596164013,-0.00630649883689444,1.11022302462516e-14,p = 1.110e-14,4.44089209850063e-14,p = 4.441e-14,***,***,-0.88,-1.09261694954071,Below1pp,2.88657986402541e-13,p = 2.887e-13,***
LinkVsV6,10019,ForestGeometry,TimelyRate,0.62495840266223,0.00826153895744359,0.617803660565724,0.00781339667881792,-0.00715474209650585,-0.715474209650591,-0.00798672558081091,-0.00632275861220079,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.957482993197279,-1.38767154112829,Below1pp,1.1125369292536e-306,p < 1e-15,***
LinkVsV6,10019,ForestGeometry,LossRate,0.341430948419301,0.00874655074541196,0.31414309484193,0.00799743467614016,-0.027287853577371,-2.7287853577371,-0.0282413720889951,-0.0263343350657469,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.61793324371032,Meaningful,1.1125369292536e-306,p < 1e-15,***
LinkVsV6,10019,ForestGeometry,AvgDelay,0.0398656421334791,0.000232573612142495,0.0408994908368847,0.00027826617795059,0.00103384870340569,2.59333262447932,0.00100464751205938,0.00106304989475199,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.71299469337833,Meaningful,1.1125369292536e-306,p < 1e-15,***
LinkVsV6,10019,ForestGeometry,AvgTxCost,2.84199667221298,8.97195690676443e-16,3.32302396006655,0.00356936451763775,0.481027287853573,16.9256808974027,0.480451319919688,0.481603255787458,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,134.765526321734,SeeDelta,1.1125369292536e-306,p < 1e-15,***
LinkVsV6,10019,ForestGeometry,EmgTimely,0.587326007326007,0.00908952864159227,0.57945054945055,0.0085896284277451,-0.00787545787545786,-0.787545787545785,-0.00879124921990351,-0.0069596665310122,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.957482993197279,-1.38767154112832,Below1pp,1.1125369292536e-306,p < 1e-15,***
V6VsOracle,10019,ForestGeometry,TimelyRate,0.617803660565724,0.00781339667881792,0.612445923460898,0.00760518174692509,-0.00535773710482531,-0.535773710482534,-0.00628511527305858,-0.00443035893659203,4.36208846821273e-11,p = 4.362e-11,1.30862654046382e-10,p = 1.309e-10,***,***,-0.827755102040816,-0.932249019462023,Below1pp,1.04690123237106e-09,p = 1.047e-09,***
V6VsOracle,10019,ForestGeometry,LossRate,0.31414309484193,0.00799743467614016,0.312113144758735,0.00913265699063678,-0.0020299500831948,-0.202995008319484,-0.00313536577675985,-0.00092453438962975,0.0361416669869246,p = 0.03614,0.0361416669869246,p = 0.03614,*,*,-0.328231292517007,-0.296324210547765,Below1pp,0.505983337816944,p = 0.506,n.s.
V6VsOracle,10019,ForestGeometry,AvgDelay,0.0408994908368847,0.00027826617795059,0.0412395423231259,0.000258827179281036,0.000340051486241176,0.831432077228963,0.000305950739929858,0.000374152232552494,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.971764705882353,1.60911912573854,Sub-ms,1.1125369292536e-306,p < 1e-15,***
V6VsOracle,10019,ForestGeometry,AvgTxCost,3.32302396006655,0.00356936451763775,2.99996539101498,0.0441545488026755,-0.323058569051571,-9.72182484790452,-0.330112177239237,-0.316004960863906,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.39055981911366,SeeDelta,1.1125369292536e-306,p < 1e-15,***
V6VsOracle,10019,ForestGeometry,EmgTimely,0.57945054945055,0.0085896284277451,0.573553113553114,0.00844876380561965,-0.00589743589743591,-0.589743589743597,-0.00691823128041799,-0.00487664051445383,4.36208846821273e-11,p = 4.362e-11,1.30862654046382e-10,p = 1.309e-10,***,***,-0.827755102040816,-0.932249019461989,Below1pp,1.04690123237106e-09,p = 1.047e-09,***
