Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.019715441296435,0.000362097596084179,0.000100368332931848,0.73536,0.0301003491741901,0.00834339111872385,0.26464,0.03010034917419,0.00834339111872385,1.312,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.0120572525144299,0.00016319572554616,4.52355472441847e-05,0.999066666666667,0.00269710519209648,0.000747599417394709,0.000933333333333337,0.00269710519209644,0.000747599417394698,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.0120867033726733,0.000222515620222114,6.1678183159763e-05,0.998153846153846,0.00505016496398935,0.00139983430972185,0.00184615384615384,0.00505016496398945,0.00139983430972188,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.0127597804270848,0.000247326805235769,6.85554927713553e-05,0.968363636363637,0.01675676999095,0.00464473967102253,0.0316363636363636,0.0167567699909499,0.00464473967102251,2.03,4.48597845338221e-16,1.24344978758018e-16,0.983333333333333,0.0505076272276106,0.014
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.0123403212753001,0.000160794383624152,4.45699292226409e-05,0.983443708609271,0.00967126220447548,0.00268073711426777,0.0165562913907285,0.00967126220447535,0.00268073711426773,1.07284768211921,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.0135228624102673,0.000142629960683741,3.95350080607389e-05,0.934575707154742,0.00796515371186159,0.00220782796751741,0.0654242928452579,0.00796515371186151,0.00220782796751739,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,0.983333333333333,0.0505076272276106,0.014
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Normal,0.0281746472162568,0.000596453148938219,0.000165328377979519,0.95136,0.0195852505936566,0.00542875449435687,0.04864,0.0195852505936566,0.00542875449435687,2.1867152,0.00306717861446983,0.000850178536581575,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Coop_1,0.0120572525144299,0.00016319572554616,4.52355472441847e-05,0.999066666666667,0.00269710519209648,0.000747599417394709,0.000933333333333337,0.00269710519209644,0.000747599417394698,2.00009333333333,0.000659966329107937,0.00018293333333347,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,LinkDeg_Emerg,0.0120867033726733,0.000222515620222114,6.1678183159763e-05,0.998153846153846,0.00505016496398935,0.00139983430972185,0.00184615384615384,0.00505016496398945,0.00139983430972188,2.17953846153846,0.101275645790994,0.0280721767958806,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,PosDeg_Emerg,0.0140311460160253,0.000460481602886679,0.000127638988293026,0.998181818181818,0.00449883326641263,0.00124701295996233,0.00181818181818181,0.00449883326641266,0.00124701295996234,3.27499818181818,0.163980447857279,0.0454530611714605,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Recovery,0.0128454426398745,0.000286882477466126,7.95197657261988e-05,0.997086092715232,0.00485364440430673,0.00134536158972734,0.00291390728476821,0.00485364440430677,0.00134536158972736,1.20786887417218,0.0700145344373374,0.019407038816246,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Full,0.0158525489787861,0.000207772268782315,5.75915346378078e-05,0.988386023294509,0.00438926640701623,0.00121664257600751,0.0116139767054908,0.00438926640701635,0.00121664257600755,2.09261464226289,0.038588906195628,0.0106962990818041,1,0,0
