Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateCI95,EmergencyTimelyRateMean,EmergencyTimelyRateCI95,LossRateMean,LossRateCI95,AvgDelayMean,AvgDelayCI95,AvgTxCostMean,AvgTxCostCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.934575707154742,0.00220782796751741,0.983333333333333,0.014,0.0654242928452579,0.00220782796751739,0.0363236063175035,0.000724530802192978,1.62945091514143,6.21724893790088e-17
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,0.988386023294509,0.00121664257600751,1,0,0.0116139767054908,0.00121664257600755,0.0204429543282148,0.000485930212794901,2.09261464226289,0.0106962990818041
10014,Primary,CurvedBlind,Medium,Dense,Default,Risk-constrained-v6,0.991813643926789,0.000954063016606326,1,0,0.0081863560732113,0.000954063016606362,0.017353066814409,0.000334446863395569,2.00055241264559,0.00860046371152292
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,0.996073211314476,0.00061638521323018,0.983333333333333,0.014,0.00392678868552412,0.000616385213230155,0.0184693000185386,0.000217155379805933,2.10267886855241,0.00688388021315138
10014,Primary,CurvedBlind,Medium,Dense,Default,DCC-like,0.979866888519135,0.00151181184927944,1,0,0.0201331114808652,0.00151181184927941,0.0385789208932245,0.000600529249797335,4.07303926788687,0.000706198767541302
10014,Primary,CurvedBlind,Medium,Dense,Default,AoI-aware,0.977038269550749,0.00157302630433198,0.863333333333333,0.0381298366695222,0.0229617304492512,0.00157302630433196,0.022734764938141,0.000408763683394054,2.19933444259567,1.24344978758018e-16
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.787587354409318,0.00128643069982359,0.0233333333333333,0.0208908273332261,0.212312811980033,0.00131113119409371,0.0849000108208715,0.000545976266063617,1.69833610648918,6.21724893790088e-17
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,0.789084858569051,0.00138067088286389,0.02,0.0178068650931163,0.210682196339434,0.00140970085964582,0.0846764159776404,0.000552468110123731,2.08804725457571,0.0156104266483747
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Risk-constrained-v6,0.799400998336106,0.00139505912445118,0.0233333333333333,0.0208908273332261,0.200499168053245,0.00142001004431148,0.0801658886685875,0.000537594329743354,2.28425324459235,0.0131678978437485
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,0.802262895174709,0.00154619399229383,0.02,0.0178068650931163,0.197670549084859,0.00155079159853118,0.0796376486264551,0.000513774510991255,2.41531680532446,0.0118453816623371
