Scene,SceneRole,GeometryType,Config,Stage,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,CurvedBlind,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.999272727272727,0.00249134105107153,0.994545454545455,0.00687208132744042,-0.00472727272727268,-0.472727272727258,-0.00580566227184253,-0.00364888318270284,5.6883853094547e-07,p = 5.688e-07,1.70651559283641e-06,p = 1.707e-06,***,***,-0.932806324110672,-0.70736308764619,Below1pp,0.00012685099240084,p = 1.269e-04,***
10014,Primary,CurvedBlind,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.000727272727272723,0.00249134105107153,0.00545454545454544,0.00687208132744049,0.00472727272727272,0.472727272727272,0.00364888318270286,0.00580566227184257,5.6883853094547e-07,p = 5.688e-07,1.70651559283641e-06,p = 1.707e-06,***,***,0.932806324110672,0.707363087646188,Below1pp,0.00012685099240084,p = 1.269e-04,***
10014,Primary,CurvedBlind,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0325440541990094,0.000650894523262619,0.0132165268086994,0.000391207069676156,-0.01932752739031,-59.3888126910086,-0.0193989662851255,-0.0192560884954945,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-43.6565059008577,Meaningful,8.90029543402881e-306,p < 1e-15,***
10014,Primary,CurvedBlind,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,5.01208181818182,0.00347125147127771,2.87365454545455,0.157359032374996,-2.13842727272727,-42.6654502121237,-2.16389018070906,-2.11296436474548,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.5517033838966,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10014,Primary,CurvedBlind,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Primary,CurvedBlind,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.828181818181818,0.00275496148514234,0.834363636363636,0.00847446135120799,0.00618181818181812,0.618181818181818,0.00490915894370295,0.00745447741993328,2.99145028748171e-08,p = 2.991e-08,8.97435086244514e-08,p = 8.974e-08,***,***,1,0.783811257107149,Below1pp,6.91025016408275e-06,p = 6.910e-06,***
10014,Primary,CurvedBlind,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.171636363636364,0.00298418838781194,0.165090909090909,0.00887688700812209,-0.0065454545454545,-0.654545454545449,-0.00793680800138756,-0.00515410108952144,7.98876713670182e-08,p = 7.989e-08,1.59775342734036e-07,p = 1.598e-07,***,***,-0.956666666666667,-0.759118793742258,Below1pp,1.82143890716802e-05,p = 1.821e-05,***
10014,Primary,CurvedBlind,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.029945804698593,0.000678368833119543,0.0126971072048102,0.000736000677413213,-0.0172486974937829,-57.5997127724315,-0.0173935355444212,-0.0171038594431445,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-19.2167985706186,Meaningful,8.90029543402881e-306,p < 1e-15,***
10014,Primary,CurvedBlind,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.51527272727273,0,3.36152727272727,0.234489633949461,-1.15374545454546,-25.5520657163566,-1.19158370539261,-1.1159072036983,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.92024075910374,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10014,Primary,CurvedBlind,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,0.01,0.0399829895803493,0.0233333333333333,0.0753675799587829,0.0133333333333333,1.33333333333333,0.00596308667940024,0.0207035799872664,0.0389998213215357,p = 0.039,0.0389998213215357,p = 0.039,*,*,1,0.291920179679905,Meaningful,1,p = 1,n.s.
