Parameter,DefaultValue,ForestGeometryValue,SourceNote
deadline_normal,"0.5","0.5","Physical safety-message deadline setting used consistently across final PER lookup evidence"
deadline_coop,"0.18","0.2","Physical safety-message deadline setting used consistently across final PER lookup evidence"
deadline_emergency,"0.07","0.077","Physical safety-message deadline setting used consistently across final PER lookup evidence"
final_physical_pdr_mode,"per_lookup_forced_step49_step50_step54","per_lookup_forced_step49_step50_step54","Final Step49, Step50, and Step54 scripts explicitly force params.physical_pdr_mode to per_lookup"
pathloss_los_exponent,"20","28.5","Forest calibration: road curvature 0.1947, veg density 1.000"
pathloss_nlos_exponent,"24","37.5","Forest calibration: road curvature 0.1947, veg density 1.000"
nlosv_extra_loss_dB,"5","7","Forest calibration: road curvature 0.1947, veg density 1.000"
position_gnss_independent_noise_std,"0.08","0.13394","Canopy proxy: point-cloud density 0.775, veg attenuation 1.000"
position_gnss_multipath_noise_std,"0.12","0.2099","Canopy proxy: point-cloud density 0.775, veg attenuation 1.000"
utility_blind_protection_threshold,"0.58","0.49","Default project parameter"
utility_blind_pos_threshold,"0.48","0.53596","Default project parameter"
objective_timely_lambda,"3.20","3.20","Objective default: risk_constrained_timely_lambda = 3.20 in compute_action_risk_constrained_objective_v4"
objective_success_lambda,"2.20","2.20","Objective default: risk_constrained_success_lambda = 2.20 in compute_action_risk_constrained_objective_v4"
risk_v4_actual_cost_weight,"0.060","0.060","V6 default actual-cost weight: 0.060 if not provided"
risk_v6_emergency_floor,"priority>=3, rate>=2.1x","priority>=3, rate>=2.1x","V6 emergency floor: priority >= 3 and rate multiplier >= 2.1 when urgency is emergency-level"
dcc_cbr_low_threshold,"0.25","0.25","DCC-style congestion threshold used as literature-inspired baseline parameter"
dcc_cbr_high_threshold,"0.65","0.65","DCC-style congestion threshold used as literature-inspired baseline parameter"
aoi_age_norm_cap,"8","8","AoI-aware freshness baseline parameter"
aoi_critical_threshold,"0.8","0.8","AoI-aware freshness baseline parameter"
