Dataset,Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Decision,RiskClass,GainClass,ApplicabilityClass,TimelyGainVsHeuristic_pp,EmgGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsHeuristic_pct,OracleMinusV6Timely_pp,NlosPct,EmergencyPct,ApplicabilityNote
Main,10006,Reference,Mixed,Medium,Mixed,Default,PerLookupWeak,ModerateRisk,BaselineGain,BaselineImprovement,0.176372712146422,0,5.90016638935109,4.53034868052494,0.525790349417632,30,51,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10006,Reference,Mixed,Medium,Mixed,ForestGeometry,PerLookupWeak,HighRiskForest,WeakNonnegative,WeakButSafe,0.522462562396009,-0.00657894736842968,0.618968386023289,10.8645532884469,0.0765391014975081,30,51,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,PerLookupHeldoutWeak,ModerateRisk,BaselineGain,BaselineImprovement,0.0632279534110047,0,3.95673876871879,2.89913835569838,0.129783693843588,13,43,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
HeldOut,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,PerLookupHeldoutWeak,HighRiskForest,BaselineGain,BaselineImprovement,0.11980033277873,0,1.3810316139767,9.01612608783216,0.449251247920124,13,43,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10011,Boundary,Open,Low,Sparse,Default,PerLookupWeak,ModerateRisk,WeakNonnegative,WeakButSafe,0.123128119800342,0,0.232945091514158,-3.62852923467816,0.356073211314478,6,4,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
Main,10011,Boundary,Open,Low,Sparse,ForestGeometry,PerLookupStrong,HighRiskForest,StrongGain,PrimaryApplicable,4.09983361064892,0.0999999999999945,12.8885191347754,7.31158194011568,-1.16139767054909,6,4,PER lookup confirms clear benefit in forest/risk-degraded operating region.
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,PerLookupHeldoutWeak,ModerateRisk,WeakNonnegative,WeakButSafe,0,0,0.0232945091514059,2.53657114341941,0.392678868552421,53,90,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
HeldOut,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,PerLookupHeldoutBoundary,HighRiskForest,GracefulBoundary,BoundaryLimited,-0.459234608985026,-0.535779816513771,-0.589018302828614,6.2515709512415,-0.399334442595678,53,90,Small negative or boundary result; avoid all-scenario dominance claims.
Main,10014,Primary,CurvedBlind,Medium,Dense,Default,PerLookupWeak,ModerateRisk,BaselineGain,BaselineImprovement,0.342762063227942,0,5.72379367720465,-4.39938762531785,0.425956738768718,20,1,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,PerLookupStrong,HighRiskForest,StrongGain,PrimaryApplicable,1.0316139767055,0.333333333333332,1.18136439267886,9.39662594257281,0.286189683860238,20,1,PER lookup confirms clear benefit in forest/risk-degraded operating region.
HeldOut,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,PerLookupHeldoutWeak,ModerateRisk,BaselineGain,BaselineImprovement,0.0166389351081375,0,2.10316139767056,-1.07569696694796,0.139767054908502,7,2,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
HeldOut,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,PerLookupHeldoutStrong,HighRiskForest,StrongGain,PrimaryApplicable,2.78868552412647,0,6.60232945091515,12.9758998633225,0.532445923460889,7,2,PER lookup confirms clear benefit in forest/risk-degraded operating region.
Main,10017,LongRange,LongMixed,Medium,Mixed,Default,PerLookupWeak,ModerateRisk,BaselineGain,BaselineImprovement,0.173044925124799,0,11.0848585690516,-3.77205077878266,0.998336106489162,48,6,Gain is stronger versus link-only scheduling than versus the confidence heuristic.
Main,10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,PerLookupWeak,HighRiskForest,WeakNonnegative,WeakButSafe,0.6189683860233,0,0.905158069883527,12.1231386110573,0.608985024958397,48,6,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
Main,10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,PerLookupWeak,ModerateRisk,WeakNonnegative,WeakButSafe,0,0,0,2.15645641756227,0,44,91,Transfer is weak but nonnegative or near-nonnegative; report as safe boundary.
Main,10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,PerLookupRisk,HighRiskForest,GracefulBoundary,BoundaryLimited,-0.672212978369391,-0.739926739926722,-0.715474209650591,-0.52680804867557,-0.535773710482534,44,91,Small negative or boundary result; avoid all-scenario dominance claims.
