Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,TimelyDelta_pp,TimelyHolmP,TimelyEffectRBC,EmgDelta_pp,CostDelta_pct,PracticalClass
10014,Primary,CurvedBlind,Default,DCC-like,Risk-constrained-v6,1.19467554076538,p < 2.3e-308,0.997647058823529,0,-50.8830560898693,MeaningfulGain
10014,Primary,CurvedBlind,ForestGeometry,DCC-like,Risk-constrained-v6,-0.0432612312812108,p = 1,-0.109756097560976,1.33333333333333,-40.9548054673859,MeaningfulGain
10006,Reference,Mixed,Default,DCC-like,Risk-constrained-v6,7.15474209650585,p < 2.3e-308,1,-0.04605263157893,-36.2274669623462,MeaningfulGain
10006,Reference,Mixed,ForestGeometry,DCC-like,Risk-constrained-v6,0.41930116472545,p = 6.147e-11,0.918292682926829,0.151315789473683,-30.3035884306118,WeakNonnegative
10011,Boundary,Open,Default,DCC-like,Risk-constrained-v6,-0.485856905158066,p < 2.3e-308,-1,0,-47.8967787552111,Boundary
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,19.4409317803661,p < 2.3e-308,1,9.3,8.85316593794443,MeaningfulGain
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,-0.0133111480865256,p = 0.117,-1,0,-33.5302108987355,Boundary
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,0.572379367720455,p = 4.811e-06,0.64734693877551,0.644688644688651,-12.0649274596567,WeakNonnegative
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,8.47587354409319,p < 2.3e-308,1,-1.2222222222222,-39.3024343193433,MeaningfulGain
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,1.13810316139766,p < 2.3e-308,1,0.277777777777778,-25.6351458230351,MeaningfulGain
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,-0.745424292845254,p < 2.3e-308,-1,0,-33.9188344420637,Boundary
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,DCC-like,Risk-constrained-v6,0.87188019966723,p < 2.3e-308,0.909863945578231,0.851376146788985,2.36349582956257,WeakNonnegative
10007,HeldOutLongMixed,LongMixed,Default,DCC-like,Risk-constrained-v6,6.89850249584028,p < 2.3e-308,1,0,-41.4473489374747,MeaningfulGain
10007,HeldOutLongMixed,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,-0.465890183028306,p < 2.3e-308,-0.963002114164905,0,-44.1497374127357,Boundary
10015,HeldOutBoundary,LongLowNLOS,Default,DCC-like,Risk-constrained-v6,3.29783693843594,p < 2.3e-308,1,0,-24.6373162485757,MeaningfulGain
10015,HeldOutBoundary,LongLowNLOS,ForestGeometry,DCC-like,Risk-constrained-v6,-0.808652246256225,p < 2.3e-308,-0.995918367346939,0,-13.7324347808707,Boundary
10014,Primary,CurvedBlind,Default,AoI-aware,Risk-constrained-v6,1.47753743760397,p < 2.3e-308,1,13.6666666666667,-9.03828113178982,MeaningfulGain
10014,Primary,CurvedBlind,ForestGeometry,AoI-aware,Risk-constrained-v6,0.612312811980043,p < 2.3e-308,1,0.666666666666666,-3.58213001460838,WeakNonnegative
10006,Reference,Mixed,Default,AoI-aware,Risk-constrained-v6,1.79700499168053,p < 2.3e-308,1,0.532894736842104,20.1416673098644,CostlyGain
10006,Reference,Mixed,ForestGeometry,AoI-aware,Risk-constrained-v6,0.116472545757063,p = 0.02851,0.447619047619048,0.124999999999997,9.28509954961131,WeakNonnegative
10011,Boundary,Open,Default,AoI-aware,Risk-constrained-v6,0.18968386023297,p = 3.617e-08,0.939516129032258,0.300000000000011,2.87075310925011,WeakNonnegative
10011,Boundary,Open,ForestGeometry,AoI-aware,Risk-constrained-v6,-0.272878535773691,p = 0.07137,-0.375,15.8,-20.1463671955492,MeaningfulGain
10019,DenseBlind,ShortRangeOccluded,Default,AoI-aware,Risk-constrained-v6,0.193011647254571,p < 2.3e-308,1,0.212454212454216,80.4385982211517,WeakNonnegative
