Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,Default,AoI-greedy,Risk-constrained-v6,TimelyRate,0.965424292845258,0.00572741329766319,0.991813643926789,0.00344196137102871,0.0263893510815307,2.63893510815308,0.0255774865057525,0.027201215657309,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.24508489770432,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,AoI-greedy,Risk-constrained-v6,LossRate,0.0345757071547421,0.00572741329766319,0.0081863560732113,0.00344196137102884,-0.0263893510815308,-2.63893510815308,-0.027201215657309,-0.0255774865057525,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.24508489770429,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,AoI-greedy,Risk-constrained-v6,AvgDelay,0.0299011510861492,0.00255500569601117,0.017353066814409,0.00120657982170193,-0.0125480842717402,-41.9652214578211,-0.0129063342860716,-0.0121898342574088,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.65195393551921,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,AoI-greedy,Risk-constrained-v6,AvgTxCost,2.46691846921797,0.0159767974454046,2.00055241264559,0.031027786794728,-0.466366056572376,-18.9048021810067,-0.471902363781081,-0.460829749363672,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.5929636659129,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,AoI-greedy,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,AoI-greedy,Risk-constrained-v6,TimelyRate,0.79936772046589,0.00395024107588487,0.799400998336106,0.00503293758701834,3.32778702162417e-05,0.00332778702162306,-0.000685303702766127,0.000751859443198611,0.957858377535015,p = 0.9579,1,p = 1,n.s.,n.s.,0.0414141414141414,0.00747286008258575,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,AoI-greedy,Risk-constrained-v6,LossRate,0.200532445923461,0.00393806464063388,0.200499168053245,0.00512295271268192,-3.32778702162406e-05,-0.00332778702162584,-0.00075185944319861,0.000685303702766129,0.957858377535016,p = 0.9579,1,p = 1,n.s.,n.s.,-0.0414141414141414,-0.00747286008258549,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,AoI-greedy,Risk-constrained-v6,AvgDelay,0.0801063865068678,0.00131897525333506,0.0801658886685875,0.00193947242902532,5.95021617196451e-05,0.0742789237092092,-0.000242937744303561,0.000361942067742851,0.822380531984169,p = 0.8224,1,p = 1,n.s.,n.s.,0.0133333333333333,0.0317468801804589,Sub-ms,1,p = 1,n.s.
10014,Primary,ForestGeometry,AoI-greedy,Risk-constrained-v6,AvgTxCost,2.71393677204659,0.0147185277507605,2.28425324459235,0.047505662547379,-0.429683527454238,-15.8324811351523,-0.437836349370754,-0.421530705537723,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-8.50448759430344,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,ForestGeometry,AoI-greedy,Risk-constrained-v6,EmgTimely,0.0233333333333333,0.0753675799587829,0.0233333333333333,0.0753675799587829,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,Default,AoI-greedy,Risk-constrained-v6,TimelyRate,0.960831946755408,0.00741994323210174,0.989983361064892,0.00301587577978752,0.0291514143094841,2.91514143094842,0.0279430558878595,0.0303597727311088,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.89288218139471,Meaningful,1.78005908680576e-306,p < 1e-15,***
