Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,Default,DCC-CBR-window,Risk-constrained-v6,TimelyRate,0.978768718801997,0.0059335326080804,0.991813643926789,0.00344196137102871,0.013044925124792,1.30449251247919,0.0121832170779394,0.0139066331716445,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.997647058823529,2.44280525451608,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-CBR-window,Risk-constrained-v6,LossRate,0.0212312811980033,0.00593353260808032,0.0081863560732113,0.00344196137102884,-0.013044925124792,-1.3044925124792,-0.0139066331716445,-0.0121832170779395,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.997647058823529,-2.44280525451612,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-CBR-window,Risk-constrained-v6,AvgDelay,0.0234298754476703,0.00226210955728896,0.017353066814409,0.00120657982170193,-0.00607680863326126,-25.9361542353632,-0.00639935440227944,-0.00575426286424309,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.04012621257092,Meaningful,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-CBR-window,Risk-constrained-v6,AvgTxCost,2.25761730449251,0.000316577330957811,2.00055241264559,0.031027786794728,-0.257064891846918,-11.3865574708068,-0.262070321075437,-0.252059462618399,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-8.28721957297328,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,Default,DCC-CBR-window,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-CBR-window,Risk-constrained-v6,TimelyRate,0.799900166389351,0.00222499537415478,0.799400998336106,0.00503293758701834,-0.000499168053244667,-0.0499168053244681,-0.00128007117461413,0.000281735068124799,0.465781250573826,p = 0.4658,0.931562501147651,p = 0.9316,n.s.,n.s.,-0.136212624584718,-0.103147101206659,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-CBR-window,Risk-constrained-v6,LossRate,0.200033277870216,0.00221175123640658,0.200499168053245,0.00512295271268192,0.000465890183028317,0.0465890183028284,-0.000335082999801439,0.00126686336585807,0.506895738095609,p = 0.5069,0.931562501147651,p = 0.9316,n.s.,n.s.,0.118493909191584,0.0938583654874149,Below1pp,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-CBR-window,Risk-constrained-v6,AvgDelay,0.0797304525029079,0.000829359738381533,0.0801658886685875,0.00193947242902532,0.000435436165679612,0.546135324722665,0.000125253593982703,0.000745618737376522,0.109207003846082,p = 0.1092,0.436828015384329,p = 0.4368,n.s.,n.s.,0.261176470588235,0.226524149264743,Sub-ms,1,p = 1,n.s.
10014,Primary,ForestGeometry,DCC-CBR-window,Risk-constrained-v6,AvgTxCost,2.12674542429285,0.000492685446029647,2.28425324459235,0.047505662547379,0.157507820299501,7.40604956758624,0.149834637732151,0.165181002866851,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.31233301501954,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10014,Primary,ForestGeometry,DCC-CBR-window,Risk-constrained-v6,EmgTimely,0.0166666666666667,0.060702613257057,0.0233333333333333,0.0753675799587829,0.00666666666666666,0.666666666666666,0.00134302608134904,0.0119903072519843,0.153041980788361,p = 0.153,0.459125942365083,p = 0.4591,n.s.,n.s.,1,0.202072594216369,Below1pp,1,p = 1,n.s.
