Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,TimelyRate,0.809217970049917,0.00453014773269341,0.814542429284526,0.00508931423009766,0.00532445923460902,0.532445923460922,0.00477394506524555,0.00587497340397249,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.99234693877551,1.56068195201325,Below1pp,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,LossRate,0.190083194675541,0.00466471939987109,0.184758735440932,0.00511975331473925,-0.00532445923460896,-0.532445923460897,-0.00587497340397243,-0.00477394506524549,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.99234693877551,-1.56068195201323,Below1pp,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,AvgDelay,0.0757166268110385,0.00125048475347549,0.0741486944876189,0.00157705612087674,-0.00156793232341964,-2.07078998293549,-0.00173483442057171,-0.00140103022626757,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.995294117647059,-1.5159082725066,Meaningful,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,AvgTxCost,2.7059700499168,0.0149201434099146,2.24132845257904,0.0353181357325232,-0.464641597337767,-17.170980785691,-0.470907591200565,-0.458375603474968,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-11.9656287974308,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,EmgTimely,0.103333333333333,0.125492228124804,0.103333333333333,0.125492228124804,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,TimelyRate,0.741830282861897,0.00749683431911446,0.745890183028286,0.00762150858693015,0.00405990016638942,0.405990016638946,0.00312325611552643,0.0049965442172524,7.59604644073875e-07,p = 7.596e-07,7.59604644073875e-07,p = 7.596e-07,***,***,0.684081632653061,0.699436317181443,Below1pp,1.13940696611081e-05,p = 1.139e-05,***
10006,Reference,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,LossRate,0.245690515806988,0.00696754330658342,0.213544093178037,0.00728469132307717,-0.0321464226289517,-3.21464226289517,-0.0331384165174099,-0.0311544287404935,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.22914948205784,Meaningful,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,AvgDelay,0.0841643517254253,0.00104639436910595,0.0832647927284229,0.00138593412221147,-0.00089955899700243,-1.06881236362054,-0.00106640946438344,-0.000732708529621416,7.69643904163786e-10,p = 7.696e-10,1.53928780832757e-09,p = 1.539e-09,***,***,-0.775686274509804,-0.869980718387077,Sub-ms,1.23143024666206e-08,p = 1.231e-08,***
10006,Reference,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,AvgTxCost,3.48473211314476,0.00838721170566659,3.0755860232945,0.00549990562094206,-0.409146089850259,-11.7411059606826,-0.410911792686085,-0.407380387014433,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-37.3910958769332,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,AoI-greedy,Risk-constrained-v6,EmgTimely,0.843486842105263,0.0117404110043553,0.830394736842106,0.00874514798079172,-0.0130921052631577,-1.30921052631576,-0.0147859646260478,-0.0113982459002676,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.960386473429952,-1.24720988060229,Meaningful,8.90029543402881e-307,p < 1e-15,***
